Orthogroup,UW6
OG0000005,NHBDKAOG_00123
OG0000005,NHBDKAOG_01584
OG0000006,NHBDKAOG_02948
OG0000006,NHBDKAOG_02952
OG0000006,NHBDKAOG_04184
OG0000016,NHBDKAOG_02949
OG0000019,NHBDKAOG_00827
OG0000019,NHBDKAOG_01131
OG0000019,NHBDKAOG_02841
OG0000019,NHBDKAOG_02842
OG0000019,NHBDKAOG_04726
OG0000019,NHBDKAOG_04727
OG0000029,NHBDKAOG_00474
OG0000029,NHBDKAOG_00536
OG0000029,NHBDKAOG_00551
OG0000029,NHBDKAOG_01399
OG0000029,NHBDKAOG_02438
OG0000029,NHBDKAOG_02864
OG0000029,NHBDKAOG_03952
OG0000029,NHBDKAOG_03967
OG0000029,NHBDKAOG_03968
OG0000029,NHBDKAOG_03969
OG0000029,NHBDKAOG_04664
OG0000029,NHBDKAOG_04839
OG0000041,NHBDKAOG_00937
OG0000041,NHBDKAOG_01033
OG0000041,NHBDKAOG_01129
OG0000041,NHBDKAOG_02796
OG0000041,NHBDKAOG_04661
OG0000048,NHBDKAOG_04183
OG0000053,NHBDKAOG_01490
OG0000053,NHBDKAOG_01491
OG0000053,NHBDKAOG_01492
OG0000053,NHBDKAOG_04085
OG0000053,NHBDKAOG_04119
OG0000053,NHBDKAOG_04381
OG0000054,NHBDKAOG_04041
OG0000055,NHBDKAOG_00137
OG0000055,NHBDKAOG_00169
OG0000055,NHBDKAOG_00828
OG0000055,NHBDKAOG_01227
OG0000055,NHBDKAOG_01228
OG0000055,NHBDKAOG_02865
OG0000055,NHBDKAOG_04157
OG0000055,NHBDKAOG_04284
OG0000055,NHBDKAOG_04475
OG0000055,NHBDKAOG_04596
OG0000055,NHBDKAOG_04837
OG0000056,NHBDKAOG_00088
OG0000056,NHBDKAOG_00173
OG0000056,NHBDKAOG_00174
OG0000056,NHBDKAOG_00180
OG0000056,NHBDKAOG_00181
OG0000056,NHBDKAOG_02586
OG0000056,NHBDKAOG_02708
OG0000056,NHBDKAOG_03259
OG0000056,NHBDKAOG_03964
OG0000056,NHBDKAOG_04330
OG0000056,NHBDKAOG_04554
OG0000065,NHBDKAOG_01079
OG0000065,NHBDKAOG_02832
OG0000066,NHBDKAOG_01489
OG0000066,NHBDKAOG_02589
OG0000066,NHBDKAOG_04086
OG0000066,NHBDKAOG_04120
OG0000066,NHBDKAOG_04380
OG0000082,NHBDKAOG_04871
OG0000098,NHBDKAOG_03016
OG0000099,NHBDKAOG_02369
OG0000099,NHBDKAOG_04032
OG0000099,NHBDKAOG_04040
OG0000101,NHBDKAOG_02417
OG0000101,NHBDKAOG_04191
OG0000129,NHBDKAOG_04412
OG0000132,NHBDKAOG_00066
OG0000132,NHBDKAOG_03205
OG0000132,NHBDKAOG_04840
OG0000161,NHBDKAOG_00277
