Orthogroup,UW6
OG0000005,NHBDKAOG_00123
OG0000005,NHBDKAOG_01584
OG0000019,NHBDKAOG_00827
OG0000019,NHBDKAOG_01131
OG0000019,NHBDKAOG_02841
OG0000019,NHBDKAOG_02842
OG0000019,NHBDKAOG_04726
OG0000019,NHBDKAOG_04727
OG0000029,NHBDKAOG_00474
OG0000029,NHBDKAOG_00536
OG0000029,NHBDKAOG_00551
OG0000029,NHBDKAOG_01399
OG0000029,NHBDKAOG_02438
OG0000029,NHBDKAOG_02864
OG0000029,NHBDKAOG_03952
OG0000029,NHBDKAOG_03967
OG0000029,NHBDKAOG_03968
OG0000029,NHBDKAOG_03969
OG0000029,NHBDKAOG_04664
OG0000029,NHBDKAOG_04839
OG0000041,NHBDKAOG_00937
OG0000041,NHBDKAOG_01033
OG0000041,NHBDKAOG_01129
OG0000041,NHBDKAOG_02796
OG0000041,NHBDKAOG_04661
OG0000053,NHBDKAOG_01490
OG0000053,NHBDKAOG_01491
OG0000053,NHBDKAOG_01492
OG0000053,NHBDKAOG_04085
OG0000053,NHBDKAOG_04119
OG0000053,NHBDKAOG_04381
OG0000054,NHBDKAOG_04041
OG0000065,NHBDKAOG_01079
OG0000065,NHBDKAOG_02832
OG0000066,NHBDKAOG_01489
OG0000066,NHBDKAOG_02589
OG0000066,NHBDKAOG_04086
OG0000066,NHBDKAOG_04120
OG0000066,NHBDKAOG_04380
OG0000098,NHBDKAOG_03016
OG0000099,NHBDKAOG_02369
OG0000099,NHBDKAOG_04032
OG0000099,NHBDKAOG_04040
OG0000101,NHBDKAOG_02417
OG0000101,NHBDKAOG_04191
OG0000208,NHBDKAOG_00308
OG0000208,NHBDKAOG_01226
OG0000291,NHBDKAOG_00981
OG0000294,NHBDKAOG_00634
OG0000294,NHBDKAOG_02145
OG0000297,NHBDKAOG_01936
OG0000580,NHBDKAOG_03084
OG0000583,NHBDKAOG_03485
OG0000590,NHBDKAOG_03096
OG0001600,NHBDKAOG_04161
OG0001607,NHBDKAOG_04700
OG0001618,NHBDKAOG_04737
OG0001626,NHBDKAOG_00759
OG0001628,NHBDKAOG_01312
OG0001631,NHBDKAOG_01548
OG0001633,NHBDKAOG_01731
OG0001643,NHBDKAOG_02794
OG0001644,NHBDKAOG_02422
OG0001645,NHBDKAOG_00779
OG0001645,NHBDKAOG_04083
OG0001653,NHBDKAOG_00237
OG0001654,NHBDKAOG_00234
OG0001959,NHBDKAOG_00416
OG0001959,NHBDKAOG_01575
OG0001967,NHBDKAOG_03377
OG0001970,NHBDKAOG_01015
OG0001980,NHBDKAOG_03904
OG0001981,NHBDKAOG_00747
OG0001981,NHBDKAOG_03623
OG0001990,NHBDKAOG_01851
OG0001995,NHBDKAOG_02722
OG0001995,NHBDKAOG_03253
OG0001996,NHBDKAOG_02721
