BBLLADNB_00001	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
BBLLADNB_00002	K02520	translation initiation factor IF-3
BBLLADNB_00003	K02916	large subunit ribosomal protein
BBLLADNB_00004	K02887	large subunit ribosomal protein
BBLLADNB_00005	K01889	phenylalanyl-tRNA synthetase alpha chain
BBLLADNB_00006	K01890	phenylalanyl-tRNA synthetase beta chain
BBLLADNB_00007	K04764	integration host factor subunit
BBLLADNB_00010	K02482	two-component system, NtrC family,
BBLLADNB_00010	K07216	hemerythrin   
BBLLADNB_00011	K02482	two-component system, NtrC family,
BBLLADNB_00012	K03410	chemotaxis protein CheC 
BBLLADNB_00016	K07814	putative two-component system response
BBLLADNB_00021	K01586	diaminopimelate decarboxylase [EC:4.1.1.20] 
BBLLADNB_00023	K10778	AraC family transcriptional regulator,
BBLLADNB_00025	K01736	chorismate synthase [EC:4.2.3.5] 
BBLLADNB_00026	K09794	uncharacterized protein  
BBLLADNB_00027	K05820	MFS transporter, PPP family,
BBLLADNB_00028	K23010	metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-]
BBLLADNB_00028	K07387	metalloprotease [EC:3.4.24.-]  
BBLLADNB_00032	K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
BBLLADNB_00033	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85] 
BBLLADNB_00034	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] 
BBLLADNB_00035	K08086	pilus assembly protein FimV
BBLLADNB_00037	K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
BBLLADNB_00038	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24] 
BBLLADNB_00039	K01696	tryptophan synthase beta chain
BBLLADNB_00039	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24] 
BBLLADNB_00040	K01695	tryptophan synthase alpha chain
BBLLADNB_00041	K01963	acetyl-CoA carboxylase carboxyl transferase
BBLLADNB_00042	K11754	dihydrofolate synthase / folylpolyglutamate
BBLLADNB_00043	K03749	DedD protein  
BBLLADNB_00044	K03558	membrane protein required for
BBLLADNB_00045	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]  
BBLLADNB_00046	K10764	O-succinylhomoserine sulfhydrylase [EC:2.5.1.-] 
BBLLADNB_00048	K07216	hemerythrin   
BBLLADNB_00049	K03320	ammonium transporter, Amt family
BBLLADNB_00050	K04752	nitrogen regulatory protein P-II
BBLLADNB_00050	K04751	nitrogen regulatory protein P-II
BBLLADNB_00051	K09806	uncharacterized protein  
BBLLADNB_00052	K07391	magnesium chelatase family protein
BBLLADNB_00054	K06186	outer membrane protein assembly
BBLLADNB_00055	K06001	tryptophan synthase beta chain
BBLLADNB_00057	K00859	dephospho-CoA kinase [EC:2.7.1.24] 
BBLLADNB_00058	K18778	cell division protein ZapD
BBLLADNB_00061	K00931	glutamate 5-kinase [EC:2.7.2.11] 
