Orthogroup	GCA_000310125.2	2767802455
OG0000000	lcl|AMXB01000059.1_prot_ENO75197.1_4017	NHBDKAOG_04722, NHBDKAOG_00465
OG0000000	lcl|AMXB01000032.1_prot_ENO77225.1_3159	NHBDKAOG_01300
OG0000000	lcl|AMXB01000002.1_prot_ENO82916.1_176	NHBDKAOG_00494, NHBDKAOG_01578
OG0000000	lcl|AMXB01000009.1_prot_ENO81770.1_1261	NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710
OG0000001	lcl|AMXB01000009.1_prot_ENO81772.1_1263	NHBDKAOG_04715, NHBDKAOG_01601
OG0000007	lcl|AMXB01000001.1_prot_ENO83277.1_150	NHBDKAOG_02492
OG0000007	lcl|AMXB01000010.1_prot_ENO81610.1_1378	NHBDKAOG_00803
OG0000008	lcl|AMXB01000009.1_prot_ENO81800.1_1291	NHBDKAOG_01553
OG0000010	lcl|AMXB01000020.1_prot_ENO80497.1_2379, lcl|AMXB01000002.1_prot_ENO83094.1_354	NHBDKAOG_04701
OG0000010	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348, lcl|AMXB01000047.1_prot_ENO75792.1_3751	NHBDKAOG_03611
OG0000013	lcl|AMXB01000057.1_prot_ENO75275.1_3995, lcl|AMXB01000011.1_prot_ENO81460.1_1516	NHBDKAOG_03695
OG0000014	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527	NHBDKAOG_03919, NHBDKAOG_02894, NHBDKAOG_00189
OG0000014	lcl|AMXB01000004.1_prot_ENO82570.1_529	NHBDKAOG_02843
OG0000018	lcl|AMXB01000068.1_prot_ENO74859.1_4125	NHBDKAOG_00335
OG0000018	lcl|AMXB01000025.1_prot_ENO78743.1_2768	NHBDKAOG_03788, NHBDKAOG_03161
OG0000018	lcl|AMXB01000029.1_prot_ENO77786.1_3043	NHBDKAOG_00147
OG0000022	lcl|AMXB01000043.1_prot_ENO76134.1_3676	NHBDKAOG_04180, NHBDKAOG_02829, NHBDKAOG_04513
OG0000023	lcl|AMXB01000041.1_prot_ENO76265.1_3603	NHBDKAOG_04287, NHBDKAOG_03970, NHBDKAOG_04501, NHBDKAOG_01482, NHBDKAOG_01483, NHBDKAOG_01567, NHBDKAOG_01686, NHBDKAOG_02276, NHBDKAOG_00055, NHBDKAOG_00162
OG0000024	lcl|AMXB01000008.1_prot_ENO82014.1_1242	NHBDKAOG_04135, NHBDKAOG_02839, NHBDKAOG_04233, NHBDKAOG_04136
OG0000025	lcl|AMXB01000004.1_prot_ENO82587.1_546	NHBDKAOG_02905
OG0000025	lcl|AMXB01000004.1_prot_ENO82564.1_523	NHBDKAOG_02903
OG0000026	lcl|AMXB01000011.1_prot_ENO81528.1_1584	NHBDKAOG_02636, NHBDKAOG_03636
OG0000026	lcl|AMXB01000027.1_prot_ENO78223.1_2859	NHBDKAOG_00997
OG0000027	lcl|AMXB01000010.1_prot_ENO81695.1_1463	NHBDKAOG_03174, NHBDKAOG_01356
OG0000028	lcl|AMXB01000025.1_prot_ENO78764.1_2789	NHBDKAOG_04052, NHBDKAOG_03385
OG0000028	lcl|AMXB01000049.1_prot_ENO75689.1_3828	NHBDKAOG_03851
OG0000030	lcl|AMXB01000039.1_prot_ENO76438.1_3514	NHBDKAOG_03197, NHBDKAOG_04625, NHBDKAOG_04626
OG0000031	lcl|AMXB01000004.1_prot_ENO82693.1_652	NHBDKAOG_04579
OG0000032	lcl|AMXB01000004.1_prot_ENO82697.1_656	NHBDKAOG_04723
OG0000033	lcl|AMXB01000003.1_prot_ENO82797.1_439	NHBDKAOG_00492, NHBDKAOG_03095
OG0000034	lcl|AMXB01000037.1_prot_ENO76690.1_3429	NHBDKAOG_00590, NHBDKAOG_04843, NHBDKAOG_04844
OG0000036	lcl|AMXB01000009.1_prot_ENO81818.1_1309	NHBDKAOG_03455
OG0000036	lcl|AMXB01000009.1_prot_ENO81816.1_1307	NHBDKAOG_02117
OG0000037	lcl|AMXB01000021.1_prot_ENO80041.1_2487	NHBDKAOG_02820
OG0000037	lcl|AMXB01000008.1_prot_ENO81881.1_1109	NHBDKAOG_03097
OG0000038	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865	NHBDKAOG_02918, NHBDKAOG_02917
OG0000039	lcl|AMXB01000016.1_prot_ENO80871.1_2064, lcl|AMXB01000028.1_prot_ENO78020.1_2968	NHBDKAOG_04609
OG0000040	lcl|AMXB01000023.1_prot_ENO79311.1_2619, lcl|AMXB01000019.1_prot_ENO80581.1_2299	NHBDKAOG_03720, NHBDKAOG_02573
OG0000042	lcl|AMXB01000051.1_prot_ENO75565.1_3874	NHBDKAOG_03391
