Orthogroup	GCA_000310125.2	644736333
OG0000000	lcl|AMXB01000040.1_prot_ENO76352.1_3557	MCBBHCNB_04024
OG0000000	lcl|AMXB01000009.1_prot_ENO81770.1_1261	MCBBHCNB_03051
OG0000001	lcl|AMXB01000009.1_prot_ENO81772.1_1263	MCBBHCNB_03050
OG0000001	lcl|AMXB01000006.1_prot_ENO82310.1_914, lcl|AMXB01000006.1_prot_ENO82315.1_919	MCBBHCNB_00167, MCBBHCNB_00185
OG0000001	lcl|AMXB01000034.1_prot_ENO77039.1_3274	MCBBHCNB_02886
OG0000003	lcl|AMXB01000023.1_prot_ENO79296.1_2604	MCBBHCNB_02579
OG0000007	lcl|AMXB01000001.1_prot_ENO83277.1_150	MCBBHCNB_01993
OG0000007	lcl|AMXB01000010.1_prot_ENO81610.1_1378	MCBBHCNB_04138
OG0000008	lcl|AMXB01000009.1_prot_ENO81800.1_1291	MCBBHCNB_03177
OG0000009	lcl|AMXB01000031.1_prot_ENO77392.1_3126	MCBBHCNB_01107
OG0000010	lcl|AMXB01000020.1_prot_ENO80497.1_2379, lcl|AMXB01000002.1_prot_ENO83094.1_354	MCBBHCNB_03999
OG0000010	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348, lcl|AMXB01000047.1_prot_ENO75792.1_3751	MCBBHCNB_00970
OG0000011	lcl|AMXB01000002.1_prot_ENO83078.1_338	MCBBHCNB_00613
OG0000012	lcl|AMXB01000026.1_prot_ENO78508.1_2851	MCBBHCNB_02021
OG0000013	lcl|AMXB01000057.1_prot_ENO75275.1_3995, lcl|AMXB01000011.1_prot_ENO81460.1_1516	MCBBHCNB_00389
OG0000014	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527	MCBBHCNB_00511
OG0000014	lcl|AMXB01000004.1_prot_ENO82570.1_529	MCBBHCNB_03385
OG0000018	lcl|AMXB01000068.1_prot_ENO74859.1_4125	MCBBHCNB_02323
OG0000018	lcl|AMXB01000025.1_prot_ENO78743.1_2768	MCBBHCNB_01355
OG0000018	lcl|AMXB01000029.1_prot_ENO77786.1_3043	MCBBHCNB_01757
OG0000021	lcl|AMXB01000043.1_prot_ENO76133.1_3675	MCBBHCNB_00423
OG0000022	lcl|AMXB01000043.1_prot_ENO76134.1_3676	MCBBHCNB_01790, MCBBHCNB_01970, MCBBHCNB_00424
OG0000023	lcl|AMXB01000041.1_prot_ENO76265.1_3603	MCBBHCNB_02139, MCBBHCNB_02992
OG0000024	lcl|AMXB01000071.1_prot_ENO74771.1_4160, lcl|AMXB01000041.1_prot_ENO76245.1_3583	MCBBHCNB_00198
OG0000024	lcl|AMXB01000008.1_prot_ENO82014.1_1242	MCBBHCNB_00420, MCBBHCNB_00222, MCBBHCNB_00023, MCBBHCNB_00013
OG0000025	lcl|AMXB01000004.1_prot_ENO82587.1_546	MCBBHCNB_01680
OG0000025	lcl|AMXB01000004.1_prot_ENO82564.1_523	MCBBHCNB_01682
OG0000026	lcl|AMXB01000011.1_prot_ENO81528.1_1584	MCBBHCNB_03806, MCBBHCNB_03651, MCBBHCNB_01960
OG0000026	lcl|AMXB01000027.1_prot_ENO78223.1_2859	MCBBHCNB_02696
OG0000027	lcl|AMXB01000010.1_prot_ENO81695.1_1463	MCBBHCNB_01334, MCBBHCNB_02354, MCBBHCNB_03705
OG0000028	lcl|AMXB01000025.1_prot_ENO78764.1_2789	MCBBHCNB_00481, MCBBHCNB_00192, MCBBHCNB_01036
OG0000028	lcl|AMXB01000049.1_prot_ENO75689.1_3828	MCBBHCNB_01904
OG0000030	lcl|AMXB01000039.1_prot_ENO76438.1_3514	MCBBHCNB_01336, MCBBHCNB_04748, MCBBHCNB_01786
OG0000031	lcl|AMXB01000004.1_prot_ENO82693.1_652	MCBBHCNB_00781
OG0000032	lcl|AMXB01000042.1_prot_ENO76224.1_3641	MCBBHCNB_02732
OG0000033	lcl|AMXB01000003.1_prot_ENO82797.1_439	MCBBHCNB_01235, MCBBHCNB_01439
OG0000034	lcl|AMXB01000037.1_prot_ENO76690.1_3429	MCBBHCNB_00609, MCBBHCNB_01709, MCBBHCNB_00345, MCBBHCNB_04050, MCBBHCNB_01984, MCBBHCNB_03796, MCBBHCNB_03135, MCBBHCNB_02336, MCBBHCNB_00153
OG0000036	lcl|AMXB01000009.1_prot_ENO81818.1_1309	MCBBHCNB_01002
OG0000036	lcl|AMXB01000009.1_prot_ENO81816.1_1307	MCBBHCNB_02574
OG0000037	lcl|AMXB01000021.1_prot_ENO80041.1_2487	MCBBHCNB_01810
OG0000037	lcl|AMXB01000008.1_prot_ENO81881.1_1109	MCBBHCNB_01437
OG0000038	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865	MCBBHCNB_01409, MCBBHCNB_01410
OG0000039	lcl|AMXB01000016.1_prot_ENO80871.1_2064, lcl|AMXB01000028.1_prot_ENO78020.1_2968	MCBBHCNB_03730
OG0000040	lcl|AMXB01000023.1_prot_ENO79311.1_2619, lcl|AMXB01000019.1_prot_ENO80581.1_2299	MCBBHCNB_02333
OG0000042	lcl|AMXB01000051.1_prot_ENO75565.1_3874	MCBBHCNB_01030
OG0000042	lcl|AMXB01000013.1_prot_ENO81198.1_1736	MCBBHCNB_00269
OG0000043	lcl|AMXB01000065.1_prot_ENO74951.1_4088	MCBBHCNB_02305
OG0000043	lcl|AMXB01000018.1_prot_ENO80740.1_2298	MCBBHCNB_01277
OG0000044	lcl|AMXB01000008.1_prot_ENO82005.1_1233	MCBBHCNB_02442
OG0000044	lcl|AMXB01000069.1_prot_ENO74824.1_4138	MCBBHCNB_03103
OG0000045	lcl|AMXB01000002.1_prot_ENO82952.1_212	MCBBHCNB_03184
OG0000046	lcl|AMXB01000025.1_prot_ENO78746.1_2771	MCBBHCNB_02321
OG0000046	lcl|AMXB01000029.1_prot_ENO77783.1_3040	MCBBHCNB_01755
OG0000047	lcl|AMXB01000013.1_prot_ENO81252.1_1790, lcl|AMXB01000011.1_prot_ENO81514.1_1570, lcl|AMXB01000108.1_prot_ENO74357.1_4275	MCBBHCNB_03041
OG0000047	lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247	MCBBHCNB_01502
OG0000050	lcl|AMXB01000092.1_prot_ENO74452.1_4254	MCBBHCNB_00014
OG0000050	lcl|AMXB01000067.1_prot_ENO74876.1_4120, lcl|AMXB01000037.1_prot_ENO76678.1_3417	MCBBHCNB_00408, MCBBHCNB_00173
OG0000051	lcl|AMXB01000048.1_prot_ENO75735.1_3785	MCBBHCNB_01876
OG0000052	lcl|AMXB01000013.1_prot_ENO81269.1_1807	MCBBHCNB_01081
OG0000057	lcl|AMXB01000003.1_prot_ENO82804.1_446	MCBBHCNB_00306, MCBBHCNB_00305
OG0000058	lcl|AMXB01000019.1_prot_ENO80629.1_2347, lcl|AMXB01000004.1_prot_ENO82702.1_661	MCBBHCNB_03602
OG0000059	lcl|AMXB01000015.1_prot_ENO81034.1_2006	MCBBHCNB_03008
OG0000059	lcl|AMXB01000008.1_prot_ENO81902.1_1130	MCBBHCNB_03300
OG0000060	lcl|AMXB01000033.1_prot_ENO77190.1_3241	MCBBHCNB_02372
