Orthogroup	GCA_000310125.2	2687453699
OG0000000	lcl|AMXB01000059.1_prot_ENO75197.1_4017	PEBOPBNB_00160, PEBOPBNB_00161
OG0000000	lcl|AMXB01000044.1_prot_ENO76101.1_3704	PEBOPBNB_03436
OG0000000	lcl|AMXB01000009.1_prot_ENO81770.1_1261	PEBOPBNB_03032
OG0000001	lcl|AMXB01000009.1_prot_ENO81772.1_1263	PEBOPBNB_03030
OG0000001	lcl|AMXB01000034.1_prot_ENO77039.1_3274	PEBOPBNB_02650
OG0000007	lcl|AMXB01000001.1_prot_ENO83277.1_150	PEBOPBNB_02536
OG0000007	lcl|AMXB01000010.1_prot_ENO81610.1_1378	PEBOPBNB_00294
OG0000009	lcl|AMXB01000004.1_prot_ENO82573.1_532	PEBOPBNB_03557
OG0000010	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348	PEBOPBNB_01524
OG0000011	lcl|AMXB01000002.1_prot_ENO83078.1_338	PEBOPBNB_03352, PEBOPBNB_03340, PEBOPBNB_03357, PEBOPBNB_02792, PEBOPBNB_01682, PEBOPBNB_01681, PEBOPBNB_03355, PEBOPBNB_03356, PEBOPBNB_01685
OG0000012	lcl|AMXB01000026.1_prot_ENO78508.1_2851	PEBOPBNB_01389
OG0000014	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527	PEBOPBNB_01894
OG0000018	lcl|AMXB01000068.1_prot_ENO74859.1_4125	PEBOPBNB_01529
OG0000018	lcl|AMXB01000029.1_prot_ENO77786.1_3043	PEBOPBNB_00089
OG0000021	lcl|AMXB01000043.1_prot_ENO76133.1_3675	PEBOPBNB_02539
OG0000022	lcl|AMXB01000043.1_prot_ENO76134.1_3676	PEBOPBNB_02952, PEBOPBNB_02540
OG0000024	lcl|AMXB01000008.1_prot_ENO82014.1_1242	PEBOPBNB_00462, PEBOPBNB_03738
OG0000025	lcl|AMXB01000004.1_prot_ENO82587.1_546	PEBOPBNB_03569
OG0000025	lcl|AMXB01000004.1_prot_ENO82564.1_523	PEBOPBNB_03567, PEBOPBNB_00521
OG0000026	lcl|AMXB01000011.1_prot_ENO81528.1_1584	PEBOPBNB_03517, PEBOPBNB_00711
OG0000026	lcl|AMXB01000027.1_prot_ENO78223.1_2859	PEBOPBNB_01916
OG0000027	lcl|AMXB01000010.1_prot_ENO81695.1_1463	PEBOPBNB_00169, PEBOPBNB_02898, PEBOPBNB_02172
