Orthogroup	GCA_000310125.2	GCA_003332265.1
OG0000000	lcl|AMXB01000032.1_prot_ENO77225.1_3159, lcl|AMXB01000002.1_prot_ENO82916.1_176, lcl|AMXB01000044.1_prot_ENO76101.1_3704, lcl|AMXB01000009.1_prot_ENO81770.1_1261, lcl|AMXB01000013.1_prot_ENO81282.1_1820	BFLDHLJO_00050
OG0000001	lcl|AMXB01000009.1_prot_ENO81772.1_1263	BFLDHLJO_00653
OG0000001	lcl|AMXB01000006.1_prot_ENO82310.1_914, lcl|AMXB01000006.1_prot_ENO82315.1_919	BFLDHLJO_03206
OG0000003	lcl|AMXB01000023.1_prot_ENO79296.1_2604	BFLDHLJO_03582
OG0000007	lcl|AMXB01000001.1_prot_ENO83277.1_150	BFLDHLJO_02740
OG0000007	lcl|AMXB01000010.1_prot_ENO81610.1_1378	BFLDHLJO_00097
OG0000007	lcl|AMXB01000044.1_prot_ENO76093.1_3696, lcl|AMXB01000032.1_prot_ENO77271.1_3205	BFLDHLJO_02882
OG0000008	lcl|AMXB01000009.1_prot_ENO81800.1_1291	BFLDHLJO_03410
OG0000010	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348	BFLDHLJO_00210
OG0000010	lcl|AMXB01000047.1_prot_ENO75792.1_3751	BFLDHLJO_02149
OG0000011	lcl|AMXB01000002.1_prot_ENO83078.1_338	BFLDHLJO_03585, BFLDHLJO_03583, BFLDHLJO_03584, BFLDHLJO_03580
OG0000012	lcl|AMXB01000008.1_prot_ENO81989.1_1217, lcl|AMXB01000043.1_prot_ENO76132.1_3674	BFLDHLJO_01163
OG0000012	lcl|AMXB01000026.1_prot_ENO78508.1_2851	BFLDHLJO_02327
OG0000013	lcl|AMXB01000057.1_prot_ENO75275.1_3995, lcl|AMXB01000011.1_prot_ENO81460.1_1516	BFLDHLJO_03160
OG0000014	lcl|AMXB01000004.1_prot_ENO82565.1_524	BFLDHLJO_03087
OG0000018	lcl|AMXB01000068.1_prot_ENO74859.1_4125	BFLDHLJO_00215
OG0000018	lcl|AMXB01000029.1_prot_ENO77786.1_3043	BFLDHLJO_00896
OG0000021	lcl|AMXB01000043.1_prot_ENO76133.1_3675	BFLDHLJO_01066
OG0000022	lcl|AMXB01000043.1_prot_ENO76134.1_3676	BFLDHLJO_02510, BFLDHLJO_01068, BFLDHLJO_01161
OG0000023	lcl|AMXB01000041.1_prot_ENO76265.1_3603	BFLDHLJO_00001, BFLDHLJO_00937, BFLDHLJO_01145
OG0000024	lcl|AMXB01000008.1_prot_ENO82014.1_1242	BFLDHLJO_01091
OG0000025	lcl|AMXB01000004.1_prot_ENO82587.1_546, lcl|AMXB01000004.1_prot_ENO82564.1_523	BFLDHLJO_04143
OG0000026	lcl|AMXB01000011.1_prot_ENO81528.1_1584	BFLDHLJO_01814, BFLDHLJO_03161
OG0000026	lcl|AMXB01000027.1_prot_ENO78223.1_2859	BFLDHLJO_02074
OG0000027	lcl|AMXB01000010.1_prot_ENO81695.1_1463	BFLDHLJO_03552, BFLDHLJO_03055
OG0000028	lcl|AMXB01000056.1_prot_ENO75316.1_3978	BFLDHLJO_03009
OG0000030	lcl|AMXB01000039.1_prot_ENO76438.1_3514	BFLDHLJO_01988, BFLDHLJO_01989, BFLDHLJO_02159
OG0000031	lcl|AMXB01000010.1_prot_ENO81589.1_1357	BFLDHLJO_02678
OG0000031	lcl|AMXB01000004.1_prot_ENO82693.1_652	BFLDHLJO_02043, BFLDHLJO_00513
OG0000032	lcl|AMXB01000042.1_prot_ENO76224.1_3641	BFLDHLJO_00585
OG0000033	lcl|AMXB01000003.1_prot_ENO82797.1_439	BFLDHLJO_02754, BFLDHLJO_02611, BFLDHLJO_02776
OG0000034	lcl|AMXB01000037.1_prot_ENO76690.1_3429	BFLDHLJO_01795
OG0000036	lcl|AMXB01000009.1_prot_ENO81818.1_1309	BFLDHLJO_01216
OG0000036	lcl|AMXB01000009.1_prot_ENO81816.1_1307	BFLDHLJO_01637
OG0000037	lcl|AMXB01000021.1_prot_ENO80041.1_2487	BFLDHLJO_02489
OG0000037	lcl|AMXB01000008.1_prot_ENO81881.1_1109	BFLDHLJO_02778
OG0000038	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865	BFLDHLJO_00293, BFLDHLJO_00291, BFLDHLJO_00292
OG0000042	lcl|AMXB01000051.1_prot_ENO75565.1_3874	BFLDHLJO_01193
OG0000042	lcl|AMXB01000013.1_prot_ENO81198.1_1736	BFLDHLJO_01926
OG0000043	lcl|AMXB01000065.1_prot_ENO74951.1_4088	BFLDHLJO_02167
OG0000043	lcl|AMXB01000018.1_prot_ENO80740.1_2298	BFLDHLJO_01582
OG0000044	lcl|AMXB01000069.1_prot_ENO74824.1_4138	BFLDHLJO_01136
OG0000045	lcl|AMXB01000002.1_prot_ENO82952.1_212	BFLDHLJO_03403
OG0000046	lcl|AMXB01000025.1_prot_ENO78746.1_2771	BFLDHLJO_00213
OG0000046	lcl|AMXB01000029.1_prot_ENO77783.1_3040	BFLDHLJO_00899
OG0000047	lcl|AMXB01000013.1_prot_ENO81252.1_1790, lcl|AMXB01000011.1_prot_ENO81514.1_1570, lcl|AMXB01000108.1_prot_ENO74357.1_4275	BFLDHLJO_03646
OG0000047	lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247	BFLDHLJO_00610
OG0000051	lcl|AMXB01000048.1_prot_ENO75735.1_3785	BFLDHLJO_01019
