Orthogroup	2767802316	Reactor4-bin.4
OG0000000	GNJGOIBN_02038	CEKMHFBL_01092
OG0000000	GNJGOIBN_02807	CEKMHFBL_02342, CEKMHFBL_02343
OG0000000	GNJGOIBN_01089	CEKMHFBL_02506
OG0000000	GNJGOIBN_02552	CEKMHFBL_01587
OG0000001	GNJGOIBN_02783	CEKMHFBL_02659
OG0000001	GNJGOIBN_02623	CEKMHFBL_00603
OG0000004	GNJGOIBN_04077	CEKMHFBL_02642
OG0000004	GNJGOIBN_02570	CEKMHFBL_01768
OG0000005	GNJGOIBN_01591	CEKMHFBL_02232
OG0000005	GNJGOIBN_02808	CEKMHFBL_02344
OG0000005	GNJGOIBN_02136	CEKMHFBL_02337
OG0000007	GNJGOIBN_01682	CEKMHFBL_00819
OG0000007	GNJGOIBN_03861	CEKMHFBL_01033
OG0000008	GNJGOIBN_03946	CEKMHFBL_03345
OG0000008	GNJGOIBN_02907	CEKMHFBL_03645
OG0000008	GNJGOIBN_01073, GNJGOIBN_01777	CEKMHFBL_02387
OG0000008	GNJGOIBN_04243	CEKMHFBL_03667
OG0000009	GNJGOIBN_03297	CEKMHFBL_01332
OG0000009	GNJGOIBN_00092	CEKMHFBL_01326
OG0000009	GNJGOIBN_00841	CEKMHFBL_02138
OG0000010	GNJGOIBN_03713	CEKMHFBL_03892
OG0000012	GNJGOIBN_01481	CEKMHFBL_03228
OG0000012	GNJGOIBN_01708	CEKMHFBL_02609, CEKMHFBL_01788
OG0000014	GNJGOIBN_03111	CEKMHFBL_02749
OG0000017	GNJGOIBN_00174, GNJGOIBN_02332, GNJGOIBN_00497, GNJGOIBN_01768, GNJGOIBN_02898, GNJGOIBN_02764	CEKMHFBL_04242, CEKMHFBL_02906
OG0000018	GNJGOIBN_02009	CEKMHFBL_02704
OG0000018	GNJGOIBN_01077	CEKMHFBL_02390
OG0000018	GNJGOIBN_01435	CEKMHFBL_01623
OG0000019	GNJGOIBN_02080	CEKMHFBL_00547
OG0000020	GNJGOIBN_02862	CEKMHFBL_01198
OG0000020	GNJGOIBN_00622	CEKMHFBL_00208, CEKMHFBL_04032
OG0000021	GNJGOIBN_01482	CEKMHFBL_03229
OG0000022	GNJGOIBN_01441	CEKMHFBL_02870
OG0000023	GNJGOIBN_01828, GNJGOIBN_02729	CEKMHFBL_03002
OG0000024	GNJGOIBN_00161	CEKMHFBL_01279
OG0000025	GNJGOIBN_01396	CEKMHFBL_00023
OG0000025	GNJGOIBN_01398	CEKMHFBL_00025
OG0000027	GNJGOIBN_01057	CEKMHFBL_02369
OG0000027	GNJGOIBN_02053, GNJGOIBN_02031	CEKMHFBL_01085
OG0000027	GNJGOIBN_03430	CEKMHFBL_04180
OG0000028	GNJGOIBN_00199	CEKMHFBL_03147
OG0000028	GNJGOIBN_00756	CEKMHFBL_02775
OG0000029	GNJGOIBN_01756	CEKMHFBL_03930, CEKMHFBL_03623
OG0000030	GNJGOIBN_01059	CEKMHFBL_02371
OG0000030	GNJGOIBN_00011	CEKMHFBL_04070
OG0000030	GNJGOIBN_01479	CEKMHFBL_02863, CEKMHFBL_03226
OG0000031	GNJGOIBN_00504	CEKMHFBL_03273, CEKMHFBL_01847
OG0000032	GNJGOIBN_02442	CEKMHFBL_04121
OG0000033	GNJGOIBN_00959	CEKMHFBL_02512
OG0000033	GNJGOIBN_01176	CEKMHFBL_02366
OG0000035	GNJGOIBN_01826	CEKMHFBL_03599
OG0000035	GNJGOIBN_02725	CEKMHFBL_03006, CEKMHFBL_03008
OG0000036	GNJGOIBN_00722	CEKMHFBL_00095
OG0000036	GNJGOIBN_02274	CEKMHFBL_02849
OG0000037	GNJGOIBN_01444, GNJGOIBN_01503	CEKMHFBL_04080
OG0000037	GNJGOIBN_01174	CEKMHFBL_00511, CEKMHFBL_02368
OG0000038	GNJGOIBN_01149	CEKMHFBL_03869
OG0000038	GNJGOIBN_01150	CEKMHFBL_04060
OG0000039	GNJGOIBN_04335	CEKMHFBL_01029
OG0000039	GNJGOIBN_03498, GNJGOIBN_03448	CEKMHFBL_01605
OG0000040	GNJGOIBN_02019	CEKMHFBL_03123
OG0000041	GNJGOIBN_02173	CEKMHFBL_03746
OG0000041	GNJGOIBN_02174	CEKMHFBL_01530
OG0000041	GNJGOIBN_00154	CEKMHFBL_03826
OG0000042	GNJGOIBN_00750	CEKMHFBL_02780
OG0000042	GNJGOIBN_00041	CEKMHFBL_03086
OG0000043	GNJGOIBN_01992	CEKMHFBL_00672
OG0000043	GNJGOIBN_00999	CEKMHFBL_01825
OG0000044	GNJGOIBN_02138	CEKMHFBL_00411
OG0000044	GNJGOIBN_02838	CEKMHFBL_02925
OG0000045	GNJGOIBN_02914	CEKMHFBL_03652
OG0000046	GNJGOIBN_02007	CEKMHFBL_02706
OG0000046	GNJGOIBN_01433	CEKMHFBL_01621
OG0000047	GNJGOIBN_02774, GNJGOIBN_01232	CEKMHFBL_02147
OG0000049	GNJGOIBN_03138	CEKMHFBL_02657, CEKMHFBL_03019
OG0000050	GNJGOIBN_00149	CEKMHFBL_01843
OG0000051	GNJGOIBN_01570	CEKMHFBL_01682
OG0000051	GNJGOIBN_01207	CEKMHFBL_02725
OG0000052	GNJGOIBN_00946	CEKMHFBL_03062
OG0000052	GNJGOIBN_00801	CEKMHFBL_02105
OG0000054	GNJGOIBN_00246	CEKMHFBL_02822
OG0000054	GNJGOIBN_02014	CEKMHFBL_01194, CEKMHFBL_02171
OG0000057	GNJGOIBN_00078	CEKMHFBL_02159
OG0000057	GNJGOIBN_00077	CEKMHFBL_01481
OG0000058	GNJGOIBN_00484	CEKMHFBL_01992
OG0000058	GNJGOIBN_03320	CEKMHFBL_00293
OG0000059	GNJGOIBN_03026	CEKMHFBL_02685
OG0000060	GNJGOIBN_02067	CEKMHFBL_00562
OG0000061	GNJGOIBN_00150, GNJGOIBN_00160	CEKMHFBL_01844
OG0000062	GNJGOIBN_03896	CEKMHFBL_02889
OG0000062	GNJGOIBN_03895	CEKMHFBL_02890
OG0000063	GNJGOIBN_02364	CEKMHFBL_01892
OG0000063	GNJGOIBN_03119	CEKMHFBL_01516, CEKMHFBL_01839
OG0000064	GNJGOIBN_02092, GNJGOIBN_02093	CEKMHFBL_00749
OG0000065	GNJGOIBN_01480	CEKMHFBL_03227
OG0000065	GNJGOIBN_03616	CEKMHFBL_00606
OG0000066	GNJGOIBN_00181	CEKMHFBL_01362
OG0000068	GNJGOIBN_01549	CEKMHFBL_03556
OG0000069	GNJGOIBN_03443	CEKMHFBL_01596
OG0000070	GNJGOIBN_00388	CEKMHFBL_01942
OG0000071	GNJGOIBN_01476	CEKMHFBL_01051, CEKMHFBL_03223
OG0000072	GNJGOIBN_03611	CEKMHFBL_00179, CEKMHFBL_00596
OG0000073	GNJGOIBN_01305, GNJGOIBN_01306	CEKMHFBL_02400
OG0000074	GNJGOIBN_01378	CEKMHFBL_03368
OG0000074	GNJGOIBN_03296	CEKMHFBL_01565
OG0000075	GNJGOIBN_03888	CEKMHFBL_01518
OG0000075	GNJGOIBN_02893	CEKMHFBL_02567
OG0000076	GNJGOIBN_03125	CEKMHFBL_01871
OG0000076	GNJGOIBN_03421	CEKMHFBL_03247
OG0000077	GNJGOIBN_02859	CEKMHFBL_03755
OG0000078	GNJGOIBN_03292	CEKMHFBL_03159, CEKMHFBL_01763, CEKMHFBL_04260, CEKMHFBL_01747, CEKMHFBL_01739, CEKMHFBL_02350
OG0000079	GNJGOIBN_01580	CEKMHFBL_02031
OG0000079	GNJGOIBN_00886	CEKMHFBL_04068
OG0000081	GNJGOIBN_02170, GNJGOIBN_02171	CEKMHFBL_01079, CEKMHFBL_03825
OG0000081	GNJGOIBN_02282	CEKMHFBL_02682
OG0000082	GNJGOIBN_03704	CEKMHFBL_04189
OG0000083	GNJGOIBN_02839	CEKMHFBL_02926
OG0000084	GNJGOIBN_01333	CEKMHFBL_03745
OG0000085	GNJGOIBN_00757	CEKMHFBL_02774
OG0000086	GNJGOIBN_01395	CEKMHFBL_00022
OG0000087	GNJGOIBN_03188	CEKMHFBL_02689
OG0000087	GNJGOIBN_02084	CEKMHFBL_00757
OG0000088	GNJGOIBN_02063	CEKMHFBL_04272
OG0000089	GNJGOIBN_01812, GNJGOIBN_02061	CEKMHFBL_00827
OG0000089	GNJGOIBN_01633	CEKMHFBL_01099
OG0000090	GNJGOIBN_01846	CEKMHFBL_01250
OG0000090	GNJGOIBN_00193, GNJGOIBN_00213	CEKMHFBL_00791
OG0000091	GNJGOIBN_00147	CEKMHFBL_00868
OG0000092	GNJGOIBN_00146	CEKMHFBL_00867
OG0000093	GNJGOIBN_02480	CEKMHFBL_00321
OG0000094	GNJGOIBN_00157	CEKMHFBL_03761
OG0000095	GNJGOIBN_02549	CEKMHFBL_01584
OG0000097	GNJGOIBN_04388, GNJGOIBN_02230, GNJGOIBN_01833	CEKMHFBL_04246
OG0000097	GNJGOIBN_01834	CEKMHFBL_04234
OG0000098	GNJGOIBN_01257	CEKMHFBL_01508, CEKMHFBL_01532
OG0000099	GNJGOIBN_01552	CEKMHFBL_01874
OG0000099	GNJGOIBN_00247	CEKMHFBL_02823
OG0000100	GNJGOIBN_02837	CEKMHFBL_02924
OG0000100	GNJGOIBN_02139	CEKMHFBL_00412
OG0000101	GNJGOIBN_01423, GNJGOIBN_02042	CEKMHFBL_01096
