Orthogroup	2767802316	spades-bin.32
OG0000000	GNJGOIBN_03738	BBLLADNB_00941
OG0000000	GNJGOIBN_02807	BBLLADNB_03206
OG0000000	GNJGOIBN_02784	BBLLADNB_03358
OG0000001	GNJGOIBN_02783	BBLLADNB_03360
OG0000001	GNJGOIBN_02623	BBLLADNB_03667
OG0000003	GNJGOIBN_02279	BBLLADNB_02283
OG0000005	GNJGOIBN_01591	BBLLADNB_03049
OG0000005	GNJGOIBN_02808	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134
OG0000005	GNJGOIBN_02136	BBLLADNB_01889, BBLLADNB_00354
OG0000007	GNJGOIBN_01682	BBLLADNB_02365
OG0000007	GNJGOIBN_03861	BBLLADNB_02048
OG0000008	GNJGOIBN_03946	BBLLADNB_00820
OG0000008	GNJGOIBN_01777	BBLLADNB_02916
OG0000009	GNJGOIBN_03297	BBLLADNB_00363
OG0000012	GNJGOIBN_00163, GNJGOIBN_01481	BBLLADNB_02911
OG0000014	GNJGOIBN_00241	BBLLADNB_03006
OG0000018	GNJGOIBN_01077	BBLLADNB_02917
OG0000018	GNJGOIBN_01435	BBLLADNB_03302
OG0000019	GNJGOIBN_02080	BBLLADNB_01031
OG0000020	GNJGOIBN_02862	BBLLADNB_00458
OG0000020	GNJGOIBN_00622	BBLLADNB_03115
OG0000021	GNJGOIBN_00164	BBLLADNB_02362, BBLLADNB_00396
OG0000022	GNJGOIBN_01483, GNJGOIBN_01441	BBLLADNB_02895
OG0000024	GNJGOIBN_00161	BBLLADNB_01074
OG0000025	GNJGOIBN_01396	BBLLADNB_00234
OG0000025	GNJGOIBN_01398	BBLLADNB_00232
OG0000026	GNJGOIBN_03532	BBLLADNB_03813
OG0000026	GNJGOIBN_01642	BBLLADNB_01144
OG0000026	GNJGOIBN_02406	BBLLADNB_01301
OG0000027	GNJGOIBN_01057	BBLLADNB_00516
OG0000027	GNJGOIBN_02053, GNJGOIBN_02031	BBLLADNB_03780
OG0000027	GNJGOIBN_03430	BBLLADNB_02016
OG0000029	GNJGOIBN_01756	BBLLADNB_00560
OG0000030	GNJGOIBN_01059	BBLLADNB_02770
OG0000030	GNJGOIBN_00011	BBLLADNB_03769
OG0000031	GNJGOIBN_00504	BBLLADNB_02574, BBLLADNB_02737
OG0000032	GNJGOIBN_02442	BBLLADNB_02940
OG0000033	GNJGOIBN_00959	BBLLADNB_02789
OG0000033	GNJGOIBN_01176	BBLLADNB_01136, BBLLADNB_01722
OG0000036	GNJGOIBN_00722	BBLLADNB_00050
OG0000036	GNJGOIBN_02274	BBLLADNB_03688
OG0000037	GNJGOIBN_01444, GNJGOIBN_01503	BBLLADNB_02512
OG0000037	GNJGOIBN_01174	BBLLADNB_01720
OG0000038	GNJGOIBN_01149	BBLLADNB_01016
OG0000038	GNJGOIBN_01150	BBLLADNB_01017
OG0000039	GNJGOIBN_04335	BBLLADNB_01332
OG0000041	GNJGOIBN_02172, GNJGOIBN_02173, GNJGOIBN_02174, GNJGOIBN_00154	BBLLADNB_01612
OG0000042	GNJGOIBN_00750	BBLLADNB_00833
OG0000042	GNJGOIBN_00041	BBLLADNB_03740
OG0000043	GNJGOIBN_01992	BBLLADNB_03212
OG0000043	GNJGOIBN_00999	BBLLADNB_03100
OG0000044	GNJGOIBN_02138	BBLLADNB_01902
OG0000044	GNJGOIBN_02838	BBLLADNB_02029
OG0000045	GNJGOIBN_02914	BBLLADNB_00254
OG0000045	GNJGOIBN_03131	BBLLADNB_01943
OG0000046	GNJGOIBN_01433	BBLLADNB_03304
OG0000047	GNJGOIBN_01232	BBLLADNB_01205
OG0000049	GNJGOIBN_00875	BBLLADNB_02825
OG0000051	GNJGOIBN_01570	BBLLADNB_03799
OG0000052	GNJGOIBN_00946	BBLLADNB_01939
OG0000052	GNJGOIBN_00801	BBLLADNB_01564
OG0000053	GNJGOIBN_00182	BBLLADNB_01069
OG0000054	GNJGOIBN_00246	BBLLADNB_00370
OG0000054	GNJGOIBN_02014	BBLLADNB_01519
OG0000055	GNJGOIBN_01406	BBLLADNB_03877
OG0000057	GNJGOIBN_00078	BBLLADNB_03571
OG0000057	GNJGOIBN_00077	BBLLADNB_02559
OG0000058	GNJGOIBN_00484	BBLLADNB_00531
OG0000059	GNJGOIBN_02745	BBLLADNB_02843
OG0000059	GNJGOIBN_03026	BBLLADNB_03386
OG0000060	GNJGOIBN_02067	BBLLADNB_02996, BBLLADNB_01044
OG0000062	GNJGOIBN_03896	BBLLADNB_02809
OG0000062	GNJGOIBN_03895	BBLLADNB_02808
OG0000063	GNJGOIBN_02364	BBLLADNB_03591
OG0000063	GNJGOIBN_03119	BBLLADNB_01762
OG0000064	GNJGOIBN_02093	BBLLADNB_01223
OG0000065	GNJGOIBN_01480	BBLLADNB_02912
OG0000065	GNJGOIBN_03616	BBLLADNB_03516
OG0000066	GNJGOIBN_00181	BBLLADNB_01070
OG0000067	GNJGOIBN_03137	BBLLADNB_02664
OG0000067	GNJGOIBN_04286	BBLLADNB_03776
OG0000068	GNJGOIBN_01549	BBLLADNB_03159
OG0000070	GNJGOIBN_00388	BBLLADNB_03107, BBLLADNB_03662
OG0000071	GNJGOIBN_01476	BBLLADNB_02913
OG0000071	GNJGOIBN_02925	BBLLADNB_00262
OG0000072	GNJGOIBN_03611	BBLLADNB_00868
OG0000073	GNJGOIBN_01305, GNJGOIBN_01306	BBLLADNB_01613
OG0000074	GNJGOIBN_01378	BBLLADNB_03003, BBLLADNB_02243
OG0000074	GNJGOIBN_03296	BBLLADNB_00364
OG0000075	GNJGOIBN_03888	BBLLADNB_01834
OG0000075	GNJGOIBN_02893	BBLLADNB_00307
OG0000076	GNJGOIBN_03125	BBLLADNB_00340
OG0000076	GNJGOIBN_03421	BBLLADNB_00652
OG0000077	GNJGOIBN_02859	BBLLADNB_02286
OG0000078	GNJGOIBN_03292	BBLLADNB_00755, BBLLADNB_00766
OG0000079	GNJGOIBN_01580	BBLLADNB_03718
OG0000079	GNJGOIBN_00886	BBLLADNB_03593
OG0000081	GNJGOIBN_02282	BBLLADNB_01674
OG0000082	GNJGOIBN_03704	BBLLADNB_01043
OG0000083	GNJGOIBN_04343	BBLLADNB_02141
OG0000083	GNJGOIBN_02839	BBLLADNB_02028
OG0000084	GNJGOIBN_01333	BBLLADNB_03705
OG0000085	GNJGOIBN_00757	BBLLADNB_03162, BBLLADNB_00836
OG0000087	GNJGOIBN_03188	BBLLADNB_02085
OG0000087	GNJGOIBN_02084	BBLLADNB_01215
OG0000088	GNJGOIBN_02063	BBLLADNB_01048
OG0000089	GNJGOIBN_01812	BBLLADNB_03117
OG0000090	GNJGOIBN_01846	BBLLADNB_03364
OG0000091	GNJGOIBN_00147	BBLLADNB_01733
OG0000092	GNJGOIBN_00146	BBLLADNB_03648
OG0000093	GNJGOIBN_02480	BBLLADNB_03580
