Orthogroup	2767802316	2687453699
OG0000000	GNJGOIBN_02807	PEBOPBNB_03180
OG0000000	GNJGOIBN_02784	PEBOPBNB_03032
OG0000001	GNJGOIBN_02783	PEBOPBNB_03030
OG0000001	GNJGOIBN_02623	PEBOPBNB_02650
OG0000005	GNJGOIBN_01591	PEBOPBNB_02063
OG0000005	GNJGOIBN_02808	PEBOPBNB_01526, PEBOPBNB_03330, PEBOPBNB_03354, PEBOPBNB_00692, PEBOPBNB_03435, PEBOPBNB_03181
OG0000005	GNJGOIBN_02136	PEBOPBNB_00162, PEBOPBNB_02517
OG0000007	GNJGOIBN_01682	PEBOPBNB_02536
OG0000007	GNJGOIBN_03861	PEBOPBNB_00294
OG0000008	GNJGOIBN_03946	PEBOPBNB_03288
OG0000008	GNJGOIBN_01777	PEBOPBNB_02959
OG0000009	GNJGOIBN_03297	PEBOPBNB_02507
OG0000009	GNJGOIBN_00092	PEBOPBNB_00533
OG0000009	GNJGOIBN_01325	PEBOPBNB_00532
OG0000012	GNJGOIBN_00163, GNJGOIBN_01481	PEBOPBNB_02954
OG0000012	GNJGOIBN_01708	PEBOPBNB_01389
OG0000014	GNJGOIBN_00241	PEBOPBNB_01894
OG0000018	GNJGOIBN_02009	PEBOPBNB_01529
OG0000018	GNJGOIBN_01435	PEBOPBNB_00089
OG0000019	GNJGOIBN_02080	PEBOPBNB_02860
OG0000020	GNJGOIBN_02047	PEBOPBNB_02619
OG0000020	GNJGOIBN_02862	PEBOPBNB_03336
OG0000020	GNJGOIBN_00622	PEBOPBNB_01144
OG0000021	GNJGOIBN_00164	PEBOPBNB_02539
OG0000022	GNJGOIBN_01483, GNJGOIBN_01441	PEBOPBNB_02952
OG0000024	GNJGOIBN_00161	PEBOPBNB_00462
OG0000025	GNJGOIBN_01396	PEBOPBNB_03569
OG0000025	GNJGOIBN_01398	PEBOPBNB_03567
OG0000026	GNJGOIBN_03532	PEBOPBNB_03517
OG0000026	GNJGOIBN_01642	PEBOPBNB_00711
OG0000026	GNJGOIBN_02406	PEBOPBNB_01916
OG0000027	GNJGOIBN_01057	PEBOPBNB_00169
OG0000027	GNJGOIBN_02053, GNJGOIBN_02031	PEBOPBNB_02898
OG0000027	GNJGOIBN_03430	PEBOPBNB_02172
OG0000029	GNJGOIBN_01756	PEBOPBNB_00513
OG0000030	GNJGOIBN_01059	PEBOPBNB_01586
OG0000030	GNJGOIBN_00011	PEBOPBNB_01500
OG0000031	GNJGOIBN_00504	PEBOPBNB_03133, PEBOPBNB_02626
OG0000032	GNJGOIBN_02442	PEBOPBNB_02580
OG0000033	GNJGOIBN_00959	PEBOPBNB_01375
OG0000033	GNJGOIBN_01176	PEBOPBNB_02073
OG0000036	GNJGOIBN_00722	PEBOPBNB_01743
OG0000036	GNJGOIBN_02274	PEBOPBNB_02679
OG0000037	GNJGOIBN_01444, GNJGOIBN_01503	PEBOPBNB_02932
OG0000037	GNJGOIBN_01174	PEBOPBNB_02071
OG0000038	GNJGOIBN_01149	PEBOPBNB_01409
OG0000038	GNJGOIBN_01150	PEBOPBNB_01410
OG0000039	GNJGOIBN_04335	PEBOPBNB_01057
