Orthogroup	Reactor4-bin.4	GCA_003332265.1
OG0000000	CEKMHFBL_00934, CEKMHFBL_02518, CEKMHFBL_01092, CEKMHFBL_01560, CEKMHFBL_02342, CEKMHFBL_02343, CEKMHFBL_02506, CEKMHFBL_01587	BFLDHLJO_00050
OG0000001	CEKMHFBL_02659	BFLDHLJO_00653
OG0000004	CEKMHFBL_01768	BFLDHLJO_04176
OG0000005	CEKMHFBL_02232	BFLDHLJO_02786
OG0000005	CEKMHFBL_02344, CEKMHFBL_02337	BFLDHLJO_03557
OG0000007	CEKMHFBL_00819	BFLDHLJO_02740
OG0000007	CEKMHFBL_01033	BFLDHLJO_00097
OG0000008	CEKMHFBL_03345	BFLDHLJO_02956
OG0000008	CEKMHFBL_03645	BFLDHLJO_03410
OG0000008	CEKMHFBL_02387	BFLDHLJO_02897
OG0000008	CEKMHFBL_03667	BFLDHLJO_02400
OG0000010	CEKMHFBL_01416	BFLDHLJO_00210, BFLDHLJO_02149
OG0000012	CEKMHFBL_02868, CEKMHFBL_03228	BFLDHLJO_02512
OG0000012	CEKMHFBL_01788	BFLDHLJO_02327
OG0000014	CEKMHFBL_01760, CEKMHFBL_01116, CEKMHFBL_01879	BFLDHLJO_00327
OG0000015	CEKMHFBL_00703, CEKMHFBL_01850	BFLDHLJO_02360
OG0000018	CEKMHFBL_02704	BFLDHLJO_00215
OG0000018	CEKMHFBL_01623	BFLDHLJO_00896
OG0000019	CEKMHFBL_00547	BFLDHLJO_00447
OG0000019	CEKMHFBL_03901	BFLDHLJO_03325
OG0000019	CEKMHFBL_03917	BFLDHLJO_02023
OG0000020	CEKMHFBL_01198	BFLDHLJO_02820
OG0000020	CEKMHFBL_00208, CEKMHFBL_04032	BFLDHLJO_01549
OG0000021	CEKMHFBL_02869, CEKMHFBL_03229	BFLDHLJO_02511
OG0000022	CEKMHFBL_03230, CEKMHFBL_02870	BFLDHLJO_02510
OG0000022	CEKMHFBL_02608	BFLDHLJO_01068
OG0000023	CEKMHFBL_00702	BFLDHLJO_00001
OG0000023	CEKMHFBL_03002	BFLDHLJO_00937
OG0000023	CEKMHFBL_03977	BFLDHLJO_01145
OG0000024	CEKMHFBL_01279	BFLDHLJO_01091
OG0000025	CEKMHFBL_00023, CEKMHFBL_00025, CEKMHFBL_01333, CEKMHFBL_01348, CEKMHFBL_02615, CEKMHFBL_01346	BFLDHLJO_04143
OG0000027	CEKMHFBL_02369	BFLDHLJO_03552
OG0000027	CEKMHFBL_04180	BFLDHLJO_03055
