Orthogroup	2687453699	spades-bin.32
OG0000000	PEBOPBNB_00160	BBLLADNB_01887
OG0000000	PEBOPBNB_00161	BBLLADNB_01888
OG0000000	PEBOPBNB_03436	BBLLADNB_02136
OG0000000	PEBOPBNB_03180	BBLLADNB_03206
OG0000000	PEBOPBNB_03032	BBLLADNB_03358
OG0000000	PEBOPBNB_00340	BBLLADNB_01430
OG0000001	PEBOPBNB_03030	BBLLADNB_03360
OG0000001	PEBOPBNB_00339	BBLLADNB_01431
OG0000001	PEBOPBNB_02650	BBLLADNB_03667
OG0000005	PEBOPBNB_02673	BBLLADNB_02838
OG0000005	PEBOPBNB_02063	BBLLADNB_03049
OG0000005	PEBOPBNB_01526	BBLLADNB_03375
OG0000005	PEBOPBNB_03330, PEBOPBNB_03354	BBLLADNB_00440
OG0000005	PEBOPBNB_00692	BBLLADNB_03261
OG0000005	PEBOPBNB_03435	BBLLADNB_02134
OG0000005	PEBOPBNB_00162	BBLLADNB_01889
OG0000005	PEBOPBNB_02517	BBLLADNB_00354
OG0000006	PEBOPBNB_03770	BBLLADNB_03729
OG0000007	PEBOPBNB_02536	BBLLADNB_02365
OG0000007	PEBOPBNB_00294	BBLLADNB_02048
OG0000008	PEBOPBNB_03288	BBLLADNB_00820
OG0000008	PEBOPBNB_01610	BBLLADNB_01965
OG0000008	PEBOPBNB_02959	BBLLADNB_02916
OG0000009	PEBOPBNB_03557	BBLLADNB_00222
OG0000009	PEBOPBNB_00020	BBLLADNB_00634, BBLLADNB_00750
OG0000009	PEBOPBNB_02507	BBLLADNB_00363
OG0000010	PEBOPBNB_01524	BBLLADNB_03377
OG0000011	PEBOPBNB_03352	BBLLADNB_00442
OG0000011	PEBOPBNB_03340	BBLLADNB_00454
OG0000011	PEBOPBNB_03357, PEBOPBNB_02792	BBLLADNB_03054
OG0000011	PEBOPBNB_01682	BBLLADNB_00011
OG0000011	PEBOPBNB_01681	BBLLADNB_00010
OG0000011	PEBOPBNB_03355	BBLLADNB_00439
OG0000011	PEBOPBNB_03356	BBLLADNB_00438
OG0000011	PEBOPBNB_01685	BBLLADNB_00014
OG0000012	PEBOPBNB_02954	BBLLADNB_02911
OG0000014	PEBOPBNB_01894	BBLLADNB_03006
OG0000014	PEBOPBNB_01443	BBLLADNB_00567
OG0000015	PEBOPBNB_03768	BBLLADNB_03018
OG0000016	PEBOPBNB_03769	BBLLADNB_03017
OG0000018	PEBOPBNB_00089	BBLLADNB_03302
OG0000019	PEBOPBNB_02860	BBLLADNB_01031
OG0000020	PEBOPBNB_03336	BBLLADNB_00458
OG0000020	PEBOPBNB_01144	BBLLADNB_03115
OG0000021	PEBOPBNB_02953	BBLLADNB_02910
OG0000021	PEBOPBNB_02539	BBLLADNB_02362
OG0000022	PEBOPBNB_02952	BBLLADNB_02895
OG0000022	PEBOPBNB_02540	BBLLADNB_02361
OG0000024	PEBOPBNB_00462	BBLLADNB_01074
OG0000025	PEBOPBNB_03569	BBLLADNB_00234
OG0000025	PEBOPBNB_03567	BBLLADNB_00232
OG0000026	PEBOPBNB_03517	BBLLADNB_03813
OG0000026	PEBOPBNB_00711	BBLLADNB_01144
OG0000026	PEBOPBNB_01916	BBLLADNB_01301
OG0000027	PEBOPBNB_00169	BBLLADNB_00516
OG0000027	PEBOPBNB_02898	BBLLADNB_03780
OG0000027	PEBOPBNB_02172	BBLLADNB_02016
OG0000028	PEBOPBNB_02419	BBLLADNB_03701
OG0000028	PEBOPBNB_02904	BBLLADNB_03481
OG0000029	PEBOPBNB_00513	BBLLADNB_00560
OG0000030	PEBOPBNB_01586	BBLLADNB_02770
OG0000030	PEBOPBNB_01500	BBLLADNB_03769
OG0000031	PEBOPBNB_00552	BBLLADNB_02526
OG0000031	PEBOPBNB_02626	BBLLADNB_02737
OG0000032	PEBOPBNB_02580	BBLLADNB_02940
OG0000033	PEBOPBNB_01375	BBLLADNB_02789
OG0000033	PEBOPBNB_02088	BBLLADNB_01869
OG0000033	PEBOPBNB_02073	BBLLADNB_01722
OG0000034	PEBOPBNB_01741, PEBOPBNB_01203	BBLLADNB_01056
OG0000036	PEBOPBNB_01743	BBLLADNB_00050
OG0000036	PEBOPBNB_02679	BBLLADNB_03688
OG0000037	PEBOPBNB_02932	BBLLADNB_02512
OG0000037	PEBOPBNB_02071	BBLLADNB_01720
OG0000038	PEBOPBNB_01409	BBLLADNB_01016
OG0000038	PEBOPBNB_01410	BBLLADNB_01017
OG0000039	PEBOPBNB_01057	BBLLADNB_01332
OG0000039	PEBOPBNB_01120	BBLLADNB_01823
OG0000041	PEBOPBNB_01532	BBLLADNB_01612
OG0000042	PEBOPBNB_01765	BBLLADNB_00833
OG0000042	PEBOPBNB_01001	BBLLADNB_03740
OG0000043	PEBOPBNB_01508	BBLLADNB_03212
OG0000043	PEBOPBNB_01182	BBLLADNB_03100
OG0000044	PEBOPBNB_02116	BBLLADNB_01902
OG0000044	PEBOPBNB_02472	BBLLADNB_02029
OG0000044	PEBOPBNB_00342	BBLLADNB_01428
OG0000045	PEBOPBNB_02298	BBLLADNB_00254
OG0000045	PEBOPBNB_03757	BBLLADNB_01943
OG0000046	PEBOPBNB_00079	BBLLADNB_03304
OG0000047	PEBOPBNB_00126	BBLLADNB_01205
OG0000049	PEBOPBNB_00922	BBLLADNB_03233
OG0000049	PEBOPBNB_00613	BBLLADNB_02825
OG0000050	PEBOPBNB_03739	BBLLADNB_03871
OG0000051	PEBOPBNB_01959	BBLLADNB_03799
OG0000052	PEBOPBNB_00985	BBLLADNB_01939
OG0000052	PEBOPBNB_01813	BBLLADNB_01564
OG0000053	PEBOPBNB_00573	BBLLADNB_01069
OG0000054	PEBOPBNB_01285	BBLLADNB_00370
OG0000054	PEBOPBNB_02514	BBLLADNB_00357
OG0000054	PEBOPBNB_00912	BBLLADNB_01519
OG0000057	PEBOPBNB_00685	BBLLADNB_03571
OG0000057	PEBOPBNB_00882	BBLLADNB_02559
OG0000058	PEBOPBNB_01224	BBLLADNB_00531
OG0000059	PEBOPBNB_02186	BBLLADNB_02843
OG0000059	PEBOPBNB_03723	BBLLADNB_03386
OG0000060	PEBOPBNB_03487	BBLLADNB_02117
OG0000060	PEBOPBNB_02880	BBLLADNB_02996
OG0000060	PEBOPBNB_02872	BBLLADNB_01044
OG0000061	PEBOPBNB_00475	BBLLADNB_02719
OG0000062	PEBOPBNB_00366	BBLLADNB_02809
OG0000062	PEBOPBNB_00367	BBLLADNB_02808
OG0000063	PEBOPBNB_03057	BBLLADNB_03591
OG0000063	PEBOPBNB_01169	BBLLADNB_01762
OG0000064	PEBOPBNB_00468	BBLLADNB_03384
OG0000064	PEBOPBNB_02833	BBLLADNB_01223
OG0000065	PEBOPBNB_02955	BBLLADNB_02912
OG0000065	PEBOPBNB_00071	BBLLADNB_00863
OG0000066	PEBOPBNB_00572	BBLLADNB_01070
OG0000067	PEBOPBNB_01858	BBLLADNB_02664
OG0000067	PEBOPBNB_00921	BBLLADNB_03776
OG0000068	PEBOPBNB_02890	BBLLADNB_03159
OG0000070	PEBOPBNB_02109	BBLLADNB_01895
OG0000070	PEBOPBNB_01187	BBLLADNB_03107, BBLLADNB_03662
OG0000070	PEBOPBNB_03078	BBLLADNB_02366
OG0000071	PEBOPBNB_02956	BBLLADNB_02913
OG0000071	PEBOPBNB_02290	BBLLADNB_00262
OG0000072	PEBOPBNB_00066	BBLLADNB_00868
OG0000073	PEBOPBNB_01533	BBLLADNB_01613
OG0000074	PEBOPBNB_01891	BBLLADNB_03003
OG0000074	PEBOPBNB_01631	BBLLADNB_02243
OG0000074	PEBOPBNB_02506	BBLLADNB_00364
OG0000075	PEBOPBNB_01109	BBLLADNB_01834
OG0000075	PEBOPBNB_02313	BBLLADNB_00307
OG0000076	PEBOPBNB_02531	BBLLADNB_00340
OG0000076	PEBOPBNB_02989	BBLLADNB_00652
OG0000077	PEBOPBNB_03333	BBLLADNB_02286
OG0000077	PEBOPBNB_00134	BBLLADNB_01199
OG0000078	PEBOPBNB_00001	BBLLADNB_00766
OG0000079	PEBOPBNB_01970	BBLLADNB_03718
OG0000079	PEBOPBNB_01251	BBLLADNB_03593
OG0000080	PEBOPBNB_03747	BBLLADNB_01441
OG0000081	PEBOPBNB_02672	BBLLADNB_01674
OG0000083	PEBOPBNB_00834	BBLLADNB_02141
OG0000083	PEBOPBNB_02471	BBLLADNB_02028
OG0000084	PEBOPBNB_02676	BBLLADNB_02835
OG0000084	PEBOPBNB_01715	BBLLADNB_03705
OG0000085	PEBOPBNB_02887	BBLLADNB_03162
OG0000085	PEBOPBNB_01768	BBLLADNB_00836
OG0000086	PEBOPBNB_03570	BBLLADNB_00235
OG0000087	PEBOPBNB_02851	BBLLADNB_02085
OG0000087	PEBOPBNB_02841	BBLLADNB_01215
