Orthogroup	2687453699	Reactor4-bin.4
OG0000000	PEBOPBNB_00160	CEKMHFBL_02338
OG0000000	PEBOPBNB_03180	CEKMHFBL_02342, CEKMHFBL_02343
OG0000001	PEBOPBNB_03030	CEKMHFBL_02659
OG0000001	PEBOPBNB_02650	CEKMHFBL_00603
OG0000005	PEBOPBNB_02063	CEKMHFBL_02232
OG0000005	PEBOPBNB_01526, PEBOPBNB_03330, PEBOPBNB_03354, PEBOPBNB_00692, PEBOPBNB_03435, PEBOPBNB_03181	CEKMHFBL_02344
OG0000005	PEBOPBNB_00162, PEBOPBNB_02517	CEKMHFBL_02337
OG0000007	PEBOPBNB_02536	CEKMHFBL_00819
OG0000007	PEBOPBNB_00294	CEKMHFBL_01033
OG0000008	PEBOPBNB_03288	CEKMHFBL_03345
OG0000008	PEBOPBNB_01610, PEBOPBNB_02959	CEKMHFBL_02387
OG0000009	PEBOPBNB_03557	CEKMHFBL_00035, CEKMHFBL_04174
OG0000009	PEBOPBNB_02507	CEKMHFBL_01332
OG0000009	PEBOPBNB_00533	CEKMHFBL_01326
OG0000010	PEBOPBNB_01524	CEKMHFBL_01416
OG0000012	PEBOPBNB_02954	CEKMHFBL_02868, CEKMHFBL_03228
OG0000012	PEBOPBNB_01389	CEKMHFBL_01788
OG0000014	PEBOPBNB_01443	CEKMHFBL_01760, CEKMHFBL_01116, CEKMHFBL_01879
OG0000015	PEBOPBNB_03768	CEKMHFBL_00703, CEKMHFBL_01850
OG0000018	PEBOPBNB_01529	CEKMHFBL_02704
OG0000018	PEBOPBNB_00089	CEKMHFBL_01623
OG0000019	PEBOPBNB_02860	CEKMHFBL_00547
OG0000020	PEBOPBNB_03336	CEKMHFBL_01198
OG0000020	PEBOPBNB_01144	CEKMHFBL_00208, CEKMHFBL_04032
OG0000021	PEBOPBNB_02953	CEKMHFBL_02606, CEKMHFBL_02607
OG0000022	PEBOPBNB_02952	CEKMHFBL_03230, CEKMHFBL_02870
OG0000022	PEBOPBNB_02540	CEKMHFBL_02608
OG0000024	PEBOPBNB_00462, PEBOPBNB_03738	CEKMHFBL_01279
