Orthogroup	2687453699	GCA_000310125.2
OG0000000	PEBOPBNB_00160, PEBOPBNB_00161	lcl|AMXB01000059.1_prot_ENO75197.1_4017
OG0000000	PEBOPBNB_03436	lcl|AMXB01000044.1_prot_ENO76101.1_3704
OG0000000	PEBOPBNB_03032	lcl|AMXB01000009.1_prot_ENO81770.1_1261
OG0000001	PEBOPBNB_03030	lcl|AMXB01000009.1_prot_ENO81772.1_1263
OG0000001	PEBOPBNB_02650	lcl|AMXB01000034.1_prot_ENO77039.1_3274
OG0000007	PEBOPBNB_02536	lcl|AMXB01000001.1_prot_ENO83277.1_150
OG0000007	PEBOPBNB_00294	lcl|AMXB01000010.1_prot_ENO81610.1_1378
OG0000009	PEBOPBNB_03557	lcl|AMXB01000004.1_prot_ENO82573.1_532
OG0000010	PEBOPBNB_01524	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348
OG0000011	PEBOPBNB_03352, PEBOPBNB_03340, PEBOPBNB_03357, PEBOPBNB_02792, PEBOPBNB_01682, PEBOPBNB_01681, PEBOPBNB_03355, PEBOPBNB_03356, PEBOPBNB_01685	lcl|AMXB01000002.1_prot_ENO83078.1_338
OG0000012	PEBOPBNB_01389	lcl|AMXB01000026.1_prot_ENO78508.1_2851
OG0000014	PEBOPBNB_01894	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527
OG0000018	PEBOPBNB_01529	lcl|AMXB01000068.1_prot_ENO74859.1_4125
OG0000018	PEBOPBNB_00089	lcl|AMXB01000029.1_prot_ENO77786.1_3043
OG0000021	PEBOPBNB_02539	lcl|AMXB01000043.1_prot_ENO76133.1_3675
OG0000022	PEBOPBNB_02952, PEBOPBNB_02540	lcl|AMXB01000043.1_prot_ENO76134.1_3676
OG0000024	PEBOPBNB_00462, PEBOPBNB_03738	lcl|AMXB01000008.1_prot_ENO82014.1_1242
OG0000025	PEBOPBNB_03569	lcl|AMXB01000004.1_prot_ENO82587.1_546
OG0000025	PEBOPBNB_03567, PEBOPBNB_00521	lcl|AMXB01000004.1_prot_ENO82564.1_523
OG0000026	PEBOPBNB_03517, PEBOPBNB_00711	lcl|AMXB01000011.1_prot_ENO81528.1_1584
OG0000026	PEBOPBNB_01916	lcl|AMXB01000027.1_prot_ENO78223.1_2859
OG0000027	PEBOPBNB_00169, PEBOPBNB_02898, PEBOPBNB_02172	lcl|AMXB01000010.1_prot_ENO81695.1_1463
OG0000028	PEBOPBNB_02419	lcl|AMXB01000056.1_prot_ENO75316.1_3978
OG0000028	PEBOPBNB_02904	lcl|AMXB01000049.1_prot_ENO75689.1_3828
OG0000030	PEBOPBNB_01586, PEBOPBNB_01500	lcl|AMXB01000039.1_prot_ENO76438.1_3514
OG0000031	PEBOPBNB_00552	lcl|AMXB01000010.1_prot_ENO81589.1_1357
OG0000031	PEBOPBNB_03133, PEBOPBNB_02626	lcl|AMXB01000004.1_prot_ENO82693.1_652
OG0000032	PEBOPBNB_02580	lcl|AMXB01000042.1_prot_ENO76224.1_3641
OG0000033	PEBOPBNB_01375, PEBOPBNB_02088, PEBOPBNB_02073	lcl|AMXB01000003.1_prot_ENO82797.1_439
