Orthogroup	644736333	2687453699
OG0000000	MCBBHCNB_03074	PEBOPBNB_03180
OG0000000	MCBBHCNB_03051	PEBOPBNB_03032
OG0000001	MCBBHCNB_03050	PEBOPBNB_03030
OG0000001	MCBBHCNB_02886	PEBOPBNB_02650
OG0000005	MCBBHCNB_01897	PEBOPBNB_02063
OG0000005	MCBBHCNB_03075	PEBOPBNB_01526, PEBOPBNB_03330, PEBOPBNB_03354, PEBOPBNB_00692, PEBOPBNB_03435, PEBOPBNB_03181
OG0000005	MCBBHCNB_02440	PEBOPBNB_00162, PEBOPBNB_02517
OG0000006	MCBBHCNB_00079, MCBBHCNB_02043, MCBBHCNB_04374, MCBBHCNB_01180, MCBBHCNB_01938, MCBBHCNB_03027, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_01549, MCBBHCNB_04694, MCBBHCNB_01703, MCBBHCNB_02079, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_04567	PEBOPBNB_03770
OG0000007	MCBBHCNB_01993	PEBOPBNB_02536
OG0000007	MCBBHCNB_04138	PEBOPBNB_00294
OG0000008	MCBBHCNB_04223	PEBOPBNB_03288
OG0000008	MCBBHCNB_02100	PEBOPBNB_02959
OG0000009	MCBBHCNB_03579	PEBOPBNB_02507
OG0000009	MCBBHCNB_00321	PEBOPBNB_00533
OG0000009	MCBBHCNB_01611	PEBOPBNB_00532
OG0000010	MCBBHCNB_00970	PEBOPBNB_01524
OG0000011	MCBBHCNB_00613	PEBOPBNB_03352, PEBOPBNB_03340, PEBOPBNB_03357, PEBOPBNB_02792, PEBOPBNB_01682, PEBOPBNB_01681, PEBOPBNB_03355, PEBOPBNB_03356, PEBOPBNB_01685
OG0000012	MCBBHCNB_00422, MCBBHCNB_01788	PEBOPBNB_02954
OG0000012	MCBBHCNB_02021	PEBOPBNB_01389
OG0000014	MCBBHCNB_00511	PEBOPBNB_01894
OG0000015	MCBBHCNB_00333, MCBBHCNB_01547, MCBBHCNB_00077, MCBBHCNB_04561, MCBBHCNB_02045, MCBBHCNB_01701, MCBBHCNB_02560, MCBBHCNB_02358, MCBBHCNB_02081, MCBBHCNB_01135, MCBBHCNB_01940, MCBBHCNB_00432, MCBBHCNB_04696, MCBBHCNB_01178, MCBBHCNB_04376, MCBBHCNB_03029, MCBBHCNB_01606, MCBBHCNB_02182, MCBBHCNB_00181, MCBBHCNB_03664	PEBOPBNB_03768
OG0000016	MCBBHCNB_04695, MCBBHCNB_01702, MCBBHCNB_04375, MCBBHCNB_02561, MCBBHCNB_01939, MCBBHCNB_00334, MCBBHCNB_02044, MCBBHCNB_00078, MCBBHCNB_01136, MCBBHCNB_00431, MCBBHCNB_02080, MCBBHCNB_02357, MCBBHCNB_03028, MCBBHCNB_01179, MCBBHCNB_01548, MCBBHCNB_04562	PEBOPBNB_03769
OG0000018	MCBBHCNB_02323	PEBOPBNB_01529
OG0000018	MCBBHCNB_01757	PEBOPBNB_00089
OG0000019	MCBBHCNB_02385	PEBOPBNB_02860
OG0000020	MCBBHCNB_02348	PEBOPBNB_02619
OG0000020	MCBBHCNB_03129	PEBOPBNB_03336
OG0000020	MCBBHCNB_00893	PEBOPBNB_01144
OG0000021	MCBBHCNB_00423	PEBOPBNB_02539
OG0000022	MCBBHCNB_01790	PEBOPBNB_02952
