Orthogroup	644736333	GCA_003332265.1
OG0000000	MCBBHCNB_03514, MCBBHCNB_02488, MCBBHCNB_03120, MCBBHCNB_03074, MCBBHCNB_01367, MCBBHCNB_03051	BFLDHLJO_00050
OG0000001	MCBBHCNB_03050	BFLDHLJO_00653
OG0000001	MCBBHCNB_00167, MCBBHCNB_00185	BFLDHLJO_03206
OG0000003	MCBBHCNB_02579	BFLDHLJO_03582
OG0000004	MCBBHCNB_02840	BFLDHLJO_04176
OG0000004	MCBBHCNB_04231	BFLDHLJO_02874, BFLDHLJO_04117
OG0000005	MCBBHCNB_01897	BFLDHLJO_02786
OG0000005	MCBBHCNB_03075, MCBBHCNB_02440	BFLDHLJO_03557
OG0000006	MCBBHCNB_04563, MCBBHCNB_00335	BFLDHLJO_02363, BFLDHLJO_02095, BFLDHLJO_02362
OG0000006	MCBBHCNB_00079, MCBBHCNB_02043, MCBBHCNB_04374, MCBBHCNB_01180, MCBBHCNB_01938, MCBBHCNB_03027, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_01549, MCBBHCNB_04694, MCBBHCNB_01703, MCBBHCNB_02079, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_04567	BFLDHLJO_02364
OG0000007	MCBBHCNB_01993	BFLDHLJO_02740
OG0000007	MCBBHCNB_02703	BFLDHLJO_00811
OG0000007	MCBBHCNB_04138	BFLDHLJO_00097
OG0000008	MCBBHCNB_04223	BFLDHLJO_02956
OG0000008	MCBBHCNB_03177	BFLDHLJO_03410
OG0000008	MCBBHCNB_02100	BFLDHLJO_02897
OG0000008	MCBBHCNB_04528	BFLDHLJO_02400
OG0000010	MCBBHCNB_00970	BFLDHLJO_00210, BFLDHLJO_02149
OG0000011	MCBBHCNB_00613	BFLDHLJO_03585, BFLDHLJO_03583, BFLDHLJO_03584, BFLDHLJO_03580
OG0000012	MCBBHCNB_00422, MCBBHCNB_01788	BFLDHLJO_02512
OG0000012	MCBBHCNB_02021	BFLDHLJO_02327
OG0000013	MCBBHCNB_00389	BFLDHLJO_03160
OG0000015	MCBBHCNB_00333, MCBBHCNB_01547, MCBBHCNB_00077, MCBBHCNB_04561, MCBBHCNB_02045, MCBBHCNB_01701, MCBBHCNB_02560, MCBBHCNB_02358, MCBBHCNB_02081, MCBBHCNB_01135, MCBBHCNB_01940, MCBBHCNB_00432, MCBBHCNB_04696, MCBBHCNB_01178, MCBBHCNB_04376, MCBBHCNB_03029, MCBBHCNB_01606, MCBBHCNB_02182, MCBBHCNB_00181, MCBBHCNB_03664	BFLDHLJO_02360
OG0000016	MCBBHCNB_04695, MCBBHCNB_01702, MCBBHCNB_04375, MCBBHCNB_02561, MCBBHCNB_01939, MCBBHCNB_00334, MCBBHCNB_02044, MCBBHCNB_00078, MCBBHCNB_01136, MCBBHCNB_00431, MCBBHCNB_02080, MCBBHCNB_02357, MCBBHCNB_03028, MCBBHCNB_01179, MCBBHCNB_01548, MCBBHCNB_04562	BFLDHLJO_02361
OG0000018	MCBBHCNB_02323	BFLDHLJO_00215
OG0000018	MCBBHCNB_01757	BFLDHLJO_00896
OG0000019	MCBBHCNB_02385	BFLDHLJO_00447
OG0000020	MCBBHCNB_03129	BFLDHLJO_02820
OG0000020	MCBBHCNB_00893	BFLDHLJO_01549
OG0000021	MCBBHCNB_01789	BFLDHLJO_02511
OG0000021	MCBBHCNB_00423	BFLDHLJO_01162, BFLDHLJO_01066, BFLDHLJO_01067
OG0000022	MCBBHCNB_01790	BFLDHLJO_02510
OG0000023	MCBBHCNB_02139, MCBBHCNB_02992	BFLDHLJO_00937
OG0000024	MCBBHCNB_00420, MCBBHCNB_00222	BFLDHLJO_01091
OG0000025	MCBBHCNB_01680, MCBBHCNB_01682	BFLDHLJO_04143
OG0000026	MCBBHCNB_01960	BFLDHLJO_03161
OG0000026	MCBBHCNB_02696	BFLDHLJO_02074
OG0000027	MCBBHCNB_01334	BFLDHLJO_03552
OG0000027	MCBBHCNB_03705	BFLDHLJO_03055
OG0000029	MCBBHCNB_04249	BFLDHLJO_00690
OG0000030	MCBBHCNB_01336	BFLDHLJO_01988
OG0000030	MCBBHCNB_04748	BFLDHLJO_02159
OG0000031	MCBBHCNB_00781	BFLDHLJO_02043, BFLDHLJO_00513
OG0000032	MCBBHCNB_02732	BFLDHLJO_00585
OG0000033	MCBBHCNB_01439	BFLDHLJO_02611, BFLDHLJO_02776
OG0000035	MCBBHCNB_02137	BFLDHLJO_02766, BFLDHLJO_00831, BFLDHLJO_00165, BFLDHLJO_00164, BFLDHLJO_00161, BFLDHLJO_00163
OG0000036	MCBBHCNB_01002	BFLDHLJO_01216
OG0000036	MCBBHCNB_02574	BFLDHLJO_01637
OG0000037	MCBBHCNB_01810	BFLDHLJO_02489
OG0000037	MCBBHCNB_01437	BFLDHLJO_02778
OG0000038	MCBBHCNB_01409	BFLDHLJO_00291
OG0000038	MCBBHCNB_01410	BFLDHLJO_00292
OG0000041	MCBBHCNB_02476, MCBBHCNB_02477, MCBBHCNB_02478, MCBBHCNB_00414	BFLDHLJO_00219
OG0000042	MCBBHCNB_01030	BFLDHLJO_01193
OG0000042	MCBBHCNB_00269	BFLDHLJO_01926
OG0000043	MCBBHCNB_02305	BFLDHLJO_02167
OG0000043	MCBBHCNB_01277	BFLDHLJO_01582
OG0000044	MCBBHCNB_03103	BFLDHLJO_01136
OG0000045	MCBBHCNB_03184	BFLDHLJO_03403
OG0000045	MCBBHCNB_00230	BFLDHLJO_03667, BFLDHLJO_03224
OG0000046	MCBBHCNB_02321	BFLDHLJO_00213
OG0000046	MCBBHCNB_01755	BFLDHLJO_00899
OG0000047	MCBBHCNB_03041	BFLDHLJO_03646
OG0000047	MCBBHCNB_01502	BFLDHLJO_00610
