Orthogroup	644736333	GCA_000310125.2
OG0000000	MCBBHCNB_04024	lcl|AMXB01000040.1_prot_ENO76352.1_3557
OG0000000	MCBBHCNB_03051	lcl|AMXB01000009.1_prot_ENO81770.1_1261
OG0000001	MCBBHCNB_03050	lcl|AMXB01000009.1_prot_ENO81772.1_1263
OG0000001	MCBBHCNB_00167, MCBBHCNB_00185	lcl|AMXB01000006.1_prot_ENO82310.1_914, lcl|AMXB01000006.1_prot_ENO82315.1_919
OG0000001	MCBBHCNB_02886	lcl|AMXB01000034.1_prot_ENO77039.1_3274
OG0000003	MCBBHCNB_02579	lcl|AMXB01000023.1_prot_ENO79296.1_2604
OG0000007	MCBBHCNB_01993	lcl|AMXB01000001.1_prot_ENO83277.1_150
OG0000007	MCBBHCNB_04138	lcl|AMXB01000010.1_prot_ENO81610.1_1378
OG0000008	MCBBHCNB_03177	lcl|AMXB01000009.1_prot_ENO81800.1_1291
OG0000009	MCBBHCNB_01107	lcl|AMXB01000031.1_prot_ENO77392.1_3126
OG0000010	MCBBHCNB_03999	lcl|AMXB01000020.1_prot_ENO80497.1_2379, lcl|AMXB01000002.1_prot_ENO83094.1_354
OG0000010	MCBBHCNB_00970	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348, lcl|AMXB01000047.1_prot_ENO75792.1_3751
OG0000011	MCBBHCNB_00613	lcl|AMXB01000002.1_prot_ENO83078.1_338
OG0000012	MCBBHCNB_02021	lcl|AMXB01000026.1_prot_ENO78508.1_2851
OG0000013	MCBBHCNB_00389	lcl|AMXB01000057.1_prot_ENO75275.1_3995, lcl|AMXB01000011.1_prot_ENO81460.1_1516
OG0000014	MCBBHCNB_00511	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527
OG0000014	MCBBHCNB_03385	lcl|AMXB01000004.1_prot_ENO82570.1_529
OG0000018	MCBBHCNB_02323	lcl|AMXB01000068.1_prot_ENO74859.1_4125
OG0000018	MCBBHCNB_01355	lcl|AMXB01000025.1_prot_ENO78743.1_2768
OG0000018	MCBBHCNB_01757	lcl|AMXB01000029.1_prot_ENO77786.1_3043
OG0000021	MCBBHCNB_00423	lcl|AMXB01000043.1_prot_ENO76133.1_3675
OG0000022	MCBBHCNB_01790, MCBBHCNB_01970, MCBBHCNB_00424	lcl|AMXB01000043.1_prot_ENO76134.1_3676
OG0000023	MCBBHCNB_02139, MCBBHCNB_02992	lcl|AMXB01000041.1_prot_ENO76265.1_3603
OG0000024	MCBBHCNB_00198	lcl|AMXB01000071.1_prot_ENO74771.1_4160, lcl|AMXB01000041.1_prot_ENO76245.1_3583
