Orthogroup	644736333	spades-bin.32
OG0000000	MCBBHCNB_04024	BBLLADNB_00941
OG0000000	MCBBHCNB_03074	BBLLADNB_03206
OG0000000	MCBBHCNB_03051	BBLLADNB_03358
OG0000001	MCBBHCNB_03050	BBLLADNB_03360
OG0000001	MCBBHCNB_02886	BBLLADNB_03667
OG0000003	MCBBHCNB_02579	BBLLADNB_02283
OG0000005	MCBBHCNB_01897	BBLLADNB_03049
OG0000005	MCBBHCNB_03075	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134
OG0000005	MCBBHCNB_02440	BBLLADNB_01889, BBLLADNB_00354
OG0000006	MCBBHCNB_00079, MCBBHCNB_02043, MCBBHCNB_04374, MCBBHCNB_01180, MCBBHCNB_01938, MCBBHCNB_03027, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_01549, MCBBHCNB_04694, MCBBHCNB_01703, MCBBHCNB_02079, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_04567	BBLLADNB_03729
OG0000006	MCBBHCNB_01608, MCBBHCNB_02180, MCBBHCNB_00179, MCBBHCNB_03666	BBLLADNB_03015
OG0000007	MCBBHCNB_01993	BBLLADNB_02365
OG0000007	MCBBHCNB_04138	BBLLADNB_02048
OG0000008	MCBBHCNB_04223	BBLLADNB_00820
OG0000008	MCBBHCNB_02100	BBLLADNB_02916
OG0000009	MCBBHCNB_03579	BBLLADNB_00363
OG0000010	MCBBHCNB_00970	BBLLADNB_03377
OG0000011	MCBBHCNB_00613	BBLLADNB_00442, BBLLADNB_00454, BBLLADNB_03054, BBLLADNB_00011, BBLLADNB_00010, BBLLADNB_00439, BBLLADNB_00438, BBLLADNB_00014
OG0000012	MCBBHCNB_00422, MCBBHCNB_01788	BBLLADNB_02911
OG0000014	MCBBHCNB_00511	BBLLADNB_03006
OG0000015	MCBBHCNB_00333, MCBBHCNB_01547, MCBBHCNB_00077, MCBBHCNB_04561, MCBBHCNB_02045, MCBBHCNB_01701, MCBBHCNB_02560, MCBBHCNB_02358, MCBBHCNB_02081, MCBBHCNB_01135, MCBBHCNB_01940, MCBBHCNB_00432, MCBBHCNB_04696, MCBBHCNB_01178, MCBBHCNB_04376, MCBBHCNB_03029, MCBBHCNB_01606, MCBBHCNB_02182, MCBBHCNB_00181, MCBBHCNB_03664	BBLLADNB_03018
OG0000016	MCBBHCNB_03665, MCBBHCNB_00180, MCBBHCNB_01607, MCBBHCNB_02181	BBLLADNB_03016
OG0000016	MCBBHCNB_04695, MCBBHCNB_01702, MCBBHCNB_04375, MCBBHCNB_02561, MCBBHCNB_01939, MCBBHCNB_00334, MCBBHCNB_02044, MCBBHCNB_00078, MCBBHCNB_01136, MCBBHCNB_00431, MCBBHCNB_02080, MCBBHCNB_02357, MCBBHCNB_03028, MCBBHCNB_01179, MCBBHCNB_01548, MCBBHCNB_04562	BBLLADNB_03017
OG0000018	MCBBHCNB_01355	BBLLADNB_02917
OG0000018	MCBBHCNB_01757	BBLLADNB_03302
OG0000019	MCBBHCNB_02385	BBLLADNB_01031
OG0000020	MCBBHCNB_03129	BBLLADNB_00458
OG0000020	MCBBHCNB_00893	BBLLADNB_03115
OG0000021	MCBBHCNB_00423	BBLLADNB_02362, BBLLADNB_00396
OG0000022	MCBBHCNB_01790	BBLLADNB_02895
OG0000024	MCBBHCNB_00420, MCBBHCNB_00222	BBLLADNB_01074
OG0000025	MCBBHCNB_01680	BBLLADNB_00234
OG0000025	MCBBHCNB_01682	BBLLADNB_00232
OG0000026	MCBBHCNB_03806, MCBBHCNB_03651	BBLLADNB_03813
OG0000026	MCBBHCNB_01960	BBLLADNB_01144
OG0000026	MCBBHCNB_02696	BBLLADNB_01301
OG0000027	MCBBHCNB_01334	BBLLADNB_00516
OG0000027	MCBBHCNB_02354	BBLLADNB_03780
OG0000027	MCBBHCNB_03705	BBLLADNB_02016
OG0000028	MCBBHCNB_01904	BBLLADNB_03481
OG0000029	MCBBHCNB_04249, MCBBHCNB_02310, MCBBHCNB_00190, MCBBHCNB_00617	BBLLADNB_00560
OG0000030	MCBBHCNB_01336	BBLLADNB_02770
OG0000030	MCBBHCNB_04748	BBLLADNB_03769
OG0000031	MCBBHCNB_00781	BBLLADNB_02574, BBLLADNB_02737
OG0000032	MCBBHCNB_02732	BBLLADNB_02940
OG0000033	MCBBHCNB_01235	BBLLADNB_02789
OG0000033	MCBBHCNB_01439	BBLLADNB_01136, BBLLADNB_01722
OG0000034	MCBBHCNB_00609, MCBBHCNB_01709, MCBBHCNB_00345, MCBBHCNB_04050, MCBBHCNB_01984, MCBBHCNB_03796, MCBBHCNB_03135, MCBBHCNB_02336	BBLLADNB_01062
OG0000034	MCBBHCNB_00153	BBLLADNB_03824
OG0000036	MCBBHCNB_01002	BBLLADNB_00050
OG0000036	MCBBHCNB_02574	BBLLADNB_03688
OG0000037	MCBBHCNB_01810	BBLLADNB_02512
OG0000037	MCBBHCNB_01437	BBLLADNB_01720
OG0000038	MCBBHCNB_01409	BBLLADNB_01016
OG0000038	MCBBHCNB_01410	BBLLADNB_01017
OG0000039	MCBBHCNB_04628	BBLLADNB_01332
OG0000041	MCBBHCNB_02476, MCBBHCNB_02477, MCBBHCNB_02478, MCBBHCNB_00414	BBLLADNB_01612
OG0000042	MCBBHCNB_01030	BBLLADNB_00833
OG0000042	MCBBHCNB_00269	BBLLADNB_03740
OG0000043	MCBBHCNB_02305	BBLLADNB_03212
OG0000043	MCBBHCNB_01277	BBLLADNB_03100
OG0000044	MCBBHCNB_02442	BBLLADNB_01902
OG0000044	MCBBHCNB_03103	BBLLADNB_02029
OG0000045	MCBBHCNB_03184	BBLLADNB_00254
OG0000045	MCBBHCNB_00050, MCBBHCNB_03405	BBLLADNB_01943
OG0000046	MCBBHCNB_01755	BBLLADNB_03304
OG0000047	MCBBHCNB_01502	BBLLADNB_01205
OG0000048	MCBBHCNB_04693, MCBBHCNB_00080, MCBBHCNB_01937, MCBBHCNB_02563, MCBBHCNB_01550, MCBBHCNB_02042, MCBBHCNB_04373, MCBBHCNB_00339, MCBBHCNB_02078, MCBBHCNB_03026, MCBBHCNB_04568, MCBBHCNB_00429, MCBBHCNB_01181, MCBBHCNB_02355, MCBBHCNB_01704, MCBBHCNB_01138	BBLLADNB_03014
OG0000049	MCBBHCNB_01145	BBLLADNB_02825
OG0000050	MCBBHCNB_00014, MCBBHCNB_00022	BBLLADNB_03871
OG0000051	MCBBHCNB_01876	BBLLADNB_03799
OG0000052	MCBBHCNB_01221	BBLLADNB_01939
OG0000052	MCBBHCNB_01081	BBLLADNB_01564
OG0000053	MCBBHCNB_00448	BBLLADNB_01069
OG0000054	MCBBHCNB_00516	BBLLADNB_00370
OG0000054	MCBBHCNB_02328	BBLLADNB_01519
OG0000055	MCBBHCNB_01722, MCBBHCNB_02148, MCBBHCNB_01696	BBLLADNB_03877
OG0000055	MCBBHCNB_01711	BBLLADNB_03876
OG0000056	MCBBHCNB_00229	BBLLADNB_02172
OG0000057	MCBBHCNB_00306	BBLLADNB_03571
OG0000057	MCBBHCNB_00305	BBLLADNB_02559
OG0000058	MCBBHCNB_00761	BBLLADNB_00531
OG0000059	MCBBHCNB_03008	BBLLADNB_02843
OG0000059	MCBBHCNB_03300	BBLLADNB_03386
