Orthogroup	644736333	Reactor4-bin.4
OG0000000	MCBBHCNB_02488	CEKMHFBL_01092
OG0000000	MCBBHCNB_03120	CEKMHFBL_01560
OG0000000	MCBBHCNB_03074	CEKMHFBL_02342, CEKMHFBL_02343
OG0000000	MCBBHCNB_01367	CEKMHFBL_02506
OG0000001	MCBBHCNB_03050	CEKMHFBL_02659
OG0000001	MCBBHCNB_02886	CEKMHFBL_00603
OG0000004	MCBBHCNB_04340	CEKMHFBL_02642
OG0000004	MCBBHCNB_02840	CEKMHFBL_01768
OG0000005	MCBBHCNB_01897	CEKMHFBL_02232
OG0000005	MCBBHCNB_03075	CEKMHFBL_02344
OG0000005	MCBBHCNB_02440	CEKMHFBL_02337
OG0000007	MCBBHCNB_01993	CEKMHFBL_00819
OG0000007	MCBBHCNB_04138	CEKMHFBL_01033
OG0000008	MCBBHCNB_04223	CEKMHFBL_03345
OG0000008	MCBBHCNB_03177	CEKMHFBL_03645
OG0000008	MCBBHCNB_01351, MCBBHCNB_02100	CEKMHFBL_02387
OG0000008	MCBBHCNB_04528	CEKMHFBL_03667
OG0000009	MCBBHCNB_03579	CEKMHFBL_01332
OG0000009	MCBBHCNB_00321	CEKMHFBL_01326
OG0000009	MCBBHCNB_01107	CEKMHFBL_02138
OG0000010	MCBBHCNB_03999	CEKMHFBL_03892
OG0000010	MCBBHCNB_00970	CEKMHFBL_01416
OG0000012	MCBBHCNB_01788	CEKMHFBL_02868, CEKMHFBL_03228
OG0000012	MCBBHCNB_02021	CEKMHFBL_02609, CEKMHFBL_01788
OG0000014	MCBBHCNB_03385	CEKMHFBL_02749
OG0000015	MCBBHCNB_00333, MCBBHCNB_01547, MCBBHCNB_00077, MCBBHCNB_04561, MCBBHCNB_02045, MCBBHCNB_01701, MCBBHCNB_02560, MCBBHCNB_02358, MCBBHCNB_02081, MCBBHCNB_01135, MCBBHCNB_01940, MCBBHCNB_00432, MCBBHCNB_04696, MCBBHCNB_01178, MCBBHCNB_04376, MCBBHCNB_03029, MCBBHCNB_01606, MCBBHCNB_02182, MCBBHCNB_00181, MCBBHCNB_03664	CEKMHFBL_00703, CEKMHFBL_01850
OG0000017	MCBBHCNB_00438, MCBBHCNB_02635, MCBBHCNB_00774, MCBBHCNB_02091, MCBBHCNB_03169, MCBBHCNB_03031	CEKMHFBL_04242, CEKMHFBL_02906
OG0000018	MCBBHCNB_02323	CEKMHFBL_02704
OG0000018	MCBBHCNB_01355	CEKMHFBL_02390
OG0000018	MCBBHCNB_01757	CEKMHFBL_01623
OG0000019	MCBBHCNB_02385	CEKMHFBL_00547
OG0000020	MCBBHCNB_03129	CEKMHFBL_01198
OG0000020	MCBBHCNB_00893	CEKMHFBL_00208, CEKMHFBL_04032
OG0000021	MCBBHCNB_01789	CEKMHFBL_02869, CEKMHFBL_03229
OG0000022	MCBBHCNB_01790	CEKMHFBL_03230, CEKMHFBL_02870
OG0000023	MCBBHCNB_02139, MCBBHCNB_02992	CEKMHFBL_03002
OG0000024	MCBBHCNB_00198	CEKMHFBL_03764
OG0000024	MCBBHCNB_00420, MCBBHCNB_00222, MCBBHCNB_00023, MCBBHCNB_00013	CEKMHFBL_01279
OG0000025	MCBBHCNB_01680	CEKMHFBL_00023
OG0000025	MCBBHCNB_01682	CEKMHFBL_00025
OG0000027	MCBBHCNB_01334	CEKMHFBL_02369
OG0000027	MCBBHCNB_02354	CEKMHFBL_01085
OG0000027	MCBBHCNB_03705	CEKMHFBL_04180
OG0000028	MCBBHCNB_00481	CEKMHFBL_03147
OG0000028	MCBBHCNB_01036	CEKMHFBL_02775
OG0000029	MCBBHCNB_04249	CEKMHFBL_03930, CEKMHFBL_03623
OG0000030	MCBBHCNB_01336	CEKMHFBL_02371
OG0000030	MCBBHCNB_04748	CEKMHFBL_04070
OG0000030	MCBBHCNB_01786	CEKMHFBL_02863, CEKMHFBL_03226
OG0000031	MCBBHCNB_00781	CEKMHFBL_03273, CEKMHFBL_01847
OG0000032	MCBBHCNB_02732	CEKMHFBL_04121
OG0000033	MCBBHCNB_01235	CEKMHFBL_02512
OG0000033	MCBBHCNB_01439	CEKMHFBL_02366
OG0000034	MCBBHCNB_00609, MCBBHCNB_01709, MCBBHCNB_00345, MCBBHCNB_04050, MCBBHCNB_01984, MCBBHCNB_03796, MCBBHCNB_03135, MCBBHCNB_02336, MCBBHCNB_00153	CEKMHFBL_01360
OG0000035	MCBBHCNB_02137	CEKMHFBL_03599
OG0000035	MCBBHCNB_02988	CEKMHFBL_03006, CEKMHFBL_03008
OG0000036	MCBBHCNB_01002	CEKMHFBL_00095
OG0000036	MCBBHCNB_02574	CEKMHFBL_02849
OG0000037	MCBBHCNB_01810	CEKMHFBL_04080
OG0000037	MCBBHCNB_01437	CEKMHFBL_00511, CEKMHFBL_02368
OG0000038	MCBBHCNB_01409	CEKMHFBL_03869
OG0000038	MCBBHCNB_01410	CEKMHFBL_04060
OG0000039	MCBBHCNB_04628	CEKMHFBL_01029
OG0000039	MCBBHCNB_03730	CEKMHFBL_01605
OG0000040	MCBBHCNB_02333	CEKMHFBL_03123
OG0000041	MCBBHCNB_02477	CEKMHFBL_03746
OG0000041	MCBBHCNB_02478	CEKMHFBL_01530
OG0000041	MCBBHCNB_00414	CEKMHFBL_03826
OG0000042	MCBBHCNB_01030	CEKMHFBL_02780
OG0000042	MCBBHCNB_00269	CEKMHFBL_03086
OG0000043	MCBBHCNB_02305	CEKMHFBL_00672
OG0000043	MCBBHCNB_01277	CEKMHFBL_01825
OG0000044	MCBBHCNB_02442	CEKMHFBL_00411
OG0000044	MCBBHCNB_03103	CEKMHFBL_02925
OG0000045	MCBBHCNB_03184	CEKMHFBL_03652
OG0000046	MCBBHCNB_02321	CEKMHFBL_02706
OG0000046	MCBBHCNB_01755	CEKMHFBL_01621
OG0000047	MCBBHCNB_03041, MCBBHCNB_01502	CEKMHFBL_02147
OG0000049	MCBBHCNB_03412	CEKMHFBL_02657, CEKMHFBL_03019
OG0000050	MCBBHCNB_00014, MCBBHCNB_00022	CEKMHFBL_01280
OG0000050	MCBBHCNB_00408, MCBBHCNB_00173	CEKMHFBL_01843
OG0000051	MCBBHCNB_01876	CEKMHFBL_01682
OG0000051	MCBBHCNB_01477	CEKMHFBL_02725
OG0000052	MCBBHCNB_01221	CEKMHFBL_03062
OG0000052	MCBBHCNB_01081	CEKMHFBL_02105
OG0000054	MCBBHCNB_00516	CEKMHFBL_02822
OG0000054	MCBBHCNB_02328	CEKMHFBL_01194, CEKMHFBL_02171
OG0000057	MCBBHCNB_00306	CEKMHFBL_02159
OG0000057	MCBBHCNB_00305	CEKMHFBL_01481
OG0000058	MCBBHCNB_00761	CEKMHFBL_01992
OG0000058	MCBBHCNB_03602	CEKMHFBL_00293
OG0000059	MCBBHCNB_03300	CEKMHFBL_02685
OG0000060	MCBBHCNB_02372	CEKMHFBL_00562
OG0000061	MCBBHCNB_00409, MCBBHCNB_00172	CEKMHFBL_01844
OG0000062	MCBBHCNB_04175	CEKMHFBL_02889
OG0000062	MCBBHCNB_04174	CEKMHFBL_02890
OG0000063	MCBBHCNB_02666	CEKMHFBL_01892
OG0000063	MCBBHCNB_03393	CEKMHFBL_01516, CEKMHFBL_01839
OG0000064	MCBBHCNB_02397	CEKMHFBL_00749
OG0000065	MCBBHCNB_01787	CEKMHFBL_02867, CEKMHFBL_03227
OG0000065	MCBBHCNB_03903	CEKMHFBL_00606
OG0000066	MCBBHCNB_00447	CEKMHFBL_01362
OG0000068	MCBBHCNB_01855	CEKMHFBL_03556
OG0000069	MCBBHCNB_03721	CEKMHFBL_01596
OG0000070	MCBBHCNB_00663	CEKMHFBL_01942
OG0000071	MCBBHCNB_01783	CEKMHFBL_01051, CEKMHFBL_03223
OG0000072	MCBBHCNB_03894	CEKMHFBL_00179, CEKMHFBL_00596
OG0000073	MCBBHCNB_01587, MCBBHCNB_01588	CEKMHFBL_02400
OG0000074	MCBBHCNB_01644	CEKMHFBL_03368
OG0000074	MCBBHCNB_03578	CEKMHFBL_01565
OG0000075	MCBBHCNB_04167	CEKMHFBL_01518
OG0000075	MCBBHCNB_03164	CEKMHFBL_02567
OG0000076	MCBBHCNB_03399	CEKMHFBL_01871
OG0000076	MCBBHCNB_03696	CEKMHFBL_03247
OG0000077	MCBBHCNB_03126	CEKMHFBL_03755
OG0000078	MCBBHCNB_03574	CEKMHFBL_03159, CEKMHFBL_01763, CEKMHFBL_04260, CEKMHFBL_01747, CEKMHFBL_01739, CEKMHFBL_02350
OG0000079	MCBBHCNB_01886	CEKMHFBL_02031
OG0000079	MCBBHCNB_01156	CEKMHFBL_04068
OG0000081	MCBBHCNB_02474, MCBBHCNB_02475	CEKMHFBL_01079, CEKMHFBL_03825
OG0000081	MCBBHCNB_02581	CEKMHFBL_02682
OG0000082	MCBBHCNB_01270, MCBBHCNB_00358	CEKMHFBL_04189
OG0000082	MCBBHCNB_00351, MCBBHCNB_00428, MCBBHCNB_00359, MCBBHCNB_00361, MCBBHCNB_02002	CEKMHFBL_04236
OG0000083	MCBBHCNB_03104	CEKMHFBL_02926
OG0000084	MCBBHCNB_01650	CEKMHFBL_03745
OG0000085	MCBBHCNB_01037	CEKMHFBL_02774
OG0000086	MCBBHCNB_01679	CEKMHFBL_00022
OG0000087	MCBBHCNB_03464	CEKMHFBL_02689
OG0000087	MCBBHCNB_02389	CEKMHFBL_00757
OG0000088	MCBBHCNB_02368	CEKMHFBL_04272
OG0000089	MCBBHCNB_02123, MCBBHCNB_02366	CEKMHFBL_00827
OG0000089	MCBBHCNB_01951	CEKMHFBL_01099
OG0000090	MCBBHCNB_02160	CEKMHFBL_01250
OG0000090	MCBBHCNB_00475	CEKMHFBL_00791
OG0000091	MCBBHCNB_00226, MCBBHCNB_00406	CEKMHFBL_00868
OG0000092	MCBBHCNB_00227, MCBBHCNB_00405	CEKMHFBL_00867
OG0000093	MCBBHCNB_02770	CEKMHFBL_00321
OG0000094	MCBBHCNB_00225, MCBBHCNB_00417, MCBBHCNB_00201	CEKMHFBL_03761
OG0000095	MCBBHCNB_03217	CEKMHFBL_01584
OG0000097	MCBBHCNB_02144	CEKMHFBL_04246
OG0000097	MCBBHCNB_02145	CEKMHFBL_04234
OG0000097	MCBBHCNB_02077	CEKMHFBL_04233
OG0000098	MCBBHCNB_01523	CEKMHFBL_01508, CEKMHFBL_01532
OG0000099	MCBBHCNB_01858	CEKMHFBL_01874
OG0000099	MCBBHCNB_00517	CEKMHFBL_02823
OG0000100	MCBBHCNB_03102	CEKMHFBL_02924
