NHBDKAOG_00003	K07334	toxin HigB-1  
NHBDKAOG_00004	K21498	antitoxin HigA-1  
NHBDKAOG_00026	K07486	transposase   
NHBDKAOG_00032	K01153	type I restriction enzyme,
NHBDKAOG_00033	K03427	type I restriction enzyme
NHBDKAOG_00034	K01154	type I restriction enzyme,
NHBDKAOG_00036	K07403	membrane-bound serine protease (ClpP
NHBDKAOG_00038	K01154	type I restriction enzyme,
NHBDKAOG_00055	K03427	type I restriction enzyme
NHBDKAOG_00057	K04084	thioredoxin:protein disulfide reductase [EC:1.8.4.16]
NHBDKAOG_00058	K03926	periplasmic divalent cation tolerance
NHBDKAOG_00072	K07481	transposase, IS5 family 
NHBDKAOG_00076	K16147	starch synthase (maltosyl-transferring) [EC:2.4.99.16]
NHBDKAOG_00077	K16148	alpha-maltose-1-phosphate synthase [EC:2.4.1.342] 
NHBDKAOG_00078	K14742	tRNA threonylcarbamoyladenosine biosynthesis protein
NHBDKAOG_00079	K03789	[ribosomal protein S18]-alanine N-acetyltransferase
NHBDKAOG_00080	K21929	uracil-DNA glycosylase [EC:3.2.2.27] 
NHBDKAOG_00081	K03744	LemA protein  
NHBDKAOG_00082	K06872	uncharacterized protein  
NHBDKAOG_00097	K06871	uncharacterized protein  
NHBDKAOG_00101	K19140	CRISPR-associated protein Csm5 
NHBDKAOG_00102	K19139	CRISPR-associated protein Csm4 
NHBDKAOG_00103	K09002	CRISPR-associated protein Csm3 
NHBDKAOG_00104	K19138	CRISPR-associated protein Csm2 
NHBDKAOG_00105	K07016	CRISPR-associated protein Csm1 
NHBDKAOG_00108	K16090	catecholate siderophore receptor 
NHBDKAOG_00108	K02014	iron complex outermembrane recepter
NHBDKAOG_00109	K03559	biopolymer transport protein ExbD
NHBDKAOG_00110	K03561	biopolymer transport protein ExbB
NHBDKAOG_00111	K03832	periplasmic protein TonB 
NHBDKAOG_00113	K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3] 
NHBDKAOG_00118	K07486	transposase   
NHBDKAOG_00119	K07343	DNA transformation protein and
NHBDKAOG_00120	K07448	restriction system protein 
NHBDKAOG_00126	K02003	putative ABC transport system
NHBDKAOG_00133	K07126	uncharacterized protein  
NHBDKAOG_00146	K01476	arginase [EC:3.5.3.1]  
NHBDKAOG_00147	K10017	histidine transport system ATP-binding
NHBDKAOG_00147	K02028	polar amino acid transport
NHBDKAOG_00147	K02030	polar amino acid transport
NHBDKAOG_00147	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_00148	K10023	arginine/ornithine transport system permease
NHBDKAOG_00148	K02029	polar amino acid transport
NHBDKAOG_00149	K10024	arginine/ornithine transport system permease
NHBDKAOG_00149	K10016	histidine transport system permease
NHBDKAOG_00149	K02029	polar amino acid transport
NHBDKAOG_00150	K10022	arginine/ornithine transport system substrate-binding
NHBDKAOG_00150	K02030	polar amino acid transport
NHBDKAOG_00162	K03427	type I restriction enzyme
NHBDKAOG_00165	K19147	5-methylcytosine-specific restriction enzyme subunit
NHBDKAOG_00166	K07452	5-methylcytosine-specific restriction enzyme B
NHBDKAOG_00170	K01154	type I restriction enzyme,
NHBDKAOG_00171	K01153	type I restriction enzyme,
NHBDKAOG_00192	K12452	CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]
NHBDKAOG_00194	K00978	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33] 
NHBDKAOG_00195	K01652	acetolactate synthase I/II/III large
NHBDKAOG_00199	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]
NHBDKAOG_00200	K01990	ABC-2 type transport system
NHBDKAOG_00203	K01406	serralysin [EC:3.4.24.40]  
NHBDKAOG_00209	K02674	type IV pilus assembly
NHBDKAOG_00219	K19344	cytochrome c55X  
NHBDKAOG_00224	K06907	uncharacterized protein  
NHBDKAOG_00236	K06903	uncharacterized protein  
NHBDKAOG_00249	K03650	tRNA modification GTPase [EC:3.6.-.-]
NHBDKAOG_00250	K03217	YidC/Oxa1 family membrane protein
NHBDKAOG_00251	K08998	uncharacterized protein  
NHBDKAOG_00252	K02313	chromosomal replication initiator protein
NHBDKAOG_00253	K02338	DNA polymerase III subunit
NHBDKAOG_00254	K02470	DNA gyrase subunit B
NHBDKAOG_00255	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] 
NHBDKAOG_00257	K00014	shikimate dehydrogenase [EC:1.1.1.25] 
NHBDKAOG_00260	K02596	nitrogen fixation protein NifX
NHBDKAOG_00261	K02593	nitrogen fixation protein NifT
NHBDKAOG_00272	K09803	uncharacterized protein  
NHBDKAOG_00276	K02078	acyl carrier protein 
NHBDKAOG_00279	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
NHBDKAOG_00280	K18829	antitoxin VapB  
NHBDKAOG_00283	K02584	Nif-specific regulatory protein 
NHBDKAOG_00287	K02585	nitrogen fixation protein NifB
NHBDKAOG_00288	K02584	Nif-specific regulatory protein 
NHBDKAOG_00290	K23916	nitrogen fixation regulatory protein
NHBDKAOG_00291	K03617	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00292	K03616	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00293	K03615	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00294	K03614	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00295	K03612	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00296	K03613	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00297	K09801	uncharacterized protein  
NHBDKAOG_00300	K03612	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00301	K03613	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_00302	K09801	uncharacterized protein  
NHBDKAOG_00304	K15773	HTH-type transcriptional regulator /
NHBDKAOG_00305	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]
NHBDKAOG_00310	K02597	nitrogen fixation protein NifZ
NHBDKAOG_00311	K02595	nitrogenase-stabilizing/protective protein  
NHBDKAOG_00313	K02594	homocitrate synthase NifV [EC:2.3.3.14]
NHBDKAOG_00314	K02017	molybdate transport system ATP-binding
NHBDKAOG_00315	K02018	molybdate transport system permease
NHBDKAOG_00316	K02020	molybdate transport system substrate-binding
NHBDKAOG_00318	K15790	nitrogen fixation protein NifQ
NHBDKAOG_00319	K02587	nitrogenase molybdenum-cofactor synthesis protein
NHBDKAOG_00320	K02592	nitrogenase molybdenum-iron protein NifN
NHBDKAOG_00321	K02596	nitrogen fixation protein NifX
NHBDKAOG_00322	K03803	sigma-E factor negative regulatory
NHBDKAOG_00327	K13819	NifU-like protein  
NHBDKAOG_00332	K01796	alpha-methylacyl-CoA racemase [EC:5.1.99.4] 
NHBDKAOG_00333	K02030	polar amino acid transport
NHBDKAOG_00334	K02029	polar amino acid transport
NHBDKAOG_00335	K02028	polar amino acid transport
NHBDKAOG_00335	K02030	polar amino acid transport
NHBDKAOG_00335	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_00338	K06384	stage II sporulation protein
NHBDKAOG_00341	K03924	MoxR-like ATPase [EC:3.6.3.-] 
NHBDKAOG_00346	K06147	ATP-binding cassette, subfamily B,
NHBDKAOG_00348	K01768	adenylate cyclase [EC:4.6.1.1] 
NHBDKAOG_00350	K00598	trans-aconitate 2-methyltransferase [EC:2.1.1.144] 
NHBDKAOG_00351	K07090	uncharacterized protein  
NHBDKAOG_00353	K03387	alkyl hydroperoxide reductase subunit
NHBDKAOG_00354	K03386	peroxiredoxin (alkyl hydroperoxide reductase
NHBDKAOG_00355	K03495	tRNA uridine 5-carboxymethylaminomethyl modification
NHBDKAOG_00356	K03501	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]
NHBDKAOG_00357	K03496	chromosome partitioning protein 
NHBDKAOG_00358	K03497	ParB family transcriptional regulator,
NHBDKAOG_00359	K02116	ATP synthase protein I
NHBDKAOG_00360	K02108	F-type H+-transporting ATPase subunit
NHBDKAOG_00361	K02110	F-type H+-transporting ATPase subunit
NHBDKAOG_00362	K02109	F-type H+-transporting ATPase subunit
NHBDKAOG_00363	K02113	F-type H+-transporting ATPase subunit
NHBDKAOG_00364	K02111	F-type H+/Na+-transporting ATPase subunit
NHBDKAOG_00365	K02115	F-type H+-transporting ATPase subunit
NHBDKAOG_00366	K02112	F-type H+/Na+-transporting ATPase subunit
NHBDKAOG_00367	K02114	F-type H+-transporting ATPase subunit
NHBDKAOG_00368	K03690	ubiquinone biosynthesis protein UbiJ
NHBDKAOG_00370	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol
NHBDKAOG_00372	K23127	cyclic-di-GMP-binding protein  
NHBDKAOG_00375	K01754	threonine dehydratase [EC:4.3.1.19] 
NHBDKAOG_00376	K01738	cysteine synthase [EC:2.5.1.47] 
NHBDKAOG_00377	K14155	cysteine-S-conjugate beta-lyase [EC:4.4.1.13] 
NHBDKAOG_00378	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169] 
NHBDKAOG_00381	K01409	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234] 
NHBDKAOG_00383	K07080	uncharacterized protein  
NHBDKAOG_00384	K00344	NADPH:quinone reductase [EC:1.6.5.5] 
NHBDKAOG_00385	K03657	DNA helicase II /
NHBDKAOG_00387	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2] 
NHBDKAOG_00388	K08309	soluble lytic murein transglycosylase
NHBDKAOG_00389	K03953	NADH dehydrogenase (ubiquinone) 1
NHBDKAOG_00390	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme)
NHBDKAOG_00399	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
NHBDKAOG_00402	K06877	DEAD/DEAH box helicase domain-containing
NHBDKAOG_00403	K08301	ribonuclease G [EC:3.1.26.-] 
NHBDKAOG_00404	K08303	putative protease [EC:3.4.-.-] 
NHBDKAOG_00406	K07080	uncharacterized protein  
NHBDKAOG_00409	K01338	ATP-dependent Lon protease [EC:3.4.21.53]
NHBDKAOG_00415	K22684	metacaspase-1 [EC:3.4.22.-]  
NHBDKAOG_00417	K13590	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_00417	K07216	hemerythrin   
NHBDKAOG_00420	K22491	MerR family transcriptional regulator,
NHBDKAOG_00423	K00253	isovaleryl-CoA dehydrogenase [EC:1.3.8.4] 
NHBDKAOG_00424	K01673	carbonic anhydrase [EC:4.2.1.1] 
NHBDKAOG_00426	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7] 
NHBDKAOG_00428	K03752	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
NHBDKAOG_00432	K01153	type I restriction enzyme,
NHBDKAOG_00433	K01154	type I restriction enzyme,
NHBDKAOG_00436	K03427	type I restriction enzyme
NHBDKAOG_00438	K03656	ATP-dependent DNA helicase Rep
NHBDKAOG_00438	K03657	DNA helicase II /
NHBDKAOG_00439	K07034	uncharacterized protein  
NHBDKAOG_00442	K09760	DNA recombination protein RmuC
NHBDKAOG_00444	K04763	integrase/recombinase XerD  
NHBDKAOG_00451	K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol
NHBDKAOG_00453	K01908	propionyl-CoA synthetase [EC:6.2.1.17] 
NHBDKAOG_00455	K19745	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
NHBDKAOG_00457	K02012	iron(III) transport system substrate-binding
NHBDKAOG_00458	K02011	iron(III) transport system permease
NHBDKAOG_00459	K02010	iron(III) transport system ATP-binding
NHBDKAOG_00460	K00684	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6] 
NHBDKAOG_00461	K21420	leucyl-tRNA---protein transferase [EC:2.3.2.29] 
NHBDKAOG_00463	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72] 
NHBDKAOG_00465	K20976	histidine phosphotransfer protein HptB
NHBDKAOG_00466	K06415	stage V sporulation protein
NHBDKAOG_00467	K09786	uncharacterized protein  
NHBDKAOG_00468	K07180	serine protein kinase 
NHBDKAOG_00476	K13283	ferrous-iron efflux pump FieF
NHBDKAOG_00479	K07006	uncharacterized protein  
NHBDKAOG_00481	K03559	biopolymer transport protein ExbD
NHBDKAOG_00482	K03562	biopolymer transport protein TolQ
NHBDKAOG_00482	K03561	biopolymer transport protein ExbB
NHBDKAOG_00483	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
NHBDKAOG_00484	K03551	holliday junction DNA helicase
NHBDKAOG_00486	K03550	holliday junction DNA helicase
NHBDKAOG_00487	K01159	crossover junction endodeoxyribonuclease RuvC
NHBDKAOG_00489	K02237	competence protein ComEA 
NHBDKAOG_00491	K07645	two-component system, OmpR family,
NHBDKAOG_00492	K07666	two-component system, OmpR family,
NHBDKAOG_00495	K06287	septum formation protein 
NHBDKAOG_00496	K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
NHBDKAOG_00497	K09710	ribosome-associated protein  
NHBDKAOG_00498	K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18] 
NHBDKAOG_00501	K02204	homoserine kinase type II
NHBDKAOG_00503	K02335	DNA polymerase I [EC:2.7.7.7]
NHBDKAOG_00505	K02041	phosphonate transport system ATP-binding
NHBDKAOG_00506	K02042	phosphonate transport system permease
NHBDKAOG_00507	K02044	phosphonate transport system substrate-binding
NHBDKAOG_00512	K00265	glutamate synthase (NADPH) large
NHBDKAOG_00513	K00266	glutamate synthase (NADPH) small
NHBDKAOG_00514	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase /
NHBDKAOG_00515	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
NHBDKAOG_00517	K09691	lipopolysaccharide transport system ATP-binding
NHBDKAOG_00524	K20444	O-antigen biosynthesis protein [EC:2.4.1.-]
