orthogroup,locus_tag,KO,Kannotation
OG0002076,BBLLADNB_02569,K07746,antitoxin ParD1/3/4  
OG0002445,BBLLADNB_03057,K23256,NADPH-dependent curcumin reductase [EC:1.3.1.-]
OG0002490,BBLLADNB_00202,K06905,uncharacterized protein  
OG0002624,BBLLADNB_03303,K02029,polar amino acid transport
OG0002626,BBLLADNB_02876,K09984,uncharacterized protein  
OG0002642,BBLLADNB_02529,K19746,D-arginine dehydrogenase [EC:1.4.99.6] 
OG0002683,BBLLADNB_03488,K09667,protein O-GlcNAc transferase [EC:2.4.1.255]
OG0002696,BBLLADNB_03585,K18289,itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22]
OG0002717,BBLLADNB_00275,K03301,ATP:ADP antiporter, AAA family
OG0002721,BBLLADNB_01504,K02111,F-type H+/Na+-transporting ATPase subunit
OG0002729,BBLLADNB_02601,K06897,7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]
OG0002753,BBLLADNB_03309,K01692,enoyl-CoA hydratase [EC:4.2.1.17] 
OG0002757,BBLLADNB_00997,K09857,uncharacterized protein  
OG0002758,BBLLADNB_00996,K06192,paraquat-inducible protein B 
OG0002759,BBLLADNB_00995,K03808,paraquat-inducible protein A 
OG0002760,BBLLADNB_00994,K03808,paraquat-inducible protein A 
OG0002768,BBLLADNB_00705,K05595,multiple antibiotic resistance protein
OG0002769,BBLLADNB_00829,K00873,pyruvate kinase [EC:2.7.1.40] 
OG0002974,BBLLADNB_03766,K06888,uncharacterized protein  
OG0002983,BBLLADNB_01798,K09700,uncharacterized protein  
OG0003003,BBLLADNB_02231,K02482,two-component system, NtrC family,
OG0003014,BBLLADNB_01130,K14379,tartrate-resistant acid phosphatase type
OG0003018,BBLLADNB_01856,K08682,acyl carrier protein phosphodiesterase
OG0003031,BBLLADNB_01505,K02109,F-type H+-transporting ATPase subunit
OG0003031,BBLLADNB_01505,K02113,F-type H+-transporting ATPase subunit
OG0003032,BBLLADNB_01506,K02110,F-type H+-transporting ATPase subunit
OG0003033,BBLLADNB_01507,K02108,F-type H+-transporting ATPase subunit
OG0003036,BBLLADNB_01510,K02112,F-type H+/Na+-transporting ATPase subunit
OG0003041,BBLLADNB_00359,K07178,RIO kinase 1 [EC:2.7.11.1]
OG0003054,BBLLADNB_03781,K07220,uncharacterized protein  
OG0003058,BBLLADNB_03355,K00799,glutathione S-transferase [EC:2.5.1.18] 
OG0003074,BBLLADNB_02131,K00998,CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8] 
OG0003076,BBLLADNB_03814,K07167,putative transcriptional regulator 
OG0003089,BBLLADNB_00394,K03205,type IV secretion system
OG0003089,BBLLADNB_03917,K03205,type IV secretion system
OG0003173,BBLLADNB_03908,K07133,uncharacterized protein  
OG0003213,BBLLADNB_03444,K07497,putative transposase  
OG0003214,BBLLADNB_02128,K07494,putative transposase  
OG0003326,BBLLADNB_00861,K17989,L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]
OG0003328,BBLLADNB_01204,K01584,arginine decarboxylase [EC:4.1.1.19] 
OG0003331,BBLLADNB_03627,K15270,S-adenosylmethionine uptake transporter 
OG0003340,BBLLADNB_03063,K07734,transcriptional regulator  
OG0003382,BBLLADNB_01594,K03192,urease accessory protein 
OG0003382,BBLLADNB_02578,K03192,urease accessory protein 
OG0003395,BBLLADNB_01159,K07216,hemerythrin   
OG0003405,BBLLADNB_00361,K07264,4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43] 
OG0003412,BBLLADNB_02967,K06975,uncharacterized protein  
OG0003415,BBLLADNB_01585,K13688,cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]
OG0003428,BBLLADNB_01484,K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
OG0003435,BBLLADNB_03228,K12058,conjugal transfer mating pair
OG0003436,BBLLADNB_00706,K07216,hemerythrin   
OG0003437,BBLLADNB_00821,K00285,D-amino-acid dehydrogenase [EC:1.4.5.1] 
OG0003445,BBLLADNB_00206,K06907,uncharacterized protein  
OG0003449,BBLLADNB_01945,K07454,putative restriction endonuclease 
OG0003511,BBLLADNB_00471,K07341,death on curing protein
OG0003668,BBLLADNB_02053,K03497,ParB family transcriptional regulator,
OG0003692,BBLLADNB_03453,K01156,type III restriction enzyme
OG0003804,BBLLADNB_03121,K05785,transcriptional antiterminator RfaH 
OG0003808,BBLLADNB_03023,K01560,2-haloacid dehalogenase [EC:3.8.1.2] 
OG0003815,BBLLADNB_03215,K01725,cyanate lyase [EC:4.2.1.104] 
OG0003819,BBLLADNB_02717,K02066,phospholipid/cholesterol/gamma-HCH transport system permease
OG0003839,BBLLADNB_01154,K03113,translation initiation factor 1
OG0003844,BBLLADNB_01515,K01236,maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141] 
OG0003845,BBLLADNB_03779,K01154,type I restriction enzyme,
OG0003848,BBLLADNB_00775,K05568,multicomponent Na+:H+ antiporter subunit
OG0003852,BBLLADNB_00791,K07001,NTE family protein 
OG0003853,BBLLADNB_00805,K07343,DNA transformation protein and
OG0003864,BBLLADNB_00393,K07064,uncharacterized protein  
OG0003866,BBLLADNB_00386,K07261,penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
OG0003870,BBLLADNB_01365,K05801,DnaJ like chaperone protein
OG0003871,BBLLADNB_03553,K01580,glutamate decarboxylase [EC:4.1.1.15] 
OG0003875,BBLLADNB_02959,K03316,monovalent cation:H+ antiporter, CPA1
OG0003889,BBLLADNB_02657,K22441,diamine N-acetyltransferase [EC:2.3.1.57] 
OG0003899,BBLLADNB_03050,K01434,penicillin G amidase [EC:3.5.1.11]
OG0003913,BBLLADNB_00289,K03781,catalase [EC:1.11.1.6]  
OG0003917,BBLLADNB_01496,K07090,uncharacterized protein  
OG0003920,BBLLADNB_02302,K16052,MscS family membrane protein
OG0003928,BBLLADNB_00342,K23886,CDGSH iron-sulfur domain-containing protein
OG0003929,BBLLADNB_02364,K15977,putative oxidoreductase  
OG0003937,BBLLADNB_02333,K04062,osmotically inducible lipoprotein OsmB
OG0003946,BBLLADNB_03497,K07114,Ca-activated chloride channel homolog
OG0003948,BBLLADNB_03492,K19156,antitoxin PrlF  
OG0003953,BBLLADNB_02688,K01114,phospholipase C [EC:3.1.4.3] 
OG0003954,BBLLADNB_02949,K07107,acyl-CoA thioester hydrolase [EC:3.1.2.-]
OG0003965,BBLLADNB_03230,K12059,conjugal transfer pilus assembly
OG0003981,BBLLADNB_00216,K13670,putative glycosyltransferase [EC:2.4.-.-] 
OG0003983,BBLLADNB_02611,K12062,conjugal transfer pilin signal
OG0003986,BBLLADNB_03639,K01779,aspartate racemase [EC:5.1.1.13] 
OG0004341,BBLLADNB_02391,K06921,uncharacterized protein  
OG0004387,BBLLADNB_00473,K12056,conjugal transfer mating pair
OG0004590,BBLLADNB_03291,K07727,putative transcriptional regulator 
OG0004595,BBLLADNB_02850,K12137,hydrogenase-4 component B [EC:1.-.-.-]
OG0004597,BBLLADNB_02848,K12140,hydrogenase-4 component E [EC:1.-.-.-]
OG0004598,BBLLADNB_02847,K12141,hydrogenase-4 component F [EC:1.-.-.-]
OG0004601,BBLLADNB_03180,K09978,uncharacterized protein  
OG0004621,BBLLADNB_00192,K06893,uncharacterized protein  
OG0004622,BBLLADNB_01514,K06044,(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15] 
OG0004622,BBLLADNB_01514,K00705,4-alpha-glucanotransferase [EC:2.4.1.25]  
OG0004629,BBLLADNB_00779,K05567,multicomponent Na+:H+ antiporter subunit
OG0004630,BBLLADNB_00783,K05570,multicomponent Na+:H+ antiporter subunit
OG0004631,BBLLADNB_00784,K05569,multicomponent Na+:H+ antiporter subunit
OG0004636,BBLLADNB_01828,K03547,DNA repair protein SbcD/Mre11
OG0004643,BBLLADNB_02227,K08481,circadian clock protein KaiB
OG0004644,BBLLADNB_02229,K08481,circadian clock protein KaiB
OG0004645,BBLLADNB_02230,K08482,circadian clock protein KaiC
OG0004659,BBLLADNB_02236,K00568,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9
OG0004661,BBLLADNB_00012,K03410,chemotaxis protein CheC 
OG0004666,BBLLADNB_01133,K03975,membrane-associated protein  
OG0004666,BBLLADNB_01133,K19302,undecaprenyl-diphosphatase [EC:3.6.1.27]  
OG0004671,BBLLADNB_01808,K20370,phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]
OG0004686,BBLLADNB_00559,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44] 
OG0004687,BBLLADNB_00557,K03333,cholesterol oxidase [EC:1.1.3.6] 
OG0004730,BBLLADNB_02997,K11689,C4-dicarboxylate transporter, DctQ subunit
OG0004731,BBLLADNB_03493,K07171,mRNA interferase MazF [EC:3.1.-.-]
OG0004741,BBLLADNB_03359,K02040,phosphate transport system substrate-binding
OG0004750,BBLLADNB_03043,K03281,chloride channel protein, CIC
OG0004751,BBLLADNB_02567,K19164,antitoxin CcdA  
OG0004752,BBLLADNB_02568,K19163,toxin CcdB  
OG0004771,BBLLADNB_02592,K12349,neutral ceramidase [EC:3.5.1.23] 
OG0004777,BBLLADNB_00700,K11021,insecticidal toxin complex protein
OG0004793,BBLLADNB_00903,K07451,5-methylcytosine-specific restriction enzyme A
OG0004804,BBLLADNB_02122,K22025,D-erythronate 2-dehydrogenase [EC:1.1.1.410] 
OG0004805,BBLLADNB_02120,K22130,3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104] 
OG0004806,BBLLADNB_02119,K21948,3-dehydrotetronate 4-kinase [EC:2.7.1.217] 
OG0004807,BBLLADNB_02118,K08319,L-threonate 2-dehydrogenase [EC:1.1.1.411] 
OG0004807,BBLLADNB_02118,K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] 
OG0004809,BBLLADNB_02114,K05799,GntR family transcriptional regulator,
OG0004816,BBLLADNB_03232,K12061,conjugal transfer pilus assembly
OG0004822,BBLLADNB_02542,K07455,recombination protein RecT 
OG0005676,BBLLADNB_02397,K03630,DNA repair protein RadC
OG0005716,BBLLADNB_00480,K12065,conjugal transfer pilus assembly
OG0005717,BBLLADNB_00481,K12066,conjugal transfer pilus assembly
OG0005726,BBLLADNB_00477,K12063,conjugal transfer ATP-binding protein
OG0005728,BBLLADNB_00475,K12057,conjugal transfer pilus assembly
OG0005729,BBLLADNB_00474,K12072,conjugative transfer pilus assembly
OG0005743,BBLLADNB_03900,K07493,putative transposase  
OG0005748,BBLLADNB_00681,K06919,putative DNA primase/helicase 
OG0005751,BBLLADNB_01554,K19131,CRISPR-associated protein Csb1 
OG0005752,BBLLADNB_01555,K19132,CRISPR-associated protein Csb2 
OG0005753,BBLLADNB_01556,K07012,CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.-
OG0005756,BBLLADNB_01955,K06006,periplasmic protein CpxP/Spy 
OG0005759,BBLLADNB_03825,K07452,5-methylcytosine-specific restriction enzyme B
OG0005762,BBLLADNB_00157,K07724,Ner family transcriptional regulator
OG0005762,BBLLADNB_00159,K07724,Ner family transcriptional regulator
OG0005764,BBLLADNB_01099,K07474,phage terminase small subunit
OG0005764,BBLLADNB_01547,K07474,phage terminase small subunit
