orthogroup,locus_tag,KO,Kannotation,all_or_exp_core,Module,Module_type,General_category,Specific_category,Module_description
OG0000006,NHBDKAOG_02948,K07497,putative transposase  ,exp,NA,NA,NA,NA,NA
OG0000006,NHBDKAOG_02952,K07497,putative transposase  ,exp,NA,NA,NA,NA,NA
OG0000029,NHBDKAOG_02438,K07487,transposase   ,all_or_exp_core,NA,NA,NA,NA,NA
OG0000029,NHBDKAOG_02438,K07481,transposase IS5 family,all_or_exp_core,NA,NA,NA,NA,NA
OG0000029,NHBDKAOG_03952,K07487,transposase IS5 family,all_or_exp_core,NA,NA,NA,NA,NA
OG0000029,NHBDKAOG_03952,K07481,transposase,all_or_exp_core,NA,NA,NA,NA,NA
OG0000053,NHBDKAOG_04119,K06400,site-specific DNA recombinase ,,NA,NA,NA,NA,NA
OG0000053,NHBDKAOG_04381,K06400,site-specific DNA recombinase ,,NA,NA,NA,NA,NA
OG0000054,NHBDKAOG_04041,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],,M00854,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
OG0000054,NHBDKAOG_04041,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000065,NHBDKAOG_01079,K22468,polyphosphate kinase [EC:2.7.4.1] ,,NA,NA,NA,NA,NA
OG0000065,NHBDKAOG_02832,K22468,polyphosphate kinase [EC:2.7.4.1] ,,NA,NA,NA,NA,NA
OG0000098,NHBDKAOG_03016,K01130,arylsulfatase [EC:3.1.6.1]  ,,NA,NA,NA,NA,NA
OG0000099,NHBDKAOG_02369,K01214,isoamylase [EC:3.2.1.68]  ,,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000099,NHBDKAOG_02369,K01236,maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141] ,,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000099,NHBDKAOG_02369,K01200,pullulanase [EC:3.2.1.41]  ,,M00855,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]
OG0000099,NHBDKAOG_04040,K01214,isoamylase [EC:3.2.1.68]  ,,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000101,NHBDKAOG_02417,K03321,sulfate permease SulP family,,NA,NA,NA,NA,NA
OG0000101,NHBDKAOG_04191,K03321,sulfate permease SulP family,,NA,NA,NA,NA,NA
OG0000288,NHBDKAOG_00517,K09691,lipopolysaccharide transport system ATP-binding,,NA,NA,NA,NA,NA
OG0000288,NHBDKAOG_03418,K09691,lipopolysaccharide transport system ATP-binding,,NA,NA,NA,NA,NA
OG0000288,NHBDKAOG_03922,K09691,lipopolysaccharide transport system ATP-binding,,NA,NA,NA,NA,NA
OG0000294,NHBDKAOG_00634,K06077,outer membrane lipoprotein SlyB,,NA,NA,NA,NA,NA
OG0000294,NHBDKAOG_02145,K06077,outer membrane lipoprotein SlyB,,NA,NA,NA,NA,NA
OG0000590,NHBDKAOG_03096,K07645,two-component system ompR family,,NA,NA,NA,NA,NA
OG0000590,NHBDKAOG_03096,K02484,two-component system ompR family,,NA,NA,NA,NA,NA
OG0000596,NHBDKAOG_00004,K21498,antitoxin HigA-1  ,,NA,NA,NA,NA,NA
OG0000596,NHBDKAOG_03470,K21498,antitoxin HigA-1  ,,NA,NA,NA,NA,NA
OG0001627,NHBDKAOG_01358,K21023,diguanylate cyclase [EC:2.7.7.65] ,,NA,NA,NA,NA,NA
OG0001628,NHBDKAOG_01312,K03821,polyhydroxyalkanoate synthase subunit PhaC,,NA,NA,NA,NA,NA
OG0001631,NHBDKAOG_01548,K21344,D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167] ,,M00064,Pathway modules,Glycan metabolism,Lipopolysaccharide metabolism, ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540 map01100]
OG0001638,NHBDKAOG_00797,K12132,eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],,NA,NA,NA,NA,NA
OG0001638,NHBDKAOG_00797,K08884,serine/threonine protein kinase,,NA,NA,NA,NA,NA
OG0001638,NHBDKAOG_03480,K12132,eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],,NA,NA,NA,NA,NA
OG0001638,NHBDKAOG_03480,K08884,serine/threonine protein kinase,,NA,NA,NA,NA,NA
OG0001638,NHBDKAOG_03482,K12132,eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],,NA,NA,NA,NA,NA
OG0001638,NHBDKAOG_03482,K08884,serine/threonine protein kinase,,NA,NA,NA,NA,NA
OG0001657,NHBDKAOG_00032,K01153,type I restriction enzyme,,NA,NA,NA,NA,NA
OG0001657,NHBDKAOG_04346,K01153,type I restriction enzyme,,NA,NA,NA,NA,NA
OG0001959,NHBDKAOG_01575,K13590,diguanylate cyclase [EC:2.7.7.65] ,,NA,NA,NA,NA,NA
OG0001980,NHBDKAOG_03904,K04758,ferrous iron transport protein,,NA,NA,NA,NA,NA
OG0001981,NHBDKAOG_00747,K07050,misacylated tRNA(Ala) deacylase [EC:3.1.1.-],,NA,NA,NA,NA,NA
OG0001995,NHBDKAOG_02722,K03699,putative hemolysin  ,,NA,NA,NA,NA,NA
OG0001995,NHBDKAOG_03253,K03699,putative hemolysin  ,,NA,NA,NA,NA,NA
OG0001996,NHBDKAOG_02721,K03699,putative hemolysin  ,,NA,NA,NA,NA,NA
OG0001996,NHBDKAOG_03254,K03699,putative hemolysin  ,,NA,NA,NA,NA,NA
OG0002000,NHBDKAOG_03481,K20074,PPM family protein phosphatase,,NA,NA,NA,NA,NA
OG0002021,NHBDKAOG_02291,K06218,mRNA interferase RelE/StbE ,,NA,NA,NA,NA,NA
OG0002021,NHBDKAOG_02291,K19158,toxin YoeB [EC:3.1.-.-] ,,NA,NA,NA,NA,NA
OG0002042,NHBDKAOG_00949,K00612,carbamoyltransferase [EC:2.1.3.-]  ,,NA,NA,NA,NA,NA
OG0002042,NHBDKAOG_03934,K00612,carbamoyltransferase [EC:2.1.3.-]  ,,NA,NA,NA,NA,NA
OG0002045,NHBDKAOG_02674,K02342,DNA polymerase III subunit,,M00260,NA,NA,NA,NA
OG0002045,NHBDKAOG_02674,K09951,CRISPR-associated protein Cas2 ,,NA,NA,NA,NA,NA
OG0002046,NHBDKAOG_01253,K07089,uncharacterized protein  ,,NA,NA,NA,NA,NA
OG0002057,NHBDKAOG_00003,K07334,toxin HigB-1  ,,NA,NA,NA,NA,NA
OG0002059,NHBDKAOG_01767,K08683,3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA,,NA,NA,NA,NA,NA
OG0002061,NHBDKAOG_02420,K07220,uncharacterized protein  ,,NA,NA,NA,NA,NA
OG0002064,NHBDKAOG_02682,K13993,HSP20 family protein ,,NA,NA,NA,NA,NA
OG0002066,NHBDKAOG_02836,K00705,4-alpha-glucanotransferase [EC:2.4.1.25]  ,,M00855,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]
OG0002079,NHBDKAOG_04413,K07001,NTE family protein ,,NA,NA,NA,NA,NA
OG0002080,NHBDKAOG_01528,K02843,heptosyltransferase II [EC:2.4.-.-] ,,NA,NA,NA,NA,NA
OG0002081,NHBDKAOG_01303,K01624,fructose-bisphosphate aldolase class II,,M00001,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]
OG0002081,NHBDKAOG_01303,K01624,fructose-bisphosphate aldolase class II,,M00003,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]
OG0002081,NHBDKAOG_01303,K01624,fructose-bisphosphate aldolase class II,,M00165,Pathway modules,Energy metabolism,Carbon fixation, Reductive pentose phosphate cycle (Calvin cycle) [PATH:map00710 map01200 map01100 map01120]
OG0002081,NHBDKAOG_01303,K01624,fructose-bisphosphate aldolase class II,,M00167,Pathway modules,Energy metabolism,Carbon fixation, Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map00710 map01200 map01100 map01120]
OG0002081,NHBDKAOG_01303,K01624,fructose-bisphosphate aldolase class II,,M00345,Pathway modules,Energy metabolism,Methane metabolism, Formaldehyde assimilation, ribulose monophosphate pathway [PATH:map00030 map00680 map01200 map01230 map01100 map01120]
OG0002081,NHBDKAOG_01303,K01624,fructose-bisphosphate aldolase class II,,M00344,Pathway modules,Energy metabolism,Methane metabolism, Formaldehyde assimilation, xylulose monophosphate pathway [PATH:map00680 map01200 map01100 map01120]
OG0002081,NHBDKAOG_03215,K01624,fructose-bisphosphate aldolase class II,,M00001,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]
OG0002081,NHBDKAOG_03215,K01624,fructose-bisphosphate aldolase class II,,M00003,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]
OG0002081,NHBDKAOG_03215,K01624,fructose-bisphosphate aldolase class II,,M00165,Pathway modules,Energy metabolism,Carbon fixation, Reductive pentose phosphate cycle (Calvin cycle) [PATH:map00710 map01200 map01100 map01120]
