Orthogroup	spades-bin.32	GCA_000310125.2
OG0000000	BBLLADNB_01887, BBLLADNB_01888	lcl|AMXB01000059.1_prot_ENO75197.1_4017
OG0000000	BBLLADNB_00941	lcl|AMXB01000040.1_prot_ENO76352.1_3557
OG0000000	BBLLADNB_02136	lcl|AMXB01000044.1_prot_ENO76101.1_3704
OG0000000	BBLLADNB_03358	lcl|AMXB01000009.1_prot_ENO81770.1_1261
OG0000001	BBLLADNB_03360	lcl|AMXB01000009.1_prot_ENO81772.1_1263
OG0000001	BBLLADNB_03667	lcl|AMXB01000034.1_prot_ENO77039.1_3274
OG0000003	BBLLADNB_02283	lcl|AMXB01000023.1_prot_ENO79296.1_2604
OG0000007	BBLLADNB_02365	lcl|AMXB01000001.1_prot_ENO83277.1_150
OG0000007	BBLLADNB_02048	lcl|AMXB01000010.1_prot_ENO81610.1_1378
OG0000009	BBLLADNB_00222	lcl|AMXB01000004.1_prot_ENO82573.1_532
OG0000010	BBLLADNB_03377	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348
OG0000011	BBLLADNB_00442, BBLLADNB_00454, BBLLADNB_03054, BBLLADNB_00011, BBLLADNB_00010, BBLLADNB_00439, BBLLADNB_00438, BBLLADNB_00014	lcl|AMXB01000002.1_prot_ENO83078.1_338
OG0000012	BBLLADNB_00395	lcl|AMXB01000008.1_prot_ENO81989.1_1217, lcl|AMXB01000043.1_prot_ENO76132.1_3674
OG0000014	BBLLADNB_03006, BBLLADNB_00625	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527
OG0000018	BBLLADNB_02917	lcl|AMXB01000025.1_prot_ENO78743.1_2768, lcl|AMXB01000009.1_prot_ENO81803.1_1294
OG0000018	BBLLADNB_03302	lcl|AMXB01000029.1_prot_ENO77786.1_3043
OG0000021	BBLLADNB_02362	lcl|AMXB01000043.1_prot_ENO76133.1_3675
OG0000022	BBLLADNB_02895, BBLLADNB_02361, BBLLADNB_00397	lcl|AMXB01000043.1_prot_ENO76134.1_3676
OG0000023	BBLLADNB_02415	lcl|AMXB01000041.1_prot_ENO76265.1_3603
OG0000024	BBLLADNB_01074	lcl|AMXB01000008.1_prot_ENO82014.1_1242
OG0000025	BBLLADNB_00234	lcl|AMXB01000004.1_prot_ENO82587.1_546
OG0000025	BBLLADNB_00232	lcl|AMXB01000004.1_prot_ENO82564.1_523
OG0000026	BBLLADNB_03813, BBLLADNB_01144	lcl|AMXB01000011.1_prot_ENO81528.1_1584
OG0000026	BBLLADNB_01301	lcl|AMXB01000027.1_prot_ENO78223.1_2859
OG0000027	BBLLADNB_00516, BBLLADNB_03780, BBLLADNB_02016	lcl|AMXB01000010.1_prot_ENO81695.1_1463
OG0000028	BBLLADNB_03701	lcl|AMXB01000056.1_prot_ENO75316.1_3978
OG0000028	BBLLADNB_03481	lcl|AMXB01000049.1_prot_ENO75689.1_3828
OG0000030	BBLLADNB_02770, BBLLADNB_03769	lcl|AMXB01000039.1_prot_ENO76438.1_3514
OG0000031	BBLLADNB_02526	lcl|AMXB01000010.1_prot_ENO81589.1_1357
OG0000031	BBLLADNB_02574, BBLLADNB_02737	lcl|AMXB01000004.1_prot_ENO82693.1_652
OG0000032	BBLLADNB_02940	lcl|AMXB01000042.1_prot_ENO76224.1_3641
OG0000033	BBLLADNB_02789, BBLLADNB_01869, BBLLADNB_01136, BBLLADNB_01722	lcl|AMXB01000003.1_prot_ENO82797.1_439
OG0000034	BBLLADNB_01062, BBLLADNB_03824, BBLLADNB_01056	lcl|AMXB01000037.1_prot_ENO76690.1_3429
OG0000036	BBLLADNB_00050	lcl|AMXB01000009.1_prot_ENO81818.1_1309
OG0000036	BBLLADNB_03688	lcl|AMXB01000009.1_prot_ENO81816.1_1307
OG0000037	BBLLADNB_02512	lcl|AMXB01000021.1_prot_ENO80041.1_2487
OG0000037	BBLLADNB_01720	lcl|AMXB01000008.1_prot_ENO81881.1_1109
OG0000038	BBLLADNB_01016, BBLLADNB_01017	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865
OG0000042	BBLLADNB_00833	lcl|AMXB01000051.1_prot_ENO75565.1_3874
OG0000042	BBLLADNB_03740	lcl|AMXB01000013.1_prot_ENO81198.1_1736
OG0000043	BBLLADNB_03212	lcl|AMXB01000065.1_prot_ENO74951.1_4088
OG0000043	BBLLADNB_03100	lcl|AMXB01000018.1_prot_ENO80740.1_2298
OG0000044	BBLLADNB_01902	lcl|AMXB01000008.1_prot_ENO82005.1_1233
OG0000044	BBLLADNB_02029	lcl|AMXB01000069.1_prot_ENO74824.1_4138
OG0000044	BBLLADNB_01428	lcl|AMXB01000045.1_prot_ENO75994.1_3713
OG0000045	BBLLADNB_00254	lcl|AMXB01000002.1_prot_ENO82952.1_212
OG0000046	BBLLADNB_03304	lcl|AMXB01000029.1_prot_ENO77783.1_3040
OG0000047	BBLLADNB_01205	lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247
OG0000050	BBLLADNB_03871	lcl|AMXB01000092.1_prot_ENO74452.1_4254
OG0000051	BBLLADNB_03799	lcl|AMXB01000048.1_prot_ENO75735.1_3785
OG0000052	BBLLADNB_00641	lcl|AMXB01000011.1_prot_ENO81537.1_1593, lcl|AMXB01000011.1_prot_ENO81531.1_1587
OG0000052	BBLLADNB_01564	lcl|AMXB01000013.1_prot_ENO81269.1_1807
OG0000057	BBLLADNB_03571, BBLLADNB_02559	lcl|AMXB01000003.1_prot_ENO82804.1_446
