Orthogroup	spades-bin.32	2687453699
OG0000000	BBLLADNB_01887	PEBOPBNB_00160
OG0000000	BBLLADNB_01888	PEBOPBNB_00161
OG0000000	BBLLADNB_02136	PEBOPBNB_03436
OG0000000	BBLLADNB_03206	PEBOPBNB_03180
OG0000000	BBLLADNB_03358	PEBOPBNB_03032
OG0000000	BBLLADNB_01430	PEBOPBNB_00340
OG0000001	BBLLADNB_03360	PEBOPBNB_03030
OG0000001	BBLLADNB_01431	PEBOPBNB_00339
OG0000001	BBLLADNB_03667	PEBOPBNB_02650
OG0000005	BBLLADNB_02838	PEBOPBNB_02673
OG0000005	BBLLADNB_03049	PEBOPBNB_02063
OG0000005	BBLLADNB_03375	PEBOPBNB_01526
OG0000005	BBLLADNB_00440	PEBOPBNB_03330, PEBOPBNB_03354
OG0000005	BBLLADNB_03261	PEBOPBNB_00692
OG0000005	BBLLADNB_02134	PEBOPBNB_03435
OG0000005	BBLLADNB_01889	PEBOPBNB_00162
OG0000005	BBLLADNB_00354	PEBOPBNB_02517
OG0000006	BBLLADNB_03729	PEBOPBNB_03770
OG0000007	BBLLADNB_02365	PEBOPBNB_02536
OG0000007	BBLLADNB_02048	PEBOPBNB_00294
OG0000008	BBLLADNB_00820	PEBOPBNB_03288
OG0000008	BBLLADNB_01965	PEBOPBNB_01610
OG0000008	BBLLADNB_02916	PEBOPBNB_02959
OG0000009	BBLLADNB_00222	PEBOPBNB_03557
OG0000009	BBLLADNB_00634, BBLLADNB_00750	PEBOPBNB_00020
OG0000009	BBLLADNB_00363	PEBOPBNB_02507
OG0000010	BBLLADNB_03377	PEBOPBNB_01524
OG0000011	BBLLADNB_00442	PEBOPBNB_03352
OG0000011	BBLLADNB_00454	PEBOPBNB_03340
OG0000011	BBLLADNB_03054	PEBOPBNB_03357, PEBOPBNB_02792
OG0000011	BBLLADNB_00011	PEBOPBNB_01682
OG0000011	BBLLADNB_00010	PEBOPBNB_01681
OG0000011	BBLLADNB_00439	PEBOPBNB_03355
OG0000011	BBLLADNB_00438	PEBOPBNB_03356
OG0000011	BBLLADNB_00014	PEBOPBNB_01685
OG0000012	BBLLADNB_02911	PEBOPBNB_02954
OG0000014	BBLLADNB_03006	PEBOPBNB_01894
OG0000014	BBLLADNB_00567	PEBOPBNB_01443
OG0000015	BBLLADNB_03018	PEBOPBNB_03768
OG0000016	BBLLADNB_03017	PEBOPBNB_03769
OG0000018	BBLLADNB_03302	PEBOPBNB_00089
OG0000019	BBLLADNB_01031	PEBOPBNB_02860
OG0000020	BBLLADNB_00458	PEBOPBNB_03336
OG0000020	BBLLADNB_03115	PEBOPBNB_01144
OG0000021	BBLLADNB_02910	PEBOPBNB_02953
OG0000021	BBLLADNB_02362	PEBOPBNB_02539
OG0000022	BBLLADNB_02895	PEBOPBNB_02952
OG0000022	BBLLADNB_02361	PEBOPBNB_02540
OG0000024	BBLLADNB_01074	PEBOPBNB_00462
OG0000025	BBLLADNB_00234	PEBOPBNB_03569
OG0000025	BBLLADNB_00232	PEBOPBNB_03567
OG0000026	BBLLADNB_03813	PEBOPBNB_03517
OG0000026	BBLLADNB_01144	PEBOPBNB_00711
OG0000026	BBLLADNB_01301	PEBOPBNB_01916
OG0000027	BBLLADNB_00516	PEBOPBNB_00169
OG0000027	BBLLADNB_03780	PEBOPBNB_02898
OG0000027	BBLLADNB_02016	PEBOPBNB_02172
OG0000028	BBLLADNB_03701	PEBOPBNB_02419
OG0000028	BBLLADNB_03481	PEBOPBNB_02904
OG0000029	BBLLADNB_00560	PEBOPBNB_00513
OG0000030	BBLLADNB_02770	PEBOPBNB_01586
OG0000030	BBLLADNB_03769	PEBOPBNB_01500
OG0000031	BBLLADNB_02526	PEBOPBNB_00552
OG0000031	BBLLADNB_02737	PEBOPBNB_02626
OG0000032	BBLLADNB_02940	PEBOPBNB_02580
OG0000033	BBLLADNB_02789	PEBOPBNB_01375
OG0000033	BBLLADNB_01869	PEBOPBNB_02088
OG0000033	BBLLADNB_01722	PEBOPBNB_02073
