Orthogroup	spades-bin.32	2767802316
OG0000000	BBLLADNB_00941	GNJGOIBN_03738
OG0000000	BBLLADNB_03206	GNJGOIBN_02807
OG0000000	BBLLADNB_03358	GNJGOIBN_02784
OG0000001	BBLLADNB_03360	GNJGOIBN_02783
OG0000001	BBLLADNB_03667	GNJGOIBN_02623
OG0000003	BBLLADNB_02283	GNJGOIBN_02279
OG0000005	BBLLADNB_03049	GNJGOIBN_01591
OG0000005	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134	GNJGOIBN_02808
OG0000005	BBLLADNB_01889, BBLLADNB_00354	GNJGOIBN_02136
OG0000007	BBLLADNB_02365	GNJGOIBN_01682
OG0000007	BBLLADNB_02048	GNJGOIBN_03861
OG0000008	BBLLADNB_00820	GNJGOIBN_03946
OG0000008	BBLLADNB_02916	GNJGOIBN_01777
OG0000009	BBLLADNB_00363	GNJGOIBN_03297
OG0000012	BBLLADNB_02911	GNJGOIBN_00163, GNJGOIBN_01481
OG0000014	BBLLADNB_03006	GNJGOIBN_00241
OG0000018	BBLLADNB_02917	GNJGOIBN_01077
OG0000018	BBLLADNB_03302	GNJGOIBN_01435
OG0000019	BBLLADNB_01031	GNJGOIBN_02080
OG0000020	BBLLADNB_00458	GNJGOIBN_02862
OG0000020	BBLLADNB_03115	GNJGOIBN_00622
OG0000021	BBLLADNB_02362, BBLLADNB_00396	GNJGOIBN_00164
OG0000022	BBLLADNB_02895	GNJGOIBN_01483, GNJGOIBN_01441
OG0000024	BBLLADNB_01074	GNJGOIBN_00161
OG0000025	BBLLADNB_00234	GNJGOIBN_01396
OG0000025	BBLLADNB_00232	GNJGOIBN_01398
OG0000026	BBLLADNB_03813	GNJGOIBN_03532
OG0000026	BBLLADNB_01144	GNJGOIBN_01642
OG0000026	BBLLADNB_01301	GNJGOIBN_02406
OG0000027	BBLLADNB_00516	GNJGOIBN_01057
OG0000027	BBLLADNB_03780	GNJGOIBN_02053, GNJGOIBN_02031
OG0000027	BBLLADNB_02016	GNJGOIBN_03430
OG0000029	BBLLADNB_00560	GNJGOIBN_01756
OG0000030	BBLLADNB_02770	GNJGOIBN_01059
OG0000030	BBLLADNB_03769	GNJGOIBN_00011
OG0000031	BBLLADNB_02574, BBLLADNB_02737	GNJGOIBN_00504
OG0000032	BBLLADNB_02940	GNJGOIBN_02442
OG0000033	BBLLADNB_02789	GNJGOIBN_00959
OG0000033	BBLLADNB_01136, BBLLADNB_01722	GNJGOIBN_01176
OG0000036	BBLLADNB_00050	GNJGOIBN_00722
OG0000036	BBLLADNB_03688	GNJGOIBN_02274
OG0000037	BBLLADNB_02512	GNJGOIBN_01444, GNJGOIBN_01503
OG0000037	BBLLADNB_01720	GNJGOIBN_01174
OG0000038	BBLLADNB_01016	GNJGOIBN_01149
OG0000038	BBLLADNB_01017	GNJGOIBN_01150
OG0000039	BBLLADNB_01332	GNJGOIBN_04335
OG0000041	BBLLADNB_01612	GNJGOIBN_02172, GNJGOIBN_02173, GNJGOIBN_02174, GNJGOIBN_00154
OG0000042	BBLLADNB_00833	GNJGOIBN_00750
OG0000042	BBLLADNB_03740	GNJGOIBN_00041
OG0000043	BBLLADNB_03212	GNJGOIBN_01992
OG0000043	BBLLADNB_03100	GNJGOIBN_00999
OG0000044	BBLLADNB_01902	GNJGOIBN_02138
OG0000044	BBLLADNB_02029	GNJGOIBN_02838
OG0000045	BBLLADNB_00254	GNJGOIBN_02914
OG0000045	BBLLADNB_01943	GNJGOIBN_03131
OG0000046	BBLLADNB_03304	GNJGOIBN_01433
OG0000047	BBLLADNB_01205	GNJGOIBN_01232
OG0000049	BBLLADNB_02825	GNJGOIBN_00875
OG0000051	BBLLADNB_03799	GNJGOIBN_01570
OG0000052	BBLLADNB_01939	GNJGOIBN_00946
OG0000052	BBLLADNB_01564	GNJGOIBN_00801
OG0000053	BBLLADNB_01069	GNJGOIBN_00182
OG0000054	BBLLADNB_00370	GNJGOIBN_00246
OG0000054	BBLLADNB_01519	GNJGOIBN_02014
OG0000055	BBLLADNB_03877	GNJGOIBN_01406
OG0000057	BBLLADNB_03571	GNJGOIBN_00078
OG0000057	BBLLADNB_02559	GNJGOIBN_00077
OG0000058	BBLLADNB_00531	GNJGOIBN_00484
OG0000059	BBLLADNB_02843	GNJGOIBN_02745
OG0000059	BBLLADNB_03386	GNJGOIBN_03026
OG0000060	BBLLADNB_02996, BBLLADNB_01044	GNJGOIBN_02067
OG0000062	BBLLADNB_02809	GNJGOIBN_03896
OG0000062	BBLLADNB_02808	GNJGOIBN_03895
OG0000063	BBLLADNB_03591	GNJGOIBN_02364
OG0000063	BBLLADNB_01762	GNJGOIBN_03119
OG0000064	BBLLADNB_01223	GNJGOIBN_02093
OG0000065	BBLLADNB_02912	GNJGOIBN_01480
OG0000065	BBLLADNB_03516	GNJGOIBN_03616
OG0000066	BBLLADNB_01070	GNJGOIBN_00181
OG0000067	BBLLADNB_02664	GNJGOIBN_03137
OG0000067	BBLLADNB_03776	GNJGOIBN_04286
OG0000068	BBLLADNB_03159	GNJGOIBN_01549
OG0000070	BBLLADNB_03107, BBLLADNB_03662	GNJGOIBN_00388
OG0000071	BBLLADNB_02913	GNJGOIBN_01476
OG0000071	BBLLADNB_00262	GNJGOIBN_02925
OG0000072	BBLLADNB_00868	GNJGOIBN_03611
