Orthogroup	spades-bin.32	2767802455
OG0000000	BBLLADNB_01888	NHBDKAOG_00465
OG0000000	BBLLADNB_03206	NHBDKAOG_01585
OG0000000	BBLLADNB_03358	NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710
OG0000001	BBLLADNB_03360	NHBDKAOG_01601
OG0000001	BBLLADNB_01431	NHBDKAOG_04607
OG0000005	BBLLADNB_03049	NHBDKAOG_00123
OG0000005	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134	NHBDKAOG_01584
OG0000006	BBLLADNB_03729	NHBDKAOG_04184
OG0000006	BBLLADNB_03015	NHBDKAOG_02948
OG0000007	BBLLADNB_02365	NHBDKAOG_02492
OG0000007	BBLLADNB_02048	NHBDKAOG_00803
OG0000008	BBLLADNB_00820	NHBDKAOG_03567
OG0000008	BBLLADNB_02916	NHBDKAOG_03164
OG0000009	BBLLADNB_00363	NHBDKAOG_01970
OG0000010	BBLLADNB_03377	NHBDKAOG_03611
OG0000012	BBLLADNB_02911	NHBDKAOG_02831
OG0000014	BBLLADNB_03006	NHBDKAOG_03919, NHBDKAOG_02894
OG0000014	BBLLADNB_00625	NHBDKAOG_00189
OG0000016	BBLLADNB_03016	NHBDKAOG_02949
OG0000018	BBLLADNB_02917	NHBDKAOG_03788, NHBDKAOG_03161
OG0000018	BBLLADNB_03302	NHBDKAOG_00147
OG0000019	BBLLADNB_01031	NHBDKAOG_00827
OG0000020	BBLLADNB_00458	NHBDKAOG_03201
OG0000022	BBLLADNB_02895	NHBDKAOG_04180
OG0000023	BBLLADNB_02415	NHBDKAOG_01567, NHBDKAOG_01686, NHBDKAOG_02276
OG0000024	BBLLADNB_01074	NHBDKAOG_04135, NHBDKAOG_02839, NHBDKAOG_04233, NHBDKAOG_04136
OG0000025	BBLLADNB_00234	NHBDKAOG_02905
OG0000025	BBLLADNB_00232	NHBDKAOG_02903
OG0000026	BBLLADNB_03813	NHBDKAOG_02636
OG0000026	BBLLADNB_01144	NHBDKAOG_03636
OG0000026	BBLLADNB_01301	NHBDKAOG_00997
OG0000027	BBLLADNB_00516	NHBDKAOG_03174
OG0000027	BBLLADNB_02016	NHBDKAOG_01356
OG0000028	BBLLADNB_03481	NHBDKAOG_03851
OG0000029	BBLLADNB_00560	NHBDKAOG_03968, NHBDKAOG_00536, NHBDKAOG_04664, NHBDKAOG_00551, NHBDKAOG_03967, NHBDKAOG_03969, NHBDKAOG_04839, NHBDKAOG_02864, NHBDKAOG_01399, NHBDKAOG_00474, NHBDKAOG_03952, NHBDKAOG_02438
OG0000030	BBLLADNB_02770	NHBDKAOG_03197
OG0000031	BBLLADNB_02574, BBLLADNB_02737	NHBDKAOG_04579
OG0000033	BBLLADNB_02789	NHBDKAOG_00492
OG0000033	BBLLADNB_01136, BBLLADNB_01722	NHBDKAOG_03095
OG0000034	BBLLADNB_01062, BBLLADNB_03824	NHBDKAOG_04843, NHBDKAOG_04844
OG0000036	BBLLADNB_00050	NHBDKAOG_03455
OG0000036	BBLLADNB_03688	NHBDKAOG_02117
OG0000037	BBLLADNB_02512	NHBDKAOG_02820
OG0000037	BBLLADNB_01720	NHBDKAOG_03097
OG0000038	BBLLADNB_01016	NHBDKAOG_02918
OG0000038	BBLLADNB_01017	NHBDKAOG_02917
OG0000039	BBLLADNB_01332	NHBDKAOG_04718
OG0000039	BBLLADNB_01823	NHBDKAOG_02882
OG0000041	BBLLADNB_01612	NHBDKAOG_00937, NHBDKAOG_02796, NHBDKAOG_01033, NHBDKAOG_04661, NHBDKAOG_01129
OG0000042	BBLLADNB_00833	NHBDKAOG_03391
OG0000042	BBLLADNB_03740	NHBDKAOG_00537
OG0000043	BBLLADNB_03212	NHBDKAOG_03018
OG0000043	BBLLADNB_03100	NHBDKAOG_03256
OG0000044	BBLLADNB_02029	NHBDKAOG_03430
OG0000045	BBLLADNB_00254	NHBDKAOG_01546
OG0000046	BBLLADNB_03304	NHBDKAOG_00150
OG0000047	BBLLADNB_01205	NHBDKAOG_04831, NHBDKAOG_04823
OG0000048	BBLLADNB_03014	NHBDKAOG_04183
OG0000049	BBLLADNB_02825	NHBDKAOG_04492, NHBDKAOG_03143, NHBDKAOG_00033, NHBDKAOG_04347
OG0000051	BBLLADNB_03799	NHBDKAOG_01188, NHBDKAOG_02785, NHBDKAOG_02786
OG0000052	BBLLADNB_01939	NHBDKAOG_03676
OG0000053	BBLLADNB_01069	NHBDKAOG_04119
OG0000054	BBLLADNB_00370	NHBDKAOG_04041
OG0000055	BBLLADNB_03877	NHBDKAOG_04837
OG0000055	BBLLADNB_03876	NHBDKAOG_04596, NHBDKAOG_02865, NHBDKAOG_04475, NHBDKAOG_00828, NHBDKAOG_00137, NHBDKAOG_00169, NHBDKAOG_04284, NHBDKAOG_04157, NHBDKAOG_01227
OG0000056	BBLLADNB_02172	NHBDKAOG_00180, NHBDKAOG_02708
OG0000057	BBLLADNB_03571	NHBDKAOG_03255
OG0000057	BBLLADNB_02559	NHBDKAOG_04198
OG0000058	BBLLADNB_00531	NHBDKAOG_03839
OG0000059	BBLLADNB_02843	NHBDKAOG_01926
OG0000060	BBLLADNB_02996, BBLLADNB_01044	NHBDKAOG_02356
OG0000062	BBLLADNB_02809	NHBDKAOG_00766
OG0000062	BBLLADNB_02808	NHBDKAOG_00767
OG0000063	BBLLADNB_03591	NHBDKAOG_02022
OG0000063	BBLLADNB_01762	NHBDKAOG_03708
OG0000064	BBLLADNB_01223	NHBDKAOG_01801
OG0000065	BBLLADNB_02912	NHBDKAOG_02832
OG0000065	BBLLADNB_00863, BBLLADNB_03516	NHBDKAOG_01079
OG0000066	BBLLADNB_01070	NHBDKAOG_02589, NHBDKAOG_04086, NHBDKAOG_04120
OG0000067	BBLLADNB_02664	NHBDKAOG_03142, NHBDKAOG_00163
OG0000067	BBLLADNB_03776	NHBDKAOG_04493, NHBDKAOG_00166
OG0000068	BBLLADNB_03159	NHBDKAOG_02793
OG0000070	BBLLADNB_03662	NHBDKAOG_02480
OG0000071	BBLLADNB_02913, BBLLADNB_00262	NHBDKAOG_02671
OG0000072	BBLLADNB_00868	NHBDKAOG_04743, NHBDKAOG_01084
OG0000073	BBLLADNB_01613	NHBDKAOG_03116
OG0000074	BBLLADNB_03003, BBLLADNB_02243	NHBDKAOG_01349
OG0000075	BBLLADNB_01834	NHBDKAOG_03710
OG0000075	BBLLADNB_00307	NHBDKAOG_04167
OG0000076	BBLLADNB_00340	NHBDKAOG_03730
OG0000077	BBLLADNB_00643	NHBDKAOG_04824
OG0000077	BBLLADNB_02286	NHBDKAOG_03199
OG0000079	BBLLADNB_03718	NHBDKAOG_02776
OG0000079	BBLLADNB_03593	NHBDKAOG_00332
OG0000080	BBLLADNB_01441	NHBDKAOG_04712
OG0000081	BBLLADNB_01674	NHBDKAOG_01296
OG0000082	BBLLADNB_01043	NHBDKAOG_04871
OG0000083	BBLLADNB_02141	NHBDKAOG_00369
OG0000083	BBLLADNB_02028	NHBDKAOG_03431
OG0000084	BBLLADNB_03705	NHBDKAOG_00931
OG0000085	BBLLADNB_03162, BBLLADNB_00836	NHBDKAOG_03384
OG0000086	BBLLADNB_00235	NHBDKAOG_03296, NHBDKAOG_02893, NHBDKAOG_02046
OG0000087	BBLLADNB_02085	NHBDKAOG_00218
OG0000087	BBLLADNB_01215	NHBDKAOG_02345
OG0000088	BBLLADNB_01048	NHBDKAOG_02412
OG0000089	BBLLADNB_03117	NHBDKAOG_04065
OG0000091	BBLLADNB_01733	NHBDKAOG_04145
OG0000092	BBLLADNB_03648	NHBDKAOG_04146
OG0000093	BBLLADNB_02303	NHBDKAOG_04744
OG0000094	BBLLADNB_03381	NHBDKAOG_04230
OG0000095	BBLLADNB_02570, BBLLADNB_03727	NHBDKAOG_02032
OG0000096	BBLLADNB_01550	NHBDKAOG_02871
OG0000096	BBLLADNB_01549	NHBDKAOG_00072
OG0000098	BBLLADNB_03088	NHBDKAOG_03016
OG0000099	BBLLADNB_01516	NHBDKAOG_02369
OG0000099	BBLLADNB_00371	NHBDKAOG_04032, NHBDKAOG_04040
OG0000100	BBLLADNB_02030	NHBDKAOG_03429
OG0000101	BBLLADNB_02965	NHBDKAOG_04191, NHBDKAOG_02417
OG0000107	BBLLADNB_01277	NHBDKAOG_01152
OG0000108	BBLLADNB_01379	NHBDKAOG_01824
OG0000110	BBLLADNB_00662	NHBDKAOG_04566
OG0000112	BBLLADNB_03151	NHBDKAOG_03680
OG0000114	BBLLADNB_03539	NHBDKAOG_01365
OG0000115	BBLLADNB_02495	NHBDKAOG_01236
OG0000116	BBLLADNB_03380	NHBDKAOG_04138, NHBDKAOG_04231
OG0000118	BBLLADNB_02317	NHBDKAOG_02800, NHBDKAOG_02711
OG0000119	BBLLADNB_02319	NHBDKAOG_02709
OG0000120	BBLLADNB_03915	NHBDKAOG_02795
OG0000121	BBLLADNB_02628	NHBDKAOG_02508
OG0000122	BBLLADNB_03668	NHBDKAOG_04587, NHBDKAOG_04410, NHBDKAOG_01798, NHBDKAOG_03976
OG0000125	BBLLADNB_02766	NHBDKAOG_03168
OG0000126	BBLLADNB_02019	NHBDKAOG_04176
OG0000126	BBLLADNB_02794	NHBDKAOG_00577
OG0000127	BBLLADNB_01838	NHBDKAOG_00854
OG0000128	BBLLADNB_03586	NHBDKAOG_01446
OG0000129	BBLLADNB_01442	NHBDKAOG_04412
OG0000130	BBLLADNB_00813	NHBDKAOG_00413
