Orthogroup	2767802455	GCA_000310125.2
OG0000000	NHBDKAOG_04722, NHBDKAOG_00465	lcl|AMXB01000059.1_prot_ENO75197.1_4017
OG0000000	NHBDKAOG_01300	lcl|AMXB01000032.1_prot_ENO77225.1_3159
OG0000000	NHBDKAOG_00494, NHBDKAOG_01578	lcl|AMXB01000002.1_prot_ENO82916.1_176
OG0000000	NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710	lcl|AMXB01000009.1_prot_ENO81770.1_1261
OG0000001	NHBDKAOG_04715, NHBDKAOG_01601	lcl|AMXB01000009.1_prot_ENO81772.1_1263
OG0000007	NHBDKAOG_02492	lcl|AMXB01000001.1_prot_ENO83277.1_150
OG0000007	NHBDKAOG_00803	lcl|AMXB01000010.1_prot_ENO81610.1_1378
OG0000008	NHBDKAOG_01553	lcl|AMXB01000009.1_prot_ENO81800.1_1291
OG0000010	NHBDKAOG_04701	lcl|AMXB01000020.1_prot_ENO80497.1_2379, lcl|AMXB01000002.1_prot_ENO83094.1_354
OG0000010	NHBDKAOG_03611	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348, lcl|AMXB01000047.1_prot_ENO75792.1_3751
OG0000013	NHBDKAOG_03695	lcl|AMXB01000057.1_prot_ENO75275.1_3995, lcl|AMXB01000011.1_prot_ENO81460.1_1516
OG0000014	NHBDKAOG_03919, NHBDKAOG_02894, NHBDKAOG_00189	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527
OG0000014	NHBDKAOG_02843	lcl|AMXB01000004.1_prot_ENO82570.1_529
OG0000018	NHBDKAOG_00335	lcl|AMXB01000068.1_prot_ENO74859.1_4125
OG0000018	NHBDKAOG_03788, NHBDKAOG_03161	lcl|AMXB01000025.1_prot_ENO78743.1_2768
OG0000018	NHBDKAOG_00147	lcl|AMXB01000029.1_prot_ENO77786.1_3043
OG0000022	NHBDKAOG_04180, NHBDKAOG_02829, NHBDKAOG_04513	lcl|AMXB01000043.1_prot_ENO76134.1_3676
OG0000023	NHBDKAOG_04287, NHBDKAOG_03970, NHBDKAOG_04501, NHBDKAOG_01482, NHBDKAOG_01483, NHBDKAOG_01567, NHBDKAOG_01686, NHBDKAOG_02276, NHBDKAOG_00055, NHBDKAOG_00162	lcl|AMXB01000041.1_prot_ENO76265.1_3603
OG0000024	NHBDKAOG_04135, NHBDKAOG_02839, NHBDKAOG_04233, NHBDKAOG_04136	lcl|AMXB01000008.1_prot_ENO82014.1_1242
OG0000025	NHBDKAOG_02905	lcl|AMXB01000004.1_prot_ENO82587.1_546
OG0000025	NHBDKAOG_02903	lcl|AMXB01000004.1_prot_ENO82564.1_523
OG0000026	NHBDKAOG_02636, NHBDKAOG_03636	lcl|AMXB01000011.1_prot_ENO81528.1_1584
OG0000026	NHBDKAOG_00997	lcl|AMXB01000027.1_prot_ENO78223.1_2859
OG0000027	NHBDKAOG_03174, NHBDKAOG_01356	lcl|AMXB01000010.1_prot_ENO81695.1_1463
OG0000028	NHBDKAOG_04052, NHBDKAOG_03385	lcl|AMXB01000025.1_prot_ENO78764.1_2789
OG0000028	NHBDKAOG_03851	lcl|AMXB01000049.1_prot_ENO75689.1_3828
OG0000030	NHBDKAOG_03197, NHBDKAOG_04625, NHBDKAOG_04626	lcl|AMXB01000039.1_prot_ENO76438.1_3514
OG0000031	NHBDKAOG_04579	lcl|AMXB01000004.1_prot_ENO82693.1_652
OG0000032	NHBDKAOG_04723	lcl|AMXB01000004.1_prot_ENO82697.1_656
OG0000033	NHBDKAOG_00492, NHBDKAOG_03095	lcl|AMXB01000003.1_prot_ENO82797.1_439
OG0000034	NHBDKAOG_00590, NHBDKAOG_04843, NHBDKAOG_04844	lcl|AMXB01000037.1_prot_ENO76690.1_3429
OG0000036	NHBDKAOG_03455	lcl|AMXB01000009.1_prot_ENO81818.1_1309
OG0000036	NHBDKAOG_02117	lcl|AMXB01000009.1_prot_ENO81816.1_1307
OG0000037	NHBDKAOG_02820	lcl|AMXB01000021.1_prot_ENO80041.1_2487
OG0000037	NHBDKAOG_03097	lcl|AMXB01000008.1_prot_ENO81881.1_1109
OG0000038	NHBDKAOG_02918, NHBDKAOG_02917	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865
OG0000039	NHBDKAOG_04609	lcl|AMXB01000016.1_prot_ENO80871.1_2064, lcl|AMXB01000028.1_prot_ENO78020.1_2968
OG0000040	NHBDKAOG_03720, NHBDKAOG_02573	lcl|AMXB01000023.1_prot_ENO79311.1_2619, lcl|AMXB01000019.1_prot_ENO80581.1_2299
OG0000042	NHBDKAOG_03391	lcl|AMXB01000051.1_prot_ENO75565.1_3874
OG0000042	NHBDKAOG_00537	lcl|AMXB01000013.1_prot_ENO81198.1_1736
OG0000043	NHBDKAOG_03018	lcl|AMXB01000065.1_prot_ENO74951.1_4088
OG0000043	NHBDKAOG_03256	lcl|AMXB01000018.1_prot_ENO80740.1_2298
OG0000044	NHBDKAOG_03430	lcl|AMXB01000069.1_prot_ENO74824.1_4138
OG0000045	NHBDKAOG_01546	lcl|AMXB01000002.1_prot_ENO82952.1_212
OG0000046	NHBDKAOG_00333	lcl|AMXB01000025.1_prot_ENO78746.1_2771
OG0000046	NHBDKAOG_00150	lcl|AMXB01000029.1_prot_ENO77783.1_3040
OG0000047	NHBDKAOG_01193	lcl|AMXB01000013.1_prot_ENO81252.1_1790, lcl|AMXB01000011.1_prot_ENO81514.1_1570, lcl|AMXB01000108.1_prot_ENO74357.1_4275
OG0000047	NHBDKAOG_04831, NHBDKAOG_04823	lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247
OG0000050	NHBDKAOG_04143	lcl|AMXB01000067.1_prot_ENO74876.1_4120, lcl|AMXB01000037.1_prot_ENO76678.1_3417
OG0000051	NHBDKAOG_01188, NHBDKAOG_02785, NHBDKAOG_02786	lcl|AMXB01000048.1_prot_ENO75735.1_3785
OG0000057	NHBDKAOG_03255, NHBDKAOG_04186, NHBDKAOG_04198	lcl|AMXB01000003.1_prot_ENO82804.1_446
OG0000058	NHBDKAOG_01741	lcl|AMXB01000019.1_prot_ENO80629.1_2347, lcl|AMXB01000004.1_prot_ENO82702.1_661
OG0000059	NHBDKAOG_01926	lcl|AMXB01000015.1_prot_ENO81034.1_2006
OG0000060	NHBDKAOG_02356	lcl|AMXB01000033.1_prot_ENO77190.1_3241
OG0000061	NHBDKAOG_04142, NHBDKAOG_04155	lcl|AMXB01000067.1_prot_ENO74875.1_4119, lcl|AMXB01000037.1_prot_ENO76677.1_3416
OG0000062	NHBDKAOG_00766, NHBDKAOG_00767	lcl|AMXB01000047.1_prot_ENO75817.1_3776
OG0000063	NHBDKAOG_02022, NHBDKAOG_03708	lcl|AMXB01000029.1_prot_ENO77797.1_3054
OG0000064	NHBDKAOG_01801	lcl|AMXB01000067.1_prot_ENO74874.1_4118, lcl|AMXB01000026.1_prot_ENO78484.1_2827
OG0000067	NHBDKAOG_00434, NHBDKAOG_03142, NHBDKAOG_00163, NHBDKAOG_04493, NHBDKAOG_00166	lcl|AMXB01000003.1_prot_ENO82824.1_466
OG0000068	NHBDKAOG_02793	lcl|AMXB01000049.1_prot_ENO75670.1_3809, lcl|AMXB01000049.1_prot_ENO75677.1_3816
OG0000069	NHBDKAOG_01212, NHBDKAOG_01987, NHBDKAOG_01222, NHBDKAOG_03291, NHBDKAOG_04598, NHBDKAOG_01214, NHBDKAOG_01216, NHBDKAOG_01223, NHBDKAOG_01217, NHBDKAOG_01838, NHBDKAOG_01219	lcl|AMXB01000098.1_prot_ENO74416.1_4264
OG0000070	NHBDKAOG_02480	lcl|AMXB01000034.1_prot_ENO77063.1_3298
OG0000072	NHBDKAOG_04743, NHBDKAOG_01084	lcl|AMXB01000018.1_prot_ENO80733.1_2291
OG0000073	NHBDKAOG_03116	lcl|AMXB01000019.1_prot_ENO80597.1_2315
OG0000075	NHBDKAOG_03710, NHBDKAOG_04167	lcl|AMXB01000007.1_prot_ENO82111.1_1030
OG0000077	NHBDKAOG_04824, NHBDKAOG_03199	lcl|AMXB01000049.1_prot_ENO75693.1_3832, lcl|AMXB01000057.1_prot_ENO75274.1_3994
OG0000078	NHBDKAOG_01850	lcl|AMXB01000058.1_prot_ENO75237.1_4008
OG0000079	NHBDKAOG_02776	lcl|AMXB01000014.1_prot_ENO81093.1_1857
OG0000079	NHBDKAOG_00332	lcl|AMXB01000053.1_prot_ENO75486.1_3928
OG0000080	NHBDKAOG_04712	lcl|AMXB01000038.1_prot_ENO76545.1_3455, lcl|AMXB01000086.1_prot_ENO74497.1_4243, lcl|AMXB01000019.1_prot_ENO80595.1_2313, lcl|AMXB01000006.1_prot_ENO82265.1_869, lcl|AMXB01000006.1_prot_ENO82305.1_909, lcl|AMXB01000072.1_prot_ENO74747.1_4175, lcl|AMXB01000044.1_prot_ENO76090.1_3693, lcl|AMXB01000007.1_prot_ENO82076.1_995
OG0000081	NHBDKAOG_01296	lcl|AMXB01000031.1_prot_ENO77423.1_3157
OG0000083	NHBDKAOG_00369, NHBDKAOG_03431	lcl|AMXB01000008.1_prot_ENO81943.1_1171
OG0000084	NHBDKAOG_00931	lcl|AMXB01000017.1_prot_ENO80791.1_2188
OG0000085	NHBDKAOG_03384	lcl|AMXB01000074.1_prot_ENO74682.1_4197, lcl|AMXB01000053.1_prot_ENO75475.1_3917
OG0000086	NHBDKAOG_02893	lcl|AMXB01000058.1_prot_ENO75233.1_4004
OG0000088	NHBDKAOG_04789	lcl|AMXB01000005.1_prot_ENO82514.1_809
OG0000088	NHBDKAOG_01419, NHBDKAOG_03008, NHBDKAOG_00666	lcl|AMXB01000045.1_prot_ENO75999.1_3718
OG0000090	NHBDKAOG_03602	lcl|AMXB01000009.1_prot_ENO81864.1_1355
