Orthogroup	2767802455	2687453699
OG0000000	NHBDKAOG_00465	PEBOPBNB_00161
OG0000000	NHBDKAOG_01585	PEBOPBNB_03180
OG0000000	NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710	PEBOPBNB_03032
OG0000001	NHBDKAOG_01601	PEBOPBNB_03030
OG0000001	NHBDKAOG_04607	PEBOPBNB_00339
OG0000005	NHBDKAOG_00123	PEBOPBNB_02063
OG0000005	NHBDKAOG_01584	PEBOPBNB_01526, PEBOPBNB_03330, PEBOPBNB_03354, PEBOPBNB_00692, PEBOPBNB_03435, PEBOPBNB_03181
OG0000006	NHBDKAOG_04184	PEBOPBNB_03770
OG0000007	NHBDKAOG_02492	PEBOPBNB_02536
OG0000007	NHBDKAOG_00803	PEBOPBNB_00294
OG0000008	NHBDKAOG_03567	PEBOPBNB_03288
OG0000008	NHBDKAOG_03164	PEBOPBNB_02959
OG0000009	NHBDKAOG_01970	PEBOPBNB_02507
OG0000010	NHBDKAOG_03611	PEBOPBNB_01524
OG0000012	NHBDKAOG_02831	PEBOPBNB_02954
OG0000014	NHBDKAOG_03919, NHBDKAOG_02894	PEBOPBNB_01894
OG0000018	NHBDKAOG_00335	PEBOPBNB_01529
OG0000018	NHBDKAOG_00147	PEBOPBNB_00089
OG0000019	NHBDKAOG_00827	PEBOPBNB_02860
OG0000019	NHBDKAOG_04727	PEBOPBNB_03299
OG0000020	NHBDKAOG_03573	PEBOPBNB_02619
OG0000020	NHBDKAOG_03201	PEBOPBNB_03336
OG0000022	NHBDKAOG_04180	PEBOPBNB_02952
OG0000024	NHBDKAOG_04135, NHBDKAOG_02839, NHBDKAOG_04233, NHBDKAOG_04136	PEBOPBNB_00462
OG0000025	NHBDKAOG_02905	PEBOPBNB_03569
OG0000025	NHBDKAOG_02903	PEBOPBNB_03567
OG0000026	NHBDKAOG_02636	PEBOPBNB_03517
OG0000026	NHBDKAOG_03636	PEBOPBNB_00711
OG0000026	NHBDKAOG_00997	PEBOPBNB_01916
OG0000027	NHBDKAOG_03174	PEBOPBNB_00169
OG0000027	NHBDKAOG_01356	PEBOPBNB_02172
OG0000028	NHBDKAOG_03851	PEBOPBNB_02904
OG0000029	NHBDKAOG_03968, NHBDKAOG_00536, NHBDKAOG_04664, NHBDKAOG_00551, NHBDKAOG_03967, NHBDKAOG_03969, NHBDKAOG_04839, NHBDKAOG_02864, NHBDKAOG_01399, NHBDKAOG_00474, NHBDKAOG_03952, NHBDKAOG_02438	PEBOPBNB_00513
OG0000030	NHBDKAOG_03197	PEBOPBNB_01586
OG0000031	NHBDKAOG_04579	PEBOPBNB_03133, PEBOPBNB_02626
OG0000033	NHBDKAOG_00492	PEBOPBNB_01375
OG0000033	NHBDKAOG_03095	PEBOPBNB_02073
OG0000034	NHBDKAOG_00590	PEBOPBNB_01207
OG0000036	NHBDKAOG_03455	PEBOPBNB_01743
