Orthogroup	2767802455	644736333
OG0000000	NHBDKAOG_03134	MCBBHCNB_02488
OG0000000	NHBDKAOG_01589	MCBBHCNB_03120
OG0000000	NHBDKAOG_01585	MCBBHCNB_03074
OG0000000	NHBDKAOG_00493	MCBBHCNB_01367
OG0000000	NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710	MCBBHCNB_03051
OG0000001	NHBDKAOG_01601	MCBBHCNB_03050
OG0000004	NHBDKAOG_01640	MCBBHCNB_04340
OG0000004	NHBDKAOG_01367	MCBBHCNB_02840
OG0000004	NHBDKAOG_02051	MCBBHCNB_04231
OG0000005	NHBDKAOG_00123	MCBBHCNB_01897
OG0000005	NHBDKAOG_01584	MCBBHCNB_03075
OG0000006	NHBDKAOG_02952	MCBBHCNB_04563, MCBBHCNB_00335
OG0000006	NHBDKAOG_04184	MCBBHCNB_00079, MCBBHCNB_02043, MCBBHCNB_04374, MCBBHCNB_01180, MCBBHCNB_01938, MCBBHCNB_03027, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_01549, MCBBHCNB_04694, MCBBHCNB_01703, MCBBHCNB_02079, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_04567
OG0000006	NHBDKAOG_02948	MCBBHCNB_01608, MCBBHCNB_02180, MCBBHCNB_00179, MCBBHCNB_03666
OG0000007	NHBDKAOG_02492	MCBBHCNB_01993
OG0000007	NHBDKAOG_02350	MCBBHCNB_02703
OG0000007	NHBDKAOG_00803	MCBBHCNB_04138
OG0000008	NHBDKAOG_03567	MCBBHCNB_04223
OG0000008	NHBDKAOG_01553	MCBBHCNB_03177
OG0000008	NHBDKAOG_03792	MCBBHCNB_01351
OG0000008	NHBDKAOG_03164	MCBBHCNB_02100
OG0000009	NHBDKAOG_01970	MCBBHCNB_03579
OG0000010	NHBDKAOG_04701	MCBBHCNB_03999
OG0000010	NHBDKAOG_03611	MCBBHCNB_00970
OG0000012	NHBDKAOG_04515	MCBBHCNB_01972
OG0000012	NHBDKAOG_02831	MCBBHCNB_01788
OG0000013	NHBDKAOG_03695	MCBBHCNB_00389
OG0000014	NHBDKAOG_03919, NHBDKAOG_02894	MCBBHCNB_00511
OG0000014	NHBDKAOG_02843	MCBBHCNB_03385
OG0000016	NHBDKAOG_02949	MCBBHCNB_03665, MCBBHCNB_00180, MCBBHCNB_01607, MCBBHCNB_02181
OG0000017	NHBDKAOG_02566	MCBBHCNB_00438
OG0000017	NHBDKAOG_02970, NHBDKAOG_02097	MCBBHCNB_02635
OG0000017	NHBDKAOG_03035	MCBBHCNB_02091
OG0000017	NHBDKAOG_03808	MCBBHCNB_03169
OG0000017	NHBDKAOG_03868, NHBDKAOG_02659	MCBBHCNB_03031
OG0000018	NHBDKAOG_00335	MCBBHCNB_02323
OG0000018	NHBDKAOG_03788, NHBDKAOG_03161	MCBBHCNB_01355
OG0000018	NHBDKAOG_00147	MCBBHCNB_01757
OG0000019	NHBDKAOG_00827	MCBBHCNB_02385
OG0000020	NHBDKAOG_03573	MCBBHCNB_02348
OG0000020	NHBDKAOG_03201	MCBBHCNB_03129
OG0000021	NHBDKAOG_02830	MCBBHCNB_01789
OG0000021	NHBDKAOG_04514	MCBBHCNB_01971
OG0000022	NHBDKAOG_04180	MCBBHCNB_01790
OG0000022	NHBDKAOG_04513	MCBBHCNB_01970, MCBBHCNB_00424
OG0000023	NHBDKAOG_04501, NHBDKAOG_01482, NHBDKAOG_01483	MCBBHCNB_02139, MCBBHCNB_02992
OG0000024	NHBDKAOG_04135, NHBDKAOG_02839	MCBBHCNB_00420
OG0000024	NHBDKAOG_04233, NHBDKAOG_04136	MCBBHCNB_00222
OG0000025	NHBDKAOG_02905	MCBBHCNB_01680
OG0000025	NHBDKAOG_02903	MCBBHCNB_01682
OG0000026	NHBDKAOG_02636	MCBBHCNB_03806, MCBBHCNB_03651
OG0000026	NHBDKAOG_03636	MCBBHCNB_01960
OG0000026	NHBDKAOG_00997	MCBBHCNB_02696
OG0000027	NHBDKAOG_03174	MCBBHCNB_01334
OG0000027	NHBDKAOG_01356	MCBBHCNB_03705
OG0000028	NHBDKAOG_04052	MCBBHCNB_00481
OG0000028	NHBDKAOG_03385	MCBBHCNB_00192, MCBBHCNB_01036
OG0000028	NHBDKAOG_03851	MCBBHCNB_01904
OG0000029	NHBDKAOG_03968, NHBDKAOG_00536, NHBDKAOG_04664, NHBDKAOG_00551, NHBDKAOG_03967, NHBDKAOG_03969, NHBDKAOG_04839, NHBDKAOG_02864, NHBDKAOG_01399, NHBDKAOG_00474	MCBBHCNB_04249
OG0000029	NHBDKAOG_03952	MCBBHCNB_02310, MCBBHCNB_00190
OG0000029	NHBDKAOG_02438	MCBBHCNB_00617
OG0000030	NHBDKAOG_03197	MCBBHCNB_01336
OG0000030	NHBDKAOG_04625, NHBDKAOG_04626	MCBBHCNB_01786
OG0000031	NHBDKAOG_04579	MCBBHCNB_00781
OG0000033	NHBDKAOG_00492	MCBBHCNB_01235
OG0000033	NHBDKAOG_03095	MCBBHCNB_01439
OG0000034	NHBDKAOG_04843, NHBDKAOG_04844	MCBBHCNB_00609, MCBBHCNB_01709, MCBBHCNB_00345, MCBBHCNB_04050, MCBBHCNB_01984, MCBBHCNB_03796, MCBBHCNB_03135, MCBBHCNB_02336, MCBBHCNB_00153
OG0000035	NHBDKAOG_04376	MCBBHCNB_02137
OG0000035	NHBDKAOG_02751	MCBBHCNB_02988
OG0000036	NHBDKAOG_03455	MCBBHCNB_01002
OG0000036	NHBDKAOG_02117	MCBBHCNB_02574
OG0000037	NHBDKAOG_02820	MCBBHCNB_01810
OG0000037	NHBDKAOG_03097	MCBBHCNB_01437
OG0000038	NHBDKAOG_02918	MCBBHCNB_01409
OG0000038	NHBDKAOG_02917	MCBBHCNB_01410
OG0000039	NHBDKAOG_04718	MCBBHCNB_04628
OG0000039	NHBDKAOG_04609	MCBBHCNB_03730
OG0000040	NHBDKAOG_03720, NHBDKAOG_02573	MCBBHCNB_02333
OG0000041	NHBDKAOG_02796, NHBDKAOG_01033	MCBBHCNB_02477
OG0000041	NHBDKAOG_04661	MCBBHCNB_02478
OG0000041	NHBDKAOG_01129	MCBBHCNB_00414
OG0000042	NHBDKAOG_03391	MCBBHCNB_01030
OG0000042	NHBDKAOG_00537	MCBBHCNB_00269
OG0000043	NHBDKAOG_03018	MCBBHCNB_02305
OG0000043	NHBDKAOG_03256	MCBBHCNB_01277
OG0000044	NHBDKAOG_03430	MCBBHCNB_03103
OG0000045	NHBDKAOG_01546	MCBBHCNB_03184
OG0000046	NHBDKAOG_00333	MCBBHCNB_02321
OG0000046	NHBDKAOG_00150	MCBBHCNB_01755
OG0000047	NHBDKAOG_01193	MCBBHCNB_03041
OG0000047	NHBDKAOG_04831, NHBDKAOG_04823	MCBBHCNB_01502
OG0000048	NHBDKAOG_04183	MCBBHCNB_04693, MCBBHCNB_00080, MCBBHCNB_01937, MCBBHCNB_02563, MCBBHCNB_01550, MCBBHCNB_02042, MCBBHCNB_04373, MCBBHCNB_00339, MCBBHCNB_02078, MCBBHCNB_03026, MCBBHCNB_04568, MCBBHCNB_00429, MCBBHCNB_01181, MCBBHCNB_02355, MCBBHCNB_01704, MCBBHCNB_01138
OG0000049	NHBDKAOG_00436	MCBBHCNB_03412
OG0000049	NHBDKAOG_04492, NHBDKAOG_03143, NHBDKAOG_00033, NHBDKAOG_04347	MCBBHCNB_01145
OG0000050	NHBDKAOG_04143	MCBBHCNB_00408, MCBBHCNB_00173
OG0000051	NHBDKAOG_02786	MCBBHCNB_01876
OG0000051	NHBDKAOG_03061	MCBBHCNB_01477
OG0000052	NHBDKAOG_03676	MCBBHCNB_01221
OG0000053	NHBDKAOG_04119	MCBBHCNB_00448
OG0000054	NHBDKAOG_04041	MCBBHCNB_00516
OG0000055	NHBDKAOG_04837	MCBBHCNB_01722, MCBBHCNB_02148, MCBBHCNB_01696
OG0000055	NHBDKAOG_04596, NHBDKAOG_02865, NHBDKAOG_04475, NHBDKAOG_00828, NHBDKAOG_00137, NHBDKAOG_00169, NHBDKAOG_04284, NHBDKAOG_04157, NHBDKAOG_01227	MCBBHCNB_01711
OG0000056	NHBDKAOG_00180, NHBDKAOG_02708	MCBBHCNB_00229
OG0000057	NHBDKAOG_03255, NHBDKAOG_04186	MCBBHCNB_00306
OG0000057	NHBDKAOG_04198	MCBBHCNB_00305
OG0000058	NHBDKAOG_03839	MCBBHCNB_00761
OG0000058	NHBDKAOG_01741	MCBBHCNB_03602
OG0000059	NHBDKAOG_01926	MCBBHCNB_03008
OG0000060	NHBDKAOG_02356	MCBBHCNB_02372
OG0000061	NHBDKAOG_04142	MCBBHCNB_00409, MCBBHCNB_00172
OG0000062	NHBDKAOG_00766	MCBBHCNB_04175
OG0000062	NHBDKAOG_00767	MCBBHCNB_04174
OG0000063	NHBDKAOG_02022	MCBBHCNB_02666
OG0000063	NHBDKAOG_03708	MCBBHCNB_03393
OG0000064	NHBDKAOG_01801	MCBBHCNB_02397
OG0000065	NHBDKAOG_02832	MCBBHCNB_01787
OG0000065	NHBDKAOG_01079	MCBBHCNB_03903
OG0000066	NHBDKAOG_02589, NHBDKAOG_04086, NHBDKAOG_04120	MCBBHCNB_00447
OG0000067	NHBDKAOG_00434, NHBDKAOG_03142, NHBDKAOG_00163	MCBBHCNB_03411
OG0000067	NHBDKAOG_04493, NHBDKAOG_00166	MCBBHCNB_04579
OG0000068	NHBDKAOG_02793	MCBBHCNB_01855
OG0000069	NHBDKAOG_01216, NHBDKAOG_01223, NHBDKAOG_01217	MCBBHCNB_03721
OG0000069	NHBDKAOG_01219	MCBBHCNB_03723
OG0000070	NHBDKAOG_02480	MCBBHCNB_00663
OG0000071	NHBDKAOG_02671	MCBBHCNB_01783, MCBBHCNB_03195
OG0000072	NHBDKAOG_04743, NHBDKAOG_01084	MCBBHCNB_03894
OG0000073	NHBDKAOG_03116	MCBBHCNB_01587, MCBBHCNB_01588
OG0000074	NHBDKAOG_01349	MCBBHCNB_01644
OG0000075	NHBDKAOG_03710	MCBBHCNB_04167
OG0000075	NHBDKAOG_04167	MCBBHCNB_03164
OG0000076	NHBDKAOG_03730	MCBBHCNB_03399
OG0000077	NHBDKAOG_03199	MCBBHCNB_03126
OG0000078	NHBDKAOG_01850	MCBBHCNB_03574
OG0000079	NHBDKAOG_02776	MCBBHCNB_01886
OG0000079	NHBDKAOG_00332	MCBBHCNB_01156
OG0000080	NHBDKAOG_04712	MCBBHCNB_00343
OG0000081	NHBDKAOG_01296	MCBBHCNB_01743, MCBBHCNB_02474, MCBBHCNB_02475, MCBBHCNB_02581
OG0000082	NHBDKAOG_04871	MCBBHCNB_01270, MCBBHCNB_00358
OG0000083	NHBDKAOG_00369	MCBBHCNB_04636
OG0000083	NHBDKAOG_03431	MCBBHCNB_03104
OG0000084	NHBDKAOG_00931	MCBBHCNB_01650
OG0000085	NHBDKAOG_03384	MCBBHCNB_01037
OG0000086	NHBDKAOG_02906	MCBBHCNB_01679
OG0000087	NHBDKAOG_00218	MCBBHCNB_03464
OG0000087	NHBDKAOG_02345	MCBBHCNB_02389
OG0000088	NHBDKAOG_02412	MCBBHCNB_02368
OG0000089	NHBDKAOG_04065	MCBBHCNB_02123, MCBBHCNB_02366
OG0000089	NHBDKAOG_02735	MCBBHCNB_01951
OG0000090	NHBDKAOG_03602	MCBBHCNB_00475
OG0000091	NHBDKAOG_04145	MCBBHCNB_00226, MCBBHCNB_00406
OG0000092	NHBDKAOG_04146	MCBBHCNB_00227, MCBBHCNB_00405
OG0000094	NHBDKAOG_04230	MCBBHCNB_00225
OG0000094	NHBDKAOG_04139	MCBBHCNB_00417
OG0000095	NHBDKAOG_02032	MCBBHCNB_01268, MCBBHCNB_03217
OG0000096	NHBDKAOG_00072	MCBBHCNB_00182
OG0000096	NHBDKAOG_04597	MCBBHCNB_01725
OG0000096	NHBDKAOG_02981	MCBBHCNB_01727
OG0000097	NHBDKAOG_03622	MCBBHCNB_02145
OG0000098	NHBDKAOG_03016	MCBBHCNB_01523
OG0000099	NHBDKAOG_02369	MCBBHCNB_01858
OG0000099	NHBDKAOG_04032, NHBDKAOG_04040	MCBBHCNB_00517
OG0000100	NHBDKAOG_03429	MCBBHCNB_03102
OG0000101	NHBDKAOG_04191	MCBBHCNB_01745
OG0000101	NHBDKAOG_02417	MCBBHCNB_04012, MCBBHCNB_02361
OG0000102	NHBDKAOG_04551, NHBDKAOG_04370	MCBBHCNB_00171, MCBBHCNB_01098, MCBBHCNB_03526, MCBBHCNB_00186, MCBBHCNB_00332
OG0000102	NHBDKAOG_01431	MCBBHCNB_01172
OG0000102	NHBDKAOG_01843	MCBBHCNB_00347
OG0000103	NHBDKAOG_04285, NHBDKAOG_04374, NHBDKAOG_02277, NHBDKAOG_00034	MCBBHCNB_02138, MCBBHCNB_02990
OG0000105	NHBDKAOG_00732	MCBBHCNB_04252
OG0000107	NHBDKAOG_01152	MCBBHCNB_03774, MCBBHCNB_03787
OG0000108	NHBDKAOG_01824	MCBBHCNB_02814
OG0000110	NHBDKAOG_04566	MCBBHCNB_03443
OG0000112	NHBDKAOG_03680	MCBBHCNB_00660
OG0000113	NHBDKAOG_03642	MCBBHCNB_01328
OG0000114	NHBDKAOG_01365	MCBBHCNB_02842, MCBBHCNB_02843
OG0000115	NHBDKAOG_01236	MCBBHCNB_03613
OG0000116	NHBDKAOG_04138	MCBBHCNB_00418
OG0000116	NHBDKAOG_04231	MCBBHCNB_00224
OG0000117	NHBDKAOG_02712	MCBBHCNB_02272
OG0000118	NHBDKAOG_02800, NHBDKAOG_02711	MCBBHCNB_02014
OG0000119	NHBDKAOG_02801	MCBBHCNB_02270
OG0000119	NHBDKAOG_02709	MCBBHCNB_02016
OG0000120	NHBDKAOG_02795	MCBBHCNB_01853
OG0000121	NHBDKAOG_04051	MCBBHCNB_00482
OG0000121	NHBDKAOG_02508	MCBBHCNB_02242
OG0000122	NHBDKAOG_04587	MCBBHCNB_01615
OG0000122	NHBDKAOG_04410	MCBBHCNB_02185
OG0000123	NHBDKAOG_02930	MCBBHCNB_01662
OG0000124	NHBDKAOG_02929	MCBBHCNB_01663
OG0000125	NHBDKAOG_03168	MCBBHCNB_01341
OG0000126	NHBDKAOG_04176	MCBBHCNB_03702
OG0000126	NHBDKAOG_00577	MCBBHCNB_04433
OG0000127	NHBDKAOG_00854	MCBBHCNB_04078
OG0000128	NHBDKAOG_01446	MCBBHCNB_00801, MCBBHCNB_02643
OG0000129	NHBDKAOG_04412	MCBBHCNB_00353, MCBBHCNB_00853, MCBBHCNB_00444, MCBBHCNB_01714, MCBBHCNB_03668, MCBBHCNB_03663, MCBBHCNB_03454
OG0000130	NHBDKAOG_00413	MCBBHCNB_02911
OG0000131	NHBDKAOG_02734	MCBBHCNB_00355, MCBBHCNB_03134, MCBBHCNB_01976, MCBBHCNB_04293
OG0000131	NHBDKAOG_04852	MCBBHCNB_03137
OG0000131	NHBDKAOG_04867	MCBBHCNB_00357
OG0000132	NHBDKAOG_03205	MCBBHCNB_00433, MCBBHCNB_01114, MCBBHCNB_00356, MCBBHCNB_00493, MCBBHCNB_01306
OG0000132	NHBDKAOG_04840	MCBBHCNB_00362
OG0000133	NHBDKAOG_00129, NHBDKAOG_03895	MCBBHCNB_00714
OG0000133	NHBDKAOG_01974	MCBBHCNB_01601
OG0000133	NHBDKAOG_00114	MCBBHCNB_02985
OG0000134	NHBDKAOG_00279, NHBDKAOG_00399	MCBBHCNB_00061, MCBBHCNB_02035
OG0000135	NHBDKAOG_00210	MCBBHCNB_00346
OG0000136	NHBDKAOG_04055	MCBBHCNB_00478
OG0000136	NHBDKAOG_03388	MCBBHCNB_01033
OG0000137	NHBDKAOG_01777	MCBBHCNB_02838
OG0000139	NHBDKAOG_01201	MCBBHCNB_04625
OG0000140	NHBDKAOG_01512	MCBBHCNB_03241
OG0000140	NHBDKAOG_00293	MCBBHCNB_04678
OG0000141	NHBDKAOG_01355	MCBBHCNB_03704
OG0000142	NHBDKAOG_03647	MCBBHCNB_00899
OG0000143	NHBDKAOG_03162, NHBDKAOG_03789	MCBBHCNB_01354
OG0000144	NHBDKAOG_03103	MCBBHCNB_01429
OG0000145	NHBDKAOG_03887	MCBBHCNB_00779
OG0000146	NHBDKAOG_03681	MCBBHCNB_00659
OG0000147	NHBDKAOG_02552	MCBBHCNB_03088
OG0000149	NHBDKAOG_00315	MCBBHCNB_04744
OG0000149	NHBDKAOG_01852	MCBBHCNB_04495
OG0000150	NHBDKAOG_04137	MCBBHCNB_00419
OG0000150	NHBDKAOG_04232	MCBBHCNB_00223
OG0000152	NHBDKAOG_03678	MCBBHCNB_01219
OG0000153	NHBDKAOG_00980	MCBBHCNB_03588
OG0000154	NHBDKAOG_00856	MCBBHCNB_04076
OG0000154	NHBDKAOG_00858	MCBBHCNB_04074
