Orthogroup	GCA_003332265.1	2687453699
OG0000000	BFLDHLJO_00050	PEBOPBNB_03436, PEBOPBNB_03180, PEBOPBNB_03032, PEBOPBNB_00340
OG0000001	BFLDHLJO_00653	PEBOPBNB_03030
OG0000001	BFLDHLJO_00051	PEBOPBNB_00339
OG0000005	BFLDHLJO_02786	PEBOPBNB_02063
OG0000005	BFLDHLJO_03557	PEBOPBNB_02709, PEBOPBNB_01526, PEBOPBNB_03330, PEBOPBNB_03354, PEBOPBNB_00692, PEBOPBNB_03435, PEBOPBNB_03181, PEBOPBNB_00162, PEBOPBNB_02517
OG0000006	BFLDHLJO_02364	PEBOPBNB_03770
OG0000007	BFLDHLJO_02740	PEBOPBNB_02536
OG0000007	BFLDHLJO_00097	PEBOPBNB_00294
OG0000008	BFLDHLJO_02956	PEBOPBNB_03288
OG0000008	BFLDHLJO_02897	PEBOPBNB_02959
OG0000010	BFLDHLJO_00210	PEBOPBNB_01524
OG0000011	BFLDHLJO_03585	PEBOPBNB_03340, PEBOPBNB_03357, PEBOPBNB_02792
OG0000011	BFLDHLJO_03583	PEBOPBNB_01681, PEBOPBNB_03355
OG0000011	BFLDHLJO_03584	PEBOPBNB_03356
OG0000011	BFLDHLJO_03580	PEBOPBNB_01685
OG0000012	BFLDHLJO_02512	PEBOPBNB_02954
OG0000012	BFLDHLJO_02327	PEBOPBNB_01389
OG0000014	BFLDHLJO_00327	PEBOPBNB_01443
OG0000015	BFLDHLJO_02360	PEBOPBNB_03768
OG0000016	BFLDHLJO_02361	PEBOPBNB_03769
OG0000018	BFLDHLJO_00215	PEBOPBNB_01529
OG0000018	BFLDHLJO_00896	PEBOPBNB_00089
OG0000019	BFLDHLJO_00447	PEBOPBNB_02860
OG0000019	BFLDHLJO_02026	PEBOPBNB_03299
OG0000020	BFLDHLJO_02820	PEBOPBNB_03336
OG0000020	BFLDHLJO_01549	PEBOPBNB_01144
OG0000021	BFLDHLJO_01066	PEBOPBNB_02539
OG0000022	BFLDHLJO_02510	PEBOPBNB_02952
OG0000022	BFLDHLJO_01068	PEBOPBNB_02540
OG0000024	BFLDHLJO_01091	PEBOPBNB_00462
OG0000025	BFLDHLJO_04143	PEBOPBNB_03569, PEBOPBNB_03567, PEBOPBNB_00521
OG0000026	BFLDHLJO_03161	PEBOPBNB_00711
OG0000026	BFLDHLJO_02074	PEBOPBNB_01916
OG0000027	BFLDHLJO_03552	PEBOPBNB_00169
OG0000027	BFLDHLJO_03055	PEBOPBNB_02172
OG0000028	BFLDHLJO_03009	PEBOPBNB_02419
OG0000029	BFLDHLJO_00690	PEBOPBNB_00513
OG0000030	BFLDHLJO_01988	PEBOPBNB_01586
OG0000030	BFLDHLJO_02159	PEBOPBNB_01500
OG0000031	BFLDHLJO_02678	PEBOPBNB_00552
OG0000031	BFLDHLJO_02043	PEBOPBNB_03133
OG0000031	BFLDHLJO_00513	PEBOPBNB_02626
OG0000032	BFLDHLJO_00585	PEBOPBNB_02580
OG0000033	BFLDHLJO_02754	PEBOPBNB_02088
OG0000033	BFLDHLJO_02776	PEBOPBNB_02073
OG0000034	BFLDHLJO_01795	PEBOPBNB_01741, PEBOPBNB_01203
OG0000036	BFLDHLJO_01216	PEBOPBNB_01743
OG0000036	BFLDHLJO_01637	PEBOPBNB_02679
OG0000037	BFLDHLJO_02489	PEBOPBNB_02932
OG0000037	BFLDHLJO_02778	PEBOPBNB_02071
OG0000038	BFLDHLJO_00291	PEBOPBNB_01409
OG0000038	BFLDHLJO_00292	PEBOPBNB_01410
OG0000039	BFLDHLJO_03372	PEBOPBNB_01120
OG0000041	BFLDHLJO_00219	PEBOPBNB_01532
OG0000042	BFLDHLJO_01193	PEBOPBNB_01765
OG0000042	BFLDHLJO_01926	PEBOPBNB_01001
OG0000043	BFLDHLJO_02167	PEBOPBNB_01508
OG0000043	BFLDHLJO_01582	PEBOPBNB_01182
OG0000044	BFLDHLJO_01136	PEBOPBNB_02472
OG0000045	BFLDHLJO_03403	PEBOPBNB_02298
OG0000045	BFLDHLJO_03667, BFLDHLJO_03224	PEBOPBNB_03632
OG0000046	BFLDHLJO_00213	PEBOPBNB_01527
OG0000046	BFLDHLJO_00899	PEBOPBNB_00079
OG0000047	BFLDHLJO_00610	PEBOPBNB_00126
OG0000049	BFLDHLJO_03377	PEBOPBNB_01857
OG0000051	BFLDHLJO_01019	PEBOPBNB_01959
OG0000051	BFLDHLJO_01624	PEBOPBNB_02604
