Orthogroup	GCA_003332265.1	Reactor4-bin.4
OG0000000	BFLDHLJO_00050	CEKMHFBL_00934, CEKMHFBL_02518, CEKMHFBL_01092, CEKMHFBL_01560, CEKMHFBL_02342, CEKMHFBL_02343, CEKMHFBL_02506, CEKMHFBL_01587
OG0000001	BFLDHLJO_00653	CEKMHFBL_02659
OG0000004	BFLDHLJO_04176	CEKMHFBL_01768
OG0000005	BFLDHLJO_02786	CEKMHFBL_02232
OG0000005	BFLDHLJO_03557	CEKMHFBL_02344, CEKMHFBL_02337
OG0000007	BFLDHLJO_02740	CEKMHFBL_00819
OG0000007	BFLDHLJO_00097	CEKMHFBL_01033
OG0000008	BFLDHLJO_02956	CEKMHFBL_03345
OG0000008	BFLDHLJO_03410	CEKMHFBL_03645
OG0000008	BFLDHLJO_02897	CEKMHFBL_02387
OG0000008	BFLDHLJO_02400	CEKMHFBL_03667
OG0000010	BFLDHLJO_00210, BFLDHLJO_02149	CEKMHFBL_01416
OG0000012	BFLDHLJO_02512	CEKMHFBL_02868, CEKMHFBL_03228
OG0000012	BFLDHLJO_02327	CEKMHFBL_01788
OG0000014	BFLDHLJO_00327	CEKMHFBL_01760, CEKMHFBL_01116, CEKMHFBL_01879
OG0000015	BFLDHLJO_02360	CEKMHFBL_00703, CEKMHFBL_01850
OG0000018	BFLDHLJO_00215	CEKMHFBL_02704
OG0000018	BFLDHLJO_00896	CEKMHFBL_01623
OG0000019	BFLDHLJO_00447	CEKMHFBL_00547
OG0000019	BFLDHLJO_03325	CEKMHFBL_03901
OG0000019	BFLDHLJO_02023	CEKMHFBL_03917
OG0000020	BFLDHLJO_02820	CEKMHFBL_01198
OG0000020	BFLDHLJO_01549	CEKMHFBL_00208, CEKMHFBL_04032
OG0000021	BFLDHLJO_02511	CEKMHFBL_02869, CEKMHFBL_03229
OG0000022	BFLDHLJO_02510	CEKMHFBL_03230, CEKMHFBL_02870
OG0000022	BFLDHLJO_01068	CEKMHFBL_02608
OG0000023	BFLDHLJO_00001	CEKMHFBL_00702
OG0000023	BFLDHLJO_00937	CEKMHFBL_03002
OG0000023	BFLDHLJO_01145	CEKMHFBL_03977
OG0000024	BFLDHLJO_01091	CEKMHFBL_01279
OG0000025	BFLDHLJO_04143	CEKMHFBL_00023, CEKMHFBL_00025, CEKMHFBL_01333, CEKMHFBL_01348, CEKMHFBL_02615, CEKMHFBL_01346
OG0000027	BFLDHLJO_03552	CEKMHFBL_02369
OG0000027	BFLDHLJO_03055	CEKMHFBL_04180
OG0000029	BFLDHLJO_00690	CEKMHFBL_03930, CEKMHFBL_03623
