Orthogroup	GCA_003332265.1	2767802316
OG0000000	BFLDHLJO_00050	GNJGOIBN_03238, GNJGOIBN_02184, GNJGOIBN_02038, GNJGOIBN_02807, GNJGOIBN_01089, GNJGOIBN_02784, GNJGOIBN_02552
OG0000001	BFLDHLJO_00653	GNJGOIBN_02783
OG0000001	BFLDHLJO_03206	GNJGOIBN_02617
OG0000003	BFLDHLJO_03582	GNJGOIBN_02279
OG0000004	BFLDHLJO_04176	GNJGOIBN_02570
OG0000004	BFLDHLJO_02874, BFLDHLJO_04117	GNJGOIBN_03954
OG0000005	BFLDHLJO_02786	GNJGOIBN_01591
OG0000005	BFLDHLJO_03557	GNJGOIBN_02808, GNJGOIBN_02136
OG0000007	BFLDHLJO_02740	GNJGOIBN_01682
OG0000007	BFLDHLJO_00811	GNJGOIBN_02413
OG0000007	BFLDHLJO_00097	GNJGOIBN_03861
OG0000008	BFLDHLJO_02956	GNJGOIBN_03946
OG0000008	BFLDHLJO_03410	GNJGOIBN_02907
OG0000008	BFLDHLJO_02897	GNJGOIBN_01777
OG0000008	BFLDHLJO_02400	GNJGOIBN_04243
OG0000012	BFLDHLJO_02512	GNJGOIBN_00163, GNJGOIBN_01481
OG0000012	BFLDHLJO_02327	GNJGOIBN_01708
OG0000013	BFLDHLJO_03160	GNJGOIBN_00130
OG0000018	BFLDHLJO_00215	GNJGOIBN_02009
OG0000018	BFLDHLJO_00896	GNJGOIBN_01435
OG0000019	BFLDHLJO_00447	GNJGOIBN_02080
OG0000020	BFLDHLJO_02820	GNJGOIBN_02862
OG0000020	BFLDHLJO_01549	GNJGOIBN_00622
OG0000021	BFLDHLJO_02511	GNJGOIBN_01482
OG0000021	BFLDHLJO_01162, BFLDHLJO_01066, BFLDHLJO_01067	GNJGOIBN_00164
OG0000022	BFLDHLJO_02510	GNJGOIBN_01483, GNJGOIBN_01441
OG0000023	BFLDHLJO_00937	GNJGOIBN_01828, GNJGOIBN_02729
OG0000024	BFLDHLJO_01091	GNJGOIBN_00161
OG0000025	BFLDHLJO_04143	GNJGOIBN_01396, GNJGOIBN_01398
OG0000026	BFLDHLJO_03161	GNJGOIBN_01642
OG0000026	BFLDHLJO_02074	GNJGOIBN_02406
OG0000027	BFLDHLJO_03552	GNJGOIBN_01057
OG0000027	BFLDHLJO_03055	GNJGOIBN_03430
OG0000029	BFLDHLJO_00690	GNJGOIBN_01756
OG0000030	BFLDHLJO_01988	GNJGOIBN_01059
OG0000030	BFLDHLJO_02159	GNJGOIBN_00011
OG0000031	BFLDHLJO_02043, BFLDHLJO_00513	GNJGOIBN_00504
OG0000032	BFLDHLJO_00585	GNJGOIBN_02442
OG0000033	BFLDHLJO_02611, BFLDHLJO_02776	GNJGOIBN_01176
OG0000035	BFLDHLJO_02766, BFLDHLJO_00831, BFLDHLJO_00165, BFLDHLJO_00164, BFLDHLJO_00161, BFLDHLJO_00163	GNJGOIBN_01826
OG0000036	BFLDHLJO_01216	GNJGOIBN_00722
OG0000036	BFLDHLJO_01637	GNJGOIBN_02274
OG0000037	BFLDHLJO_02489	GNJGOIBN_01444, GNJGOIBN_01503
OG0000037	BFLDHLJO_02778	GNJGOIBN_01174
OG0000038	BFLDHLJO_00291	GNJGOIBN_01149
OG0000038	BFLDHLJO_00292	GNJGOIBN_01150
OG0000041	BFLDHLJO_00219	GNJGOIBN_02172, GNJGOIBN_02173, GNJGOIBN_02174, GNJGOIBN_00154
OG0000042	BFLDHLJO_01193	GNJGOIBN_00750
OG0000042	BFLDHLJO_01926	GNJGOIBN_00041
OG0000043	BFLDHLJO_02167	GNJGOIBN_01992
OG0000043	BFLDHLJO_01582	GNJGOIBN_00999
OG0000044	BFLDHLJO_01136	GNJGOIBN_02838
OG0000045	BFLDHLJO_03403	GNJGOIBN_02914
OG0000046	BFLDHLJO_00213	GNJGOIBN_02007
OG0000046	BFLDHLJO_00899	GNJGOIBN_01433
OG0000047	BFLDHLJO_03646	GNJGOIBN_02774
OG0000047	BFLDHLJO_00610	GNJGOIBN_01232
OG0000049	BFLDHLJO_03377	GNJGOIBN_03138
OG0000051	BFLDHLJO_01019	GNJGOIBN_01570
OG0000051	BFLDHLJO_01624	GNJGOIBN_01207
OG0000052	BFLDHLJO_03290	GNJGOIBN_00801
OG0000053	BFLDHLJO_02840	GNJGOIBN_00182
OG0000054	BFLDHLJO_04108	GNJGOIBN_00246
OG0000054	BFLDHLJO_03794	GNJGOIBN_02014
OG0000057	BFLDHLJO_03111	GNJGOIBN_00078
OG0000057	BFLDHLJO_03773	GNJGOIBN_00077
OG0000058	BFLDHLJO_00396	GNJGOIBN_00484
OG0000058	BFLDHLJO_03931	GNJGOIBN_03320
OG0000059	BFLDHLJO_03040	GNJGOIBN_02745
OG0000059	BFLDHLJO_02331	GNJGOIBN_03026
OG0000060	BFLDHLJO_00428, BFLDHLJO_00435	GNJGOIBN_02067
OG0000062	BFLDHLJO_00029	GNJGOIBN_03896
OG0000062	BFLDHLJO_00028	GNJGOIBN_03895
OG0000063	BFLDHLJO_02567	GNJGOIBN_02364
OG0000063	BFLDHLJO_01518	GNJGOIBN_03119
OG0000064	BFLDHLJO_00878	GNJGOIBN_02093
OG0000065	BFLDHLJO_02514	GNJGOIBN_01480
OG0000065	BFLDHLJO_01809	GNJGOIBN_03616
OG0000066	BFLDHLJO_02839	GNJGOIBN_00181
OG0000067	BFLDHLJO_01405	GNJGOIBN_03137
OG0000067	BFLDHLJO_03378	GNJGOIBN_04286
OG0000068	BFLDHLJO_00861	GNJGOIBN_01549
OG0000070	BFLDHLJO_01591	GNJGOIBN_00388
OG0000071	BFLDHLJO_02893	GNJGOIBN_01476
OG0000072	BFLDHLJO_01815	GNJGOIBN_03611
OG0000073	BFLDHLJO_00220	GNJGOIBN_01305, GNJGOIBN_01306
OG0000074	BFLDHLJO_02240	GNJGOIBN_01378
OG0000075	BFLDHLJO_01517	GNJGOIBN_03888
OG0000075	BFLDHLJO_03416	GNJGOIBN_02893
OG0000076	BFLDHLJO_02087	GNJGOIBN_03125
OG0000076	BFLDHLJO_02916	GNJGOIBN_03421
OG0000077	BFLDHLJO_02817	GNJGOIBN_02859
OG0000078	BFLDHLJO_01266	GNJGOIBN_03292
OG0000079	BFLDHLJO_01009	GNJGOIBN_01580
OG0000079	BFLDHLJO_00418	GNJGOIBN_00886
OG0000081	BFLDHLJO_01631	GNJGOIBN_02282
OG0000082	BFLDHLJO_02370	GNJGOIBN_03704
OG0000083	BFLDHLJO_04172	GNJGOIBN_04343
OG0000083	BFLDHLJO_01135	GNJGOIBN_02839
OG0000084	BFLDHLJO_04045, BFLDHLJO_02299	GNJGOIBN_01333
OG0000085	BFLDHLJO_01191	GNJGOIBN_00757
OG0000087	BFLDHLJO_00453	GNJGOIBN_03188
OG0000087	BFLDHLJO_00886	GNJGOIBN_02084
OG0000088	BFLDHLJO_00431	GNJGOIBN_02063
OG0000089	BFLDHLJO_01848	GNJGOIBN_01812, GNJGOIBN_02061
OG0000090	BFLDHLJO_00193	GNJGOIBN_01846
