Orthogroup	GCA_003332265.1	2767802455
OG0000000	BFLDHLJO_00050	NHBDKAOG_01300, NHBDKAOG_04602, NHBDKAOG_00494, NHBDKAOG_01578, NHBDKAOG_04601, NHBDKAOG_04604, NHBDKAOG_04606, NHBDKAOG_03134, NHBDKAOG_01589, NHBDKAOG_01585, NHBDKAOG_00493, NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710, NHBDKAOG_03221, NHBDKAOG_00175
OG0000001	BFLDHLJO_00653	NHBDKAOG_01601
OG0000001	BFLDHLJO_00051	NHBDKAOG_04607
OG0000004	BFLDHLJO_00212	NHBDKAOG_01582, NHBDKAOG_02641, NHBDKAOG_02546, NHBDKAOG_03813
OG0000004	BFLDHLJO_04176	NHBDKAOG_01367
OG0000004	BFLDHLJO_02874, BFLDHLJO_04117	NHBDKAOG_02051
OG0000004	BFLDHLJO_01632	NHBDKAOG_03874, NHBDKAOG_03082, NHBDKAOG_02584, NHBDKAOG_03828, NHBDKAOG_04610, NHBDKAOG_00060, NHBDKAOG_04599, NHBDKAOG_01297
OG0000005	BFLDHLJO_02786	NHBDKAOG_00123
OG0000005	BFLDHLJO_03557	NHBDKAOG_01584
OG0000006	BFLDHLJO_02363, BFLDHLJO_02095, BFLDHLJO_02362	NHBDKAOG_02952
OG0000006	BFLDHLJO_02364	NHBDKAOG_04184
OG0000007	BFLDHLJO_02740	NHBDKAOG_02492
OG0000007	BFLDHLJO_00811	NHBDKAOG_02350
OG0000007	BFLDHLJO_00097	NHBDKAOG_00803
OG0000008	BFLDHLJO_02956	NHBDKAOG_03567
OG0000008	BFLDHLJO_03410	NHBDKAOG_01553
OG0000008	BFLDHLJO_02897	NHBDKAOG_03164
OG0000010	BFLDHLJO_00210, BFLDHLJO_02149	NHBDKAOG_03611
OG0000012	BFLDHLJO_02512	NHBDKAOG_02831
OG0000013	BFLDHLJO_03160	NHBDKAOG_03695
OG0000018	BFLDHLJO_00215	NHBDKAOG_00335
