Orthogroup	GCA_003332265.1	spades-bin.32
OG0000000	BFLDHLJO_00050	BBLLADNB_02136, BBLLADNB_03206, BBLLADNB_03358, BBLLADNB_01430
OG0000001	BFLDHLJO_00653	BBLLADNB_03360
OG0000001	BFLDHLJO_00051	BBLLADNB_01431
OG0000003	BFLDHLJO_03582	BBLLADNB_02283
OG0000005	BFLDHLJO_02786	BBLLADNB_03049
OG0000005	BFLDHLJO_03557	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134, BBLLADNB_01889, BBLLADNB_00354
OG0000006	BFLDHLJO_02364	BBLLADNB_03729
OG0000007	BFLDHLJO_02740	BBLLADNB_02365
OG0000007	BFLDHLJO_00097	BBLLADNB_02048
OG0000008	BFLDHLJO_02956	BBLLADNB_00820
OG0000008	BFLDHLJO_02897	BBLLADNB_02916
OG0000010	BFLDHLJO_00210	BBLLADNB_03377
OG0000011	BFLDHLJO_03585	BBLLADNB_00454, BBLLADNB_03054
OG0000011	BFLDHLJO_03583	BBLLADNB_00010, BBLLADNB_00439
OG0000011	BFLDHLJO_03584	BBLLADNB_00438
OG0000011	BFLDHLJO_03580	BBLLADNB_00014
OG0000012	BFLDHLJO_02512	BBLLADNB_02911
OG0000012	BFLDHLJO_01163	BBLLADNB_00395
OG0000014	BFLDHLJO_00327	BBLLADNB_00567
OG0000015	BFLDHLJO_02360	BBLLADNB_03018
OG0000016	BFLDHLJO_02361	BBLLADNB_03017
OG0000018	BFLDHLJO_00896	BBLLADNB_03302
OG0000019	BFLDHLJO_00447	BBLLADNB_01031
OG0000020	BFLDHLJO_02820	BBLLADNB_00458
OG0000020	BFLDHLJO_01549	BBLLADNB_03115
OG0000021	BFLDHLJO_01066	BBLLADNB_02362
OG0000021	BFLDHLJO_01067	BBLLADNB_00396
OG0000022	BFLDHLJO_02510	BBLLADNB_02895
OG0000022	BFLDHLJO_01068	BBLLADNB_02361
OG0000022	BFLDHLJO_01161	BBLLADNB_00397
OG0000024	BFLDHLJO_01091	BBLLADNB_01074
OG0000025	BFLDHLJO_04143	BBLLADNB_00234, BBLLADNB_00232
OG0000026	BFLDHLJO_03161	BBLLADNB_01144
OG0000026	BFLDHLJO_02074	BBLLADNB_01301
OG0000027	BFLDHLJO_03552	BBLLADNB_00516
OG0000027	BFLDHLJO_03055	BBLLADNB_02016
