2687453699_PEBOPBNB_00179	2687453699_PEBOPBNB_00179	100	2121	0	0	1	2121	1	2121	0	3826
GCA_000024165.1_DGOCCOHL_01070	2687453699_PEBOPBNB_00179	85.707	2057	294	0	55	2111	55	2111	0	2385
GCA_000584955.2_BALNIADD_02612	2687453699_PEBOPBNB_00179	85.953	1438	202	0	792	2229	684	2121	0	1683
GCA_000584975.2_FLOKBKCF_00068	2687453699_PEBOPBNB_00179	83.93	2122	339	2	1	2121	1	2121	0	2283
GCA_000584995.1_NPHLOHBO_00818	2687453699_PEBOPBNB_00179	82.044	2133	355	5	13	2143	13	2119	0	2131
GCA_000585015.1_JPAJMACA_00169	2687453699_PEBOPBNB_00179	83.938	2067	330	2	51	2116	51	2116	0	2224
GCA_000585035.2_BIOCIAGG_04430	2687453699_PEBOPBNB_00179	84.644	2123	322	2	1	2121	1	2121	0	2354
GCA_000585055.1_JMBGGNHN_01742	2687453699_PEBOPBNB_00179	90.395	2124	201	1	1	2124	1	2121	0	2910
GCA_000585075.1_LMKBKINC_00287	2687453699_PEBOPBNB_00179	97.878	2121	45	0	1	2121	1	2121	0	3623
GCA_000585095.1_DDBAAEFF_02735	2687453699_PEBOPBNB_00179	83.511	1692	265	1	1	1692	1	1678	0	1802
GCA_000987395.1_IJAMOEGB_03109	2687453699_PEBOPBNB_00179	84.166	2122	334	2	1	2121	1	2121	0	2305
GCA_000987445.1_DIPJCKAO_01419	2687453699_PEBOPBNB_00179	91.042	2121	190	0	1	2121	1	2121	0	2969
GCA_001897745.1_LNFOKPNO_00497	2687453699_PEBOPBNB_00179	81.823	2074	365	3	41	2114	53	2114	0	2039
GCA_002304785.1_GBHPAPPJ_02574	2687453699_PEBOPBNB_00179	75.316	2054	492	10	56	2100	68	2115	0	1388
GCA_002345025.1_KFEAILBB_02335	2687453699_PEBOPBNB_00179	83.31	2109	348	4	13	2119	13	2119	0	2203
GCA_002345285.1_NKDODKIB_03753	2687453699_PEBOPBNB_00179	83.938	2067	330	2	51	2116	51	2116	0	2224
GCA_002352265.1_FOOMNIKE_04153	2687453699_PEBOPBNB_00179	90.395	2124	201	1	1	2124	1	2121	0	2910
GCA_002425405.1_NLEBCEFB_01950	2687453699_PEBOPBNB_00179	84.449	2122	328	2	1	2121	1	2121	0	2333
