Orthogroup	2506520024	GCA_000310125.2
OG0000000	2506669502, 2506670816, 2506669956, 2506672076	lcl|AMXB01000057.1_prot_ENO75276.1_3996
OG0000000	2506669534, 2506669830, 2506670515	lcl|AMXB01000059.1_prot_ENO75197.1_4017
OG0000000	2506672246	lcl|AMXB01000040.1_prot_ENO76352.1_3557
OG0000000	2506669851	lcl|AMXB01000032.1_prot_ENO77225.1_3159
OG0000000	2506670747	lcl|AMXB01000002.1_prot_ENO82916.1_176
OG0000000	2506669364, 2506672081, 2506671112, 2506670856	lcl|AMXB01000009.1_prot_ENO81770.1_1261
OG0000000	2506671674, 2506669839	lcl|AMXB01000013.1_prot_ENO81282.1_1820
OG0000001	2506670855	lcl|AMXB01000009.1_prot_ENO81772.1_1263
OG0000001	2506669501	lcl|AMXB01000006.1_prot_ENO82310.1_914, lcl|AMXB01000006.1_prot_ENO82315.1_919, lcl|AMXB01000034.1_prot_ENO77039.1_3274
OG0000003	2506670353, 2506670217, 2506672109, 2506671829, 2506671216, 2506669899, 2506670308, 2506669575, 2506671675, 2506670873, 2506671766, 2506671448, 2506671347, 2506669958, 2506672168, 2506670198, 2506671975, 2506672032, 2506670204, 2506670602, 2506671955, 2506669750, 2506670201, 2506670647, 2506670812, 2506672026, 2506671671, 2506669411	lcl|AMXB01000023.1_prot_ENO79296.1_2604
OG0000007	2506671603	lcl|AMXB01000001.1_prot_ENO83277.1_150
OG0000007	2506672436	lcl|AMXB01000010.1_prot_ENO81610.1_1378
OG0000007	2506671567	lcl|AMXB01000044.1_prot_ENO76093.1_3696, lcl|AMXB01000032.1_prot_ENO77271.1_3205
OG0000009	2506669865	lcl|AMXB01000031.1_prot_ENO77392.1_3126
OG0000010	2506669966, 2506670233	lcl|AMXB01000020.1_prot_ENO80497.1_2379
OG0000010	2506672138	lcl|AMXB01000002.1_prot_ENO83094.1_354
OG0000010	2506671410, 2506672508	lcl|AMXB01000003.1_prot_ENO82760.1_402
OG0000010	2506670257, 2506669954, 2506670117	lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348
OG0000010	2506672127	lcl|AMXB01000047.1_prot_ENO75792.1_3751
OG0000011	2506672719, 2506670347, 2506670350	lcl|AMXB01000002.1_prot_ENO83078.1_338
OG0000012	2506672465	lcl|AMXB01000026.1_prot_ENO78508.1_2851
OG0000013	2506670749, 2506669724, 2506670582, 2506672027, 2506670785, 2506670326, 2506670367, 2506670677, 2506670899, 2506669832, 2506669843, 2506670287, 2506671018, 2506670416, 2506671161, 2506671502	lcl|AMXB01000057.1_prot_ENO75275.1_3995
OG0000013	2506670817	lcl|AMXB01000011.1_prot_ENO81460.1_1516
OG0000014	2506670652, 2506670651	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527, lcl|AMXB01000004.1_prot_ENO82565.1_524, lcl|AMXB01000004.1_prot_ENO82570.1_529
OG0000018	2506670550	lcl|AMXB01000025.1_prot_ENO78743.1_2768
OG0000022	2506670783	lcl|AMXB01000043.1_prot_ENO76134.1_3676
OG0000024	2506671701	lcl|AMXB01000071.1_prot_ENO74771.1_4160, lcl|AMXB01000041.1_prot_ENO76245.1_3583
OG0000024	2506669883, 2506671595	lcl|AMXB01000008.1_prot_ENO82014.1_1242
OG0000025	2506670072	lcl|AMXB01000004.1_prot_ENO82587.1_546
OG0000025	2506670070	lcl|AMXB01000004.1_prot_ENO82564.1_523
OG0000026	2506670294	lcl|AMXB01000027.1_prot_ENO78223.1_2859
OG0000027	2506670423	lcl|AMXB01000010.1_prot_ENO81695.1_1463
OG0000028	2506670682	lcl|AMXB01000025.1_prot_ENO78764.1_2789
OG0000028	2506672297	lcl|AMXB01000056.1_prot_ENO75316.1_3978, lcl|AMXB01000049.1_prot_ENO75689.1_3828
OG0000031	2506672722, 2506671047	lcl|AMXB01000010.1_prot_ENO81589.1_1357
OG0000031	2506669389, 2506670285	lcl|AMXB01000004.1_prot_ENO82693.1_652
OG0000032	2506672150, 2506672744, 2506670402, 2506669555, 2506671836, 2506671128, 2506670545, 2506670679, 2506671977	lcl|AMXB01000042.1_prot_ENO76224.1_3641
OG0000032	2506672167	lcl|AMXB01000004.1_prot_ENO82697.1_656
OG0000033	2506671563	lcl|AMXB01000003.1_prot_ENO82797.1_439
OG0000036	2506669688	lcl|AMXB01000009.1_prot_ENO81818.1_1309
OG0000036	2506669884	lcl|AMXB01000009.1_prot_ENO81816.1_1307
OG0000037	2506670173	lcl|AMXB01000021.1_prot_ENO80041.1_2487
OG0000037	2506670324	lcl|AMXB01000008.1_prot_ENO81881.1_1109
OG0000038	2506670542	lcl|AMXB01000003.1_prot_ENO82863.1_505
OG0000038	2506670531, 2506672294	lcl|AMXB01000051.1_prot_ENO75556.1_3865
OG0000039	2506671918	lcl|AMXB01000016.1_prot_ENO80871.1_2064, lcl|AMXB01000028.1_prot_ENO78020.1_2968
OG0000040	2506672235	lcl|AMXB01000023.1_prot_ENO79311.1_2619, lcl|AMXB01000019.1_prot_ENO80581.1_2299
OG0000042	2506671802	lcl|AMXB01000051.1_prot_ENO75565.1_3874
OG0000042	2506669625	lcl|AMXB01000013.1_prot_ENO81198.1_1736
OG0000043	2506671737	lcl|AMXB01000065.1_prot_ENO74951.1_4088
OG0000043	2506669837, 2506672203	lcl|AMXB01000018.1_prot_ENO80740.1_2298
OG0000044	2506669879	lcl|AMXB01000069.1_prot_ENO74824.1_4138
OG0000045	2506672552	lcl|AMXB01000002.1_prot_ENO82952.1_212
OG0000046	2506671631	lcl|AMXB01000047.1_prot_ENO75809.1_3768
OG0000050	2506669882, 2506671174, 2506671596	lcl|AMXB01000092.1_prot_ENO74452.1_4254
OG0000050	2506671573	lcl|AMXB01000067.1_prot_ENO74876.1_4120, lcl|AMXB01000037.1_prot_ENO76678.1_3417
OG0000051	2506672175	lcl|AMXB01000048.1_prot_ENO75735.1_3785
OG0000052	2506672590	lcl|AMXB01000011.1_prot_ENO81537.1_1593, lcl|AMXB01000011.1_prot_ENO81531.1_1587
OG0000052	2506671827	lcl|AMXB01000013.1_prot_ENO81269.1_1807
OG0000057	2506669527	lcl|AMXB01000003.1_prot_ENO82804.1_446
OG0000058	2506669694	lcl|AMXB01000019.1_prot_ENO80629.1_2347, lcl|AMXB01000004.1_prot_ENO82702.1_661
OG0000059	2506670794	lcl|AMXB01000015.1_prot_ENO81034.1_2006
OG0000059	2506670538	lcl|AMXB01000008.1_prot_ENO81902.1_1130
OG0000060	2506670841	lcl|AMXB01000033.1_prot_ENO77190.1_3241
OG0000061	2506671572, 2506671173	lcl|AMXB01000067.1_prot_ENO74875.1_4119, lcl|AMXB01000037.1_prot_ENO76677.1_3416
OG0000062	2506671681, 2506671682	lcl|AMXB01000047.1_prot_ENO75817.1_3776
OG0000063	2506671998	lcl|AMXB01000029.1_prot_ENO77797.1_3054
OG0000064	2506672110	lcl|AMXB01000067.1_prot_ENO74874.1_4118, lcl|AMXB01000026.1_prot_ENO78484.1_2827
OG0000070	2506669473	lcl|AMXB01000034.1_prot_ENO77063.1_3298
OG0000072	2506669890, 2506670264, 2506671772, 2506672649, 2506672139, 2506672140	lcl|AMXB01000018.1_prot_ENO80733.1_2291
OG0000073	2506670424	lcl|AMXB01000019.1_prot_ENO80597.1_2315
OG0000074	2506670535	lcl|AMXB01000004.1_prot_ENO82576.1_535
OG0000075	2506671037	lcl|AMXB01000007.1_prot_ENO82111.1_1030
OG0000077	2506671333	lcl|AMXB01000049.1_prot_ENO75693.1_3832, lcl|AMXB01000057.1_prot_ENO75274.1_3994
OG0000078	2506672555	lcl|AMXB01000058.1_prot_ENO75237.1_4008
OG0000083	2506669363	lcl|AMXB01000008.1_prot_ENO81943.1_1171
OG0000084	2506669453	lcl|AMXB01000017.1_prot_ENO80791.1_2188
OG0000085	2506672009	lcl|AMXB01000074.1_prot_ENO74682.1_4197
OG0000085	2506670512	lcl|AMXB01000053.1_prot_ENO75475.1_3917
OG0000086	2506670073	lcl|AMXB01000058.1_prot_ENO75233.1_4004, lcl|AMXB01000004.1_prot_ENO82588.1_547
OG0000088	2506670960	lcl|AMXB01000005.1_prot_ENO82514.1_809
OG0000090	2506671405	lcl|AMXB01000009.1_prot_ENO81864.1_1355
OG0000091	2506671584	lcl|AMXB01000071.1_prot_ENO74776.1_4165, lcl|AMXB01000041.1_prot_ENO76251.1_3589, lcl|AMXB01000037.1_prot_ENO76686.1_3425, lcl|AMXB01000027.1_prot_ENO78278.1_2914
