locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNJGOIBN_00001	CDS	1455	nifK_1	1.18.6.1	COG2710	Nitrogenase molybdenum-iron protein beta chain
GNJGOIBN_00001	gene	1455	nifK_1			
GNJGOIBN_00002	CDS	225				hypothetical protein
GNJGOIBN_00002	gene	225				
GNJGOIBN_00003	CDS	198	fdxN			Ferredoxin-1
GNJGOIBN_00003	gene	198	fdxN			
GNJGOIBN_00004	CDS	726				hypothetical protein
GNJGOIBN_00004	gene	726				
GNJGOIBN_00005	CDS	987				hypothetical protein
GNJGOIBN_00005	gene	987				
GNJGOIBN_00006	CDS	837	modA_1		COG0725	Molybdate-binding protein ModA
GNJGOIBN_00006	gene	837	modA_1			
GNJGOIBN_00007	CDS	669	modB_1		COG4149	Molybdenum transport system permease protein ModB
GNJGOIBN_00007	gene	669	modB_1			
GNJGOIBN_00008	CDS	1071	cysA_1	3.6.3.25	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
GNJGOIBN_00008	gene	1071	cysA_1			
GNJGOIBN_00009	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
GNJGOIBN_00009	gene	564	ahpC_1			
GNJGOIBN_00010	CDS	1560	ahpF_1	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
GNJGOIBN_00010	gene	1560	ahpF_1			
GNJGOIBN_00011	CDS	1755			COG0659	putative sulfate transporter
GNJGOIBN_00011	gene	1755				
GNJGOIBN_00012	CDS	333				hypothetical protein
GNJGOIBN_00012	gene	333				
GNJGOIBN_00013	CDS	1722				hypothetical protein
GNJGOIBN_00013	gene	1722				
GNJGOIBN_00014	CDS	930	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
GNJGOIBN_00014	gene	930	cmpR_1			
GNJGOIBN_00015	CDS	561				hypothetical protein
GNJGOIBN_00015	gene	561				
GNJGOIBN_00016	CDS	759	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
GNJGOIBN_00016	gene	759	livF_1			
GNJGOIBN_00017	CDS	1773	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
GNJGOIBN_00017	gene	1773	btuD_1			
GNJGOIBN_00018	CDS	1035				hypothetical protein
GNJGOIBN_00018	gene	1035				
GNJGOIBN_00019	CDS	1374				hypothetical protein
GNJGOIBN_00019	gene	1374				
GNJGOIBN_00020	CDS	780	yfcA		COG0730	putative membrane transporter protein YfcA
GNJGOIBN_00020	gene	780	yfcA			
GNJGOIBN_00021	CDS	762	tam_1	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
GNJGOIBN_00021	gene	762	tam_1			
GNJGOIBN_00022	CDS	1377	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
GNJGOIBN_00022	gene	1377	mnmE			
GNJGOIBN_00023	CDS	1683	yidC		COG0706	Membrane protein insertase YidC
GNJGOIBN_00023	gene	1683	yidC			
GNJGOIBN_00024	CDS	210	yidD_1		COG0759	Putative membrane protein insertion efficiency factor
GNJGOIBN_00024	gene	210	yidD_1			
GNJGOIBN_00025	CDS	1422	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GNJGOIBN_00025	gene	1422	dnaA			
GNJGOIBN_00026	CDS	1131	dnaN		COG0592	Beta sliding clamp
GNJGOIBN_00026	gene	1131	dnaN			
GNJGOIBN_00027	CDS	2469	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
GNJGOIBN_00027	gene	2469	gyrB			
GNJGOIBN_00028	CDS	822	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
GNJGOIBN_00028	gene	822	pyrF			
GNJGOIBN_00029	CDS	636				hypothetical protein
GNJGOIBN_00029	gene	636				
GNJGOIBN_00030	CDS	702	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
GNJGOIBN_00030	gene	702	queC			
GNJGOIBN_00031	CDS	1446	regB	2.7.13.3		Sensor histidine kinase RegB
GNJGOIBN_00031	gene	1446	regB			
GNJGOIBN_00032	CDS	567	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
GNJGOIBN_00032	gene	567	regA			
GNJGOIBN_00033	CDS	405	hslR		COG1188	Heat shock protein 15
GNJGOIBN_00033	gene	405	hslR			
GNJGOIBN_00034	CDS	357				hypothetical protein
GNJGOIBN_00034	gene	357				
GNJGOIBN_00035	CDS	1329				hypothetical protein
GNJGOIBN_00035	gene	1329				
GNJGOIBN_00036	CDS	792	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
GNJGOIBN_00036	gene	792	aroD			
GNJGOIBN_00037	CDS	762				hypothetical protein
GNJGOIBN_00037	gene	762				
GNJGOIBN_00038	CDS	684				hypothetical protein
GNJGOIBN_00038	gene	684				
GNJGOIBN_00039	CDS	2472	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
GNJGOIBN_00039	gene	2472	plsB			
GNJGOIBN_00040	CDS	2049	fusA_1		COG0480	Elongation factor G
GNJGOIBN_00040	gene	2049	fusA_1			
GNJGOIBN_00041	CDS	2298	maeB_1	1.1.1.40	COG0280	NADP-dependent malic enzyme
GNJGOIBN_00041	gene	2298	maeB_1			
GNJGOIBN_00042	tRNA	76				tRNA-Ala(ggc)
GNJGOIBN_00042	gene	76				
GNJGOIBN_00043	tRNA	76				tRNA-Glu(ttc)
GNJGOIBN_00043	gene	76				
GNJGOIBN_00044	CDS	1560				hypothetical protein
GNJGOIBN_00044	gene	1560				
GNJGOIBN_00045	CDS	276				hypothetical protein
GNJGOIBN_00045	gene	276				
GNJGOIBN_00046	CDS	327				hypothetical protein
GNJGOIBN_00046	gene	327				
GNJGOIBN_00047	CDS	906				hypothetical protein
GNJGOIBN_00047	gene	906				
GNJGOIBN_00048	CDS	312				hypothetical protein
GNJGOIBN_00048	gene	312				
GNJGOIBN_00049	CDS	306				hypothetical protein
GNJGOIBN_00049	gene	306				
GNJGOIBN_00050	CDS	609				hypothetical protein
GNJGOIBN_00050	gene	609				
GNJGOIBN_00051	CDS	291				hypothetical protein
GNJGOIBN_00051	gene	291				
GNJGOIBN_00052	CDS	495				hypothetical protein
GNJGOIBN_00052	gene	495				
GNJGOIBN_00053	CDS	597				hypothetical protein
GNJGOIBN_00053	gene	597				
GNJGOIBN_00054	CDS	2994				hypothetical protein
GNJGOIBN_00054	gene	2994				
GNJGOIBN_00055	CDS	684				hypothetical protein
GNJGOIBN_00055	gene	684				
GNJGOIBN_00056	CDS	1917	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
GNJGOIBN_00056	gene	1917	thiC			
GNJGOIBN_00057	CDS	2862				hypothetical protein
GNJGOIBN_00057	gene	2862				
GNJGOIBN_00058	CDS	1152				hypothetical protein
GNJGOIBN_00058	gene	1152				
GNJGOIBN_00059	CDS	705				hypothetical protein
GNJGOIBN_00059	gene	705				
GNJGOIBN_00060	CDS	333				hypothetical protein
GNJGOIBN_00060	gene	333				
GNJGOIBN_00061	CDS	768	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
GNJGOIBN_00061	gene	768	rsuA			
GNJGOIBN_00062	CDS	912	oxyR			Hydrogen peroxide-inducible genes activator
GNJGOIBN_00062	gene	912	oxyR			
GNJGOIBN_00063	CDS	2598	topB	5.99.1.2		DNA topoisomerase 3
GNJGOIBN_00063	gene	2598	topB			
GNJGOIBN_00064	CDS	450	smg			Protein Smg
GNJGOIBN_00064	gene	450	smg			
GNJGOIBN_00065	CDS	1152				hypothetical protein
GNJGOIBN_00065	gene	1152				
GNJGOIBN_00066	CDS	1020				hypothetical protein
GNJGOIBN_00066	gene	1020				
GNJGOIBN_00067	CDS	504	def1	3.5.1.88		Peptide deformylase 1
GNJGOIBN_00067	gene	504	def1			
GNJGOIBN_00068	CDS	927	fmt_1	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
GNJGOIBN_00068	gene	927	fmt_1			
GNJGOIBN_00069	CDS	849	htpX_1	3.4.24.-	COG0501	Protease HtpX 
GNJGOIBN_00069	gene	849	htpX_1			
GNJGOIBN_00070	CDS	849				hypothetical protein
GNJGOIBN_00070	gene	849				
GNJGOIBN_00071	CDS	909	fieF_1		COG0053	Ferrous-iron efflux pump FieF
GNJGOIBN_00071	gene	909	fieF_1			
GNJGOIBN_00072	CDS	1329	rsmB_1	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
GNJGOIBN_00072	gene	1329	rsmB_1			
GNJGOIBN_00073	CDS	636				hypothetical protein
GNJGOIBN_00073	gene	636				
GNJGOIBN_00074	CDS	2154	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GNJGOIBN_00074	gene	2154	sasA_1			
GNJGOIBN_00075	CDS	1257	atoC_1		COG2204	Regulatory protein AtoC
GNJGOIBN_00075	gene	1257	atoC_1			
GNJGOIBN_00076	CDS	1431	trkA		COG0569	Trk system potassium uptake protein TrkA
GNJGOIBN_00076	gene	1431	trkA			
GNJGOIBN_00077	CDS	1455	trkH_1		COG0168	Trk system potassium uptake protein TrkH
GNJGOIBN_00077	gene	1455	trkH_1			
GNJGOIBN_00078	CDS	1461	trkH_2		COG0168	Trk system potassium uptake protein TrkH
GNJGOIBN_00078	gene	1461	trkH_2			
GNJGOIBN_00079	CDS	1500				hypothetical protein
GNJGOIBN_00079	gene	1500				
GNJGOIBN_00080	CDS	348				hypothetical protein
GNJGOIBN_00080	gene	348				
GNJGOIBN_00081	CDS	396				hypothetical protein
GNJGOIBN_00081	gene	396				
GNJGOIBN_00082	CDS	438				hypothetical protein
GNJGOIBN_00082	gene	438				
GNJGOIBN_00083	CDS	1080	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
GNJGOIBN_00083	gene	1080	hemE			
GNJGOIBN_00084	CDS	2025	priA	3.6.4.-	COG1198	Primosomal protein N'
GNJGOIBN_00084	gene	2025	priA			
GNJGOIBN_00085	CDS	1539	ppx_1	3.6.1.11	COG0248	Exopolyphosphatase
GNJGOIBN_00085	gene	1539	ppx_1			
GNJGOIBN_00086	CDS	1239				hypothetical protein
GNJGOIBN_00086	gene	1239				
GNJGOIBN_00087	CDS	1200				hypothetical protein
GNJGOIBN_00087	gene	1200				
GNJGOIBN_00088	CDS	966	mak	2.7.1.4	COG1940	Fructokinase
GNJGOIBN_00088	gene	966	mak			
GNJGOIBN_00089	CDS	1059	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
GNJGOIBN_00089	gene	1059	yjhC			
GNJGOIBN_00090	CDS	576	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
GNJGOIBN_00090	gene	576	wbpD			
GNJGOIBN_00091	CDS	1071	glpD_1	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
GNJGOIBN_00091	gene	1071	glpD_1			
GNJGOIBN_00092	CDS	1632	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
GNJGOIBN_00092	gene	1632	arnB_1			
GNJGOIBN_00093	CDS	177				hypothetical protein
GNJGOIBN_00093	gene	177				
GNJGOIBN_00094	CDS	816				hypothetical protein
GNJGOIBN_00094	gene	816				
GNJGOIBN_00095	CDS	1326				hypothetical protein
GNJGOIBN_00095	gene	1326				
GNJGOIBN_00096	CDS	1395				hypothetical protein
GNJGOIBN_00096	gene	1395				
GNJGOIBN_00097	CDS	852	speE_1	2.5.1.16		Polyamine aminopropyltransferase
GNJGOIBN_00097	gene	852	speE_1			
GNJGOIBN_00098	CDS	2055	purF_1	2.4.2.14		Amidophosphoribosyltransferase
GNJGOIBN_00098	gene	2055	purF_1			
GNJGOIBN_00099	CDS	1182				hypothetical protein
GNJGOIBN_00099	gene	1182				
GNJGOIBN_00100	CDS	3171				hypothetical protein
GNJGOIBN_00100	gene	3171				
GNJGOIBN_00101	CDS	675				hypothetical protein
GNJGOIBN_00101	gene	675				
GNJGOIBN_00102	CDS	2565				hypothetical protein
GNJGOIBN_00102	gene	2565				
GNJGOIBN_00103	CDS	651				hypothetical protein
