genome,phylogeny,completion,contamination,size_bp,contigs,gc,x,clade,name,code
2687453699,c__Betaproteobacteria,99.94,0.03,4329894,110,63.9,3779,IA,Candidatus Accumulibacter UW3,UW3
2767802316,c__Betaproteobacteria,98.99,5.24,4882959,68,64.3,4375,IIA,Candidatus Accumulibacter UW5,UW5
2767802455,c__Betaproteobacteria,98.57,2.46,5179050,1,61.1,4838,IIC,Candidatus Accumulibacter UW6,UW6
GCA_000024165.1,c__Betaproteobacteria,99.84,0.24,5306133,4,64,4717,NA,NA,NA
GCA_000584955.2,c__Betaproteobacteria,93.73,1.19,4561076,779,61.7,4319,NA,NA,NA
GCA_000584975.2,c__Betaproteobacteria,97.62,1.59,4359420,165,61.3,4006,NA,NA,NA
GCA_000584995.1,c__Betaproteobacteria,76.78,0.06,4700180,1411,65.5,4817,NA,NA,NA
GCA_000585015.1,c__Betaproteobacteria,92.6,0.05,4412715,331,66.3,3942,NA,NA,NA
GCA_000585035.2,c__Betaproteobacteria,81.76,3.15,4322820,1218,61.9,4714,NA,NA,NA
GCA_000585055.1,c__Betaproteobacteria,93.33,1.49,4947936,583,62.9,4370,NA,NA,NA
GCA_000585075.1,c__Betaproteobacteria,100,0.03,4626262,168,63.8,4075,NA,NA,NA
GCA_000585095.1,c__Betaproteobacteria,79.35,8.19,3097332,935,64.9,3337,NA,NA,NA
GCA_000987395.1,c__Betaproteobacteria,92.29,2.86,4262673,370,61.1,4079,NA,NA,NA
GCA_000987445.1,c__Betaproteobacteria,90.06,2.54,3625256,824,63.9,3650,NA,NA,NA
GCA_002345025.1,c__Betaproteobacteria,92.43,0.29,4431027,325,65.8,4121,NA,NA,NA
GCA_002345285.1,c__Betaproteobacteria,94.59,0.86,4244559,301,66.2,3911,NA,NA,NA
GCA_002352265.1,c__Betaproteobacteria,98.12,8.33,5266771,198,63,4682,NA,NA,NA
GCA_002425405.1,c__Betaproteobacteria,93.65,0.24,4283242,326,62,4041,NA,NA,NA
GCA_002433845.1,c__Betaproteobacteria,96.51,0.15,4555925,442,66.3,4265,NA,NA,NA
GCA_002455435.1,c__Betaproteobacteria,99.08,0,4184348,72,64.2,3667,NA,NA,NA
GCA_003332265.1,c__Betaproteobacteria,95.24,0.7,4701482,187,62.5,4168,NA,NA,NA
GCA_003487685.1,c__Betaproteobacteria,71.83,0.48,4010561,1184,65.7,4165,NA,NA,NA
GCA_003535635.1,c__Betaproteobacteria,65.42,0.74,3516715,1073,65.2,3680,NA,NA,NA
GCA_003542235.1,k__Bacteria,51.72,0,2581832,828,65.8,2638,NA,NA,NA
GCA_005524045.1,c__Betaproteobacteria,95.24,0.6,4456818,253,66.1,4139,NA,NA,NA
GCA_005889575.1,c__Betaproteobacteria,98.51,1.94,4887416,247,61.2,4693,NA,NA,NA
GCA_009467855.1,c__Betaproteobacteria,91.43,0.28,3587117,437,64.1,3366,NA,NA,NA
Reactor4-bin.4,c__Betaproteobacteria,98.97,3.04,4870756,102,66.3,4319,NA,NA,NA
spades-bin.32,c__Betaproteobacteria,92.9,3.37,4288117,358,64,4015,NA,NA,NA
