locus_tag	ftype	length_bp	gene	EC_number	COG	product
BFLDHLJO_00001	CDS	2421	hsdM_1	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
BFLDHLJO_00001	gene	2421	hsdM_1			
BFLDHLJO_00002	CDS	876				hypothetical protein
BFLDHLJO_00002	gene	876				
BFLDHLJO_00003	CDS	1161			COG3177	putative protein
BFLDHLJO_00003	gene	1161				
BFLDHLJO_00004	CDS	3135	hsdR_1	3.1.21.3		Type-1 restriction enzyme R protein
BFLDHLJO_00004	gene	3135	hsdR_1			
BFLDHLJO_00005	CDS	732				hypothetical protein
BFLDHLJO_00005	gene	732				
BFLDHLJO_00006	tRNA	77				tRNA-Arg(acg)
BFLDHLJO_00006	gene	77				
BFLDHLJO_00007	CDS	2694	pepN_1	3.4.11.2	COG0308	Aminopeptidase N
BFLDHLJO_00007	gene	2694	pepN_1			
BFLDHLJO_00008	CDS	663		3.1.1.2		Arylesterase
BFLDHLJO_00008	gene	663				
BFLDHLJO_00009	CDS	894	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
BFLDHLJO_00009	gene	894	prmB			
BFLDHLJO_00010	CDS	1215	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
BFLDHLJO_00010	gene	1215	dapE			
BFLDHLJO_00011	CDS	1215	pilT_1		COG2805	Twitching mobility protein
BFLDHLJO_00011	gene	1215	pilT_1			
BFLDHLJO_00012	CDS	822	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
BFLDHLJO_00012	gene	822	dapD			
BFLDHLJO_00013	CDS	1194	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
BFLDHLJO_00013	gene	1194	dapL			
BFLDHLJO_00014	CDS	930				hypothetical protein
BFLDHLJO_00014	gene	930				
BFLDHLJO_00015	CDS	708				hypothetical protein
BFLDHLJO_00015	gene	708				
BFLDHLJO_00016	CDS	420	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
BFLDHLJO_00016	gene	420	queF			
BFLDHLJO_00017	CDS	3507	smc_1		COG1196	Chromosome partition protein Smc
BFLDHLJO_00017	gene	3507	smc_1			
BFLDHLJO_00018	CDS	1275	zipA			Cell division protein ZipA
BFLDHLJO_00018	gene	1275	zipA			
BFLDHLJO_00019	CDS	2061	ligA	6.5.1.2	COG0272	DNA ligase
BFLDHLJO_00019	gene	2061	ligA			
BFLDHLJO_00020	CDS	549	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
BFLDHLJO_00020	gene	549	hpt			
BFLDHLJO_00021	CDS	744		2.4.2.44	COG0005	S-methyl-5'-thioinosine phosphorylase
BFLDHLJO_00021	gene	744				
BFLDHLJO_00022	CDS	513	def	3.5.1.88	COG0242	Peptide deformylase
BFLDHLJO_00022	gene	513	def			
BFLDHLJO_00023	CDS	507	yfkJ_1	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
BFLDHLJO_00023	gene	507	yfkJ_1			
BFLDHLJO_00024	CDS	873				hypothetical protein
BFLDHLJO_00024	gene	873				
BFLDHLJO_00025	CDS	1287	rluF	5.4.99.21	COG1187	23S rRNA pseudouridine(2604) synthase
BFLDHLJO_00025	gene	1287	rluF			
BFLDHLJO_00026	CDS	576				hypothetical protein
BFLDHLJO_00026	gene	576				
BFLDHLJO_00027	CDS	1965				hypothetical protein
BFLDHLJO_00027	gene	1965				
BFLDHLJO_00028	CDS	2583	cphA_1	6.3.2.29		Cyanophycin synthetase
BFLDHLJO_00028	gene	2583	cphA_1			
BFLDHLJO_00029	CDS	2172	cphA_2	6.3.2.29		Cyanophycin synthetase
BFLDHLJO_00029	gene	2172	cphA_2			
BFLDHLJO_00030	CDS	474				hypothetical protein
BFLDHLJO_00030	gene	474				
BFLDHLJO_00031	CDS	2337			COG1132	putative ABC transporter ATP-binding protein
BFLDHLJO_00031	gene	2337				
BFLDHLJO_00032	CDS	744	speE_1	2.5.1.16	COG0421	Polyamine aminopropyltransferase
BFLDHLJO_00032	gene	744	speE_1			
BFLDHLJO_00033	CDS	372	secG		COG1314	Protein-export membrane protein SecG
BFLDHLJO_00033	gene	372	secG			
BFLDHLJO_00034	tRNA	85				tRNA-Leu(gag)
BFLDHLJO_00034	gene	85				
BFLDHLJO_00035	CDS	375	ndhC	1.6.5.-	COG0838	NAD(P)H-quinone oxidoreductase subunit 3
BFLDHLJO_00035	gene	375	ndhC			
BFLDHLJO_00036	CDS	477	nuoB	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit B
BFLDHLJO_00036	gene	477	nuoB			
BFLDHLJO_00037	CDS	606	nqo5	1.6.5.11	COG0852	NADH-quinone oxidoreductase chain 5
BFLDHLJO_00037	gene	606	nqo5			
BFLDHLJO_00038	CDS	1254	nuoD	1.6.5.11	COG0649	NADH-quinone oxidoreductase subunit D
BFLDHLJO_00038	gene	1254	nuoD			
BFLDHLJO_00039	CDS	474	nqo2	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit 2
BFLDHLJO_00039	gene	474	nqo2			
BFLDHLJO_00040	CDS	1329	nuoF_1	1.6.5.11		NADH-quinone oxidoreductase subunit F
BFLDHLJO_00040	gene	1329	nuoF_1			
BFLDHLJO_00041	CDS	2337	nqo3	1.6.5.11	COG1034	NADH-quinone oxidoreductase chain 3
BFLDHLJO_00041	gene	2337	nqo3			
BFLDHLJO_00042	CDS	1050	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
BFLDHLJO_00042	gene	1050	nuoH			
BFLDHLJO_00043	CDS	489	nuoI	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit I
BFLDHLJO_00043	gene	489	nuoI			
BFLDHLJO_00044	CDS	603	nuoJ	1.6.5.11	COG0839	NADH-quinone oxidoreductase subunit J
BFLDHLJO_00044	gene	603	nuoJ			
BFLDHLJO_00045	CDS	306		1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit 11
BFLDHLJO_00045	gene	306				
